"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,45870546600412077;0,3524884256453763;0,2623726336201673;0,3689540176948249;0,3698196945824749;0,382381027;0,377005785123967;0,2623726336201673;0,45870546600412077
2, Jan;0,3795429402496667;0,30662150042419106;0,24913702581505273;0,3193398012362138;0,32159118894679434;0,314614267;0,30149975206611573;0,24913702581505273;0,3795429402496667
3, Feb;0,3257091261665253;0,281325051508908;0,2394705126651315;0,276992110047267;0,2893512665131499;0,297807876;0,30232798347107437;0,2394705126651315;0,3257091261665253
4, Feb;0,30794943643194767;0,2698230517513029;0,23208190522360925;0,28053170524784876;0,26120237546964004;0,279240373;0,2740530082644628;0,23208190522360925;0,30794943643194767
5, Mar;0,31561158647436677;0,26650006059871534;0,2178616894921828;0,28239225548418373;0,2543578475336323;0,271198894;0,2747522644628099;0,2178616894921828;0,31561158647436677
6, Mar;0,3315273784995758;0,2715336807659678;0,22138640164828507;0,28394126772512424;0,28273255362986305;0,282273167;0,2716615041322314;0,22138640164828507;0,3315273784995758
7, Apr;0,3313099987880257;0,2815452672403345;0,23547768755302387;0,29881145315719304;0,28178422009453397;0,288602791;0,27716471074380167;0,23547768755302387;0,3313099987880257
8, Apr;0,34222959641255607;0,29213147497273056;0,24197100957459702;0,29323987395467216;0,29715789601260456;0,294212005;0,3046930743801653;0,24197100957459702;0,34222959641255607
9, May;0,3898932493031148;0,3062876015028482;0,2459479093443219;0,32203517149436434;0,28862050660526;0,29690459;0,299417652892562;0,2459479093443219;0,3898932493031148
10, May;0,5315147254878196;0,363823075990789;0,24307555447824508;0,3565344927887529;0,4078079869106775;0,326231589;0,3238303140495868;0,24307555447824508;0,5315147254878196
11, Jun;0,6644111016846443;0,46016565264816384;0,26867121561022905;0,3427324930311478;0,5327165919282512;0,484079178;0,5311922479338843;0,26867121561022905;0,6644111016846443
12, Jun;0,7271720761119865;0,5813329778208702;0,3361933826202885;0,6749112956005333;0,6810773239607321;0,603755515;0,5495479173553719;0,3361933826202885;0,7271720761119865
13, Jul;0,7921847048842565;0,6663862319718822;0,3798104956974912;0,6964533753484426;0,5690349290995032;0,703234825;0,6620806942148761;0,3798104956974912;0,7921847048842565
14, Jul;0,8280257908132348;0,6746521876136226;0,30687436674342505;0,5936840867773604;0,7405792025209066;0,761324323;0,5946199008264462;0,30687436674342505;0,8280257908132348
15, Aug;0,8428451339231608;0,6807587928735912;0,294273760756272;0,7028430008483821;0,6653024118288693;0,645473415;0,7262724462809917;0,294273760756272;0,8428451339231608
16, Aug;0,8454701733123259;0,7368541994909708;0,3953017573627439;0,7476180947763907;0,6497779663071143;0,759933752;0,707510214876033;0,3953017573627439;0,8454701733123259
17, Sept;0,8252759665495093;0,7505189673978913;0,5707688280208459;0,7907880741728276;0,7546079505514482;0,758030317;0,7784644462809918;0,5707688280208459;0,8252759665495093
18, Sept;0,8044017452430009;0,733022470003636;0,6191094897588172;0,7050321051993698;0,7375740758695916;0,7761464;0,7322093719008265;0,6191094897588172;0,8044017452430009
19, Oct;0,755746745848988;0,6955874439461883;0,6234780753848018;0,6770789843655315;0,6722024239486123;0,706103501;0,7066167603305785;0,6234780753848018;0,755746745848988
20, Nov;0,7208075627196704;0,6319771179251;0,5371351836141074;0,6240566355593262;0,6435145315719306;0,6625857;0,6416391735537191;0,5371351836141074;0,7208075627196704
21, Nov;0,6556579323718338;0,5653018543206884;0,4743675675675676;0,5567311962186402;0,5704621136831899;0,623770343;0,5542245785123967;0,4743675675675676;0,6556579323718338
22, Dec;0,5656787298509272;0,47245599321294385;0,3614640649618228;0,4861468912859047;0,4382039267967519;0,516634462;0,49636190082644627;0,3614640649618228;0,5656787298509272
23, Dec;0,48917130044843055;0,40435156950672646;0,29894681856744637;0,3906623681977942;0,3775322869955157;0,42761752;0,43093920661157026;0,29894681856744637;0,48917130044843055
