"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,5523467726396917;0,45013998073217726;0,2961726156069364;0,5115165221579961;0,4629626204238921;0,522103659;0,4678333877817707;0,2961726156069364;0,5523467726396917
2, Jan;0,493687668593449;0,40959730250481696;0,29478391136801546;0,4788761560693642;0,4295112716763006;0,45258703;0,4182727540019601;0,29478391136801546;0,493687668593449
3, Feb;0,43153603082851644;0,3556622350674374;0,2700963631984586;0,3872866811175337;0,3684280105973025;0,420889448;0,3815350865730154;0,2700963631984586;0,43153603082851644
4, Feb;0,378911295761079;0,31775158959537575;0,2520159200385357;0,34263872832369946;0,3084683766859345;0,352561614;0,31296942175759557;0,2520159200385357;0,378911295761079
5, Mar;0,3608294315992293;0,30165953757225433;0,23402475915221582;0,34194845857418116;0,27787820327552987;0,308391735;0,31478840248284873;0,23402475915221582;0,3608294315992293
6, Mar;0,3653770472061657;0,3101415221579962;0,2544895231213873;0,33453111753371867;0,302108887283237;0,327647043;0,320056648154198;0,2544895231213873;0,3653770472061657
7, Apr;0,3883960260115607;0,3223308766859345;0,24826322254335262;0,35103147880539504;0,304585091522158;0,343959164;0,31476795164978766;0,24826322254335262;0,3883960260115607
8, Apr;0,4099648362235067;0,3347243737957611;0,2574626445086705;0,38359214836223504;0,3155876926782274;0,370352597;0,3307750735053904;0,2574626445086705;0,4099648362235067
9, May;0,43737904624277457;0,3435970134874759;0,2542454238921002;0,38604450867052026;0,2921749277456647;0,364949069;0,32653874550800394;0,2542454238921002;0,43737904624277457
10, May;0,47021136801541424;0,36624696531791906;0,26069778420038536;0,39341965317919075;0,37025060211946054;0,391138353;0,3323346292061418;0,26069778420038536;0,47021136801541424
11, Jun;0,5821472061657034;0,4096803949903661;0,2630386078998073;0,382278323699422;0,44528256262042387;0,447851976;0,35843204835021236;0,2630386078998073;0,5821472061657034
12, Jun;0,6860722543352601;0,5135684489402698;0,2668833092485549;0,6109986271676301;0,5937410886319846;0,521209637;0,4976341065011434;0,2668833092485549;0,6860722543352601
13, Jul;0,77115;0,5934020231213873;0,28980520231213874;0,6202284200385357;0,6331410645472062;0,575024828;0,6419942175759555;0,28980520231213874;0,77115
14, Jul;0,7960218689788054;0,6034574662813103;0,2069356695568401;0,6606190269749518;0,5086113198458575;0,67965936;0,5331089513230971;0,2069356695568401;0,7960218689788054
15, Aug;0,824166570327553;0,6310576107899808;0,22211565510597303;0,6610835260115607;0,6022387042389211;0,625752924;0,687853936622019;0,22211565510597303;0,824166570327553
16, Aug;0,8361426782273604;0,6748838150289017;0,2861766136801542;0,7374656310211947;0,6860653179190752;0,740448154;0,6834525645213982;0,2861766136801542;0,8361426782273604
17, Sept;0,8234241811175338;0,7534582369942197;0,5893424373795761;0,7843765414258189;0,7665693400770713;0,738732898;0,7740788631166285;0,5893424373795761;0,8234241811175338
18, Sept;0,8305407514450869;0,7668102119460501;0,6817288053949904;0,768813126204239;0,7711244942196532;0,814144365;0,7908073178699772;0,6817288053949904;0,8305407514450869
19, Oct;0,8007989402697495;0,7514863198458575;0,6823603082851638;0,7688584055876686;0,7680333815028902;0,747734597;0,7533923227703365;0,6823603082851638;0,8007989402697495
20, Nov;0,7636842003853564;0,6960967244701349;0,6091926782273603;0,7031693159922928;0,696164450867052;0,711245671;0,7041044103234237;0,6091926782273603;0,7636842003853564
21, Nov;0,6995965317919076;0,6238702312138729;0,5228264450867052;0,6281408477842004;0,6691579961464355;0,644968311;0,6105476641620385;0,5228264450867052;0,6995965317919076
22, Dec;0,6387711946050096;0,5679573217726397;0,47363617533718694;0,5698794315992293;0,6009947254335261;0,57715655;0,5923845475334858;0,47363617533718694;0,6387711946050096
23, Dec;0,5791917630057805;0,5078294315992292;0,40976483622350673;0,4434089595375723;0,5167170520231215;0,506131558;0,5433181639986933;0,40976483622350673;0,5791917630057805
