"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,31586763231197773;0,2659672423398329;0,2161114391829155;0,28200779944289694;0,25096304549675025;0,27437526;0,239078011666244;0,2161114391829155;0,31586763231197773
2, Jan;0,295300408542247;0,25359647168059424;0,21038360259981434;0,2773568987929434;0,24552861652739089;0,255149987;0,23199457266041087;0,21038360259981434;0,295300408542247
3, Feb;0,2775764159702878;0,24047576601671308;0,20386718662952646;0,24407530176415973;0,227239312906221;0,248626946;0,22504557443570886;0,20386718662952646;0,2775764159702878
4, Feb;0,26579734447539466;0,22983026926648095;0,1957559702878366;0,22583840297121635;0,2158667780872795;0,231922788;0,21358546791782906;0,1957559702878366;0,26579734447539466
5, Mar;0,255879591457753;0,22039740018570103;0,18429520891364903;0,2332881708449397;0,21058462395543176;0,22325417;0,20940882576718237;0,18429520891364903;0,255879591457753
6, Mar;0,254418904363974;0,21849405756731663;0,18356789229340761;0,2390089136490251;0,20445548746518108;0,225650976;0,2045920618818159;0,18356789229340761;0,254418904363974
7, Apr;0,25507745589600744;0,21646570102135562;0,1773557103064067;0,22499747446610954;0,19668915506035284;0,220619087;0,20010286583819428;0,1773557103064067;0,25507745589600744
8, Apr;0,25813610027855155;0,21563977715877436;0,17695786443825443;0,22607077065923864;0,19690278551532034;0,220254854;0,19665107785949787;0,17695786443825443;0,25813610027855155
9, May;0,25822642525533895;0,21305370473537605;0,1742839554317549;0,22025164345403903;0,19735647168059425;0,215404183;0,19301166624397667;0,1742839554317549;0,25822642525533895
10, May;0,25446397400185705;0,20860274837511608;0,16847585886722377;0,20536287836583103;0,2001098235840297;0,212325501;0,18954859244230282;0,16847585886722377;0,25446397400185705
11, Jun;0,2766549860724234;0,21391140204271125;0,1652822284122563;0,2117446425255339;0,2283368616527391;0,253040583;0,20323819426832362;0,1652822284122563;0,2766549860724234
12, Jun;0,3461446982358403;0,24087169916434542;0,17298547818013;0,22333246053853295;0,2999784586815228;0,289523473;0,20061468425057064;0,17298547818013;0,3461446982358403
13, Jul;0,5468747632311979;0,32039071494893223;0,18741091922005573;0,3473039554317549;0,3023793500464253;0,357344132;0,30001470961197063;0,18741091922005573;0,5468747632311979
14, Jul;0,6424976787372331;0,4252645868152275;0,18601140204271124;0,45381422469823585;0,47068726090993507;0,484293891;0,4247996195790008;0,18601140204271124;0,6424976787372331
15, Aug;0,723138495821727;0,5443576601671309;0,2537863138347261;0,6535425069637883;0,5569985701021356;0,534022408;0,5769516358102967;0,2537863138347261;0,723138495821727
16, Aug;0,7587742989786445;0,6417932033426184;0,4291931662024141;0,6508901949860725;0,6514261652739091;0,652434829;0,7192123510017753;0,4291931662024141;0,7587742989786445
17, Sept;0,7592731662024141;0,6746272980501392;0,5328177158774373;0,7241728133704736;0,716898217270195;0,636866134;0,7143552878518895;0,5328177158774373;0,7592731662024141
18, Sept;0,7129971402042711;0,6366086536675952;0,5344933704735376;0,6405452739090065;0,6652392571959147;0,659587554;0,6545349987319301;0,5344933704735376;0,7129971402042711
19, Oct;0,6452372144846797;0,5295882636954503;0,40690525533890437;0,49271535747446615;0,5192444753946147;0,49837488;0,5817681968044637;0,40690525533890437;0,6452372144846797
20, Nov;0,5414488393686165;0,4222656638811514;0,31546064995357476;0,3907743546889508;0,4721694893221913;0,374445678;0,41197476540705047;0,31546064995357476;0,5414488393686165
21, Nov;0,4281315506035283;0,3403285422469824;0,26532581244196846;0,3133601114206128;0,3848055338904364;0,313626413;0,3180527517118945;0,26532581244196846;0,4281315506035283
22, Dec;0,3664872051996286;0,304048356545961;0,2488599071494893;0,2886200928505107;0,32923208913649027;0,284510266;0,30331303575957397;0,2488599071494893;0,3664872051996286
23, Dec;0,3397748560817085;0,2848849582172702;0,23681000928505105;0,2534159702878366;0,28718176415970287;0,272842662;0,2900560740552879;0,23681000928505105;0,3397748560817085
