"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,3295615500754907;0,2722384247609462;0,2171286361348767;0,29517721439355815;0,25947555359838953;0,274268232;0,25059780521262004;0,2171286361348767;0,3295615500754907
2, Jan;0,30982058379466537;0,2597758933064922;0,2111455963764469;0,28225625314544545;0,2516900603925516;0,255260332;0,23913082990397808;0,2111455963764469;0,30982058379466537
3, Feb;0,2884627075993961;0,24541454453950678;0,205142476094615;0,25773112732762965;0,23334711877201814;0,246986275;0,23332926954732514;0,205142476094615;0,2884627075993961
4, Feb;0,2749602667337695;0,23433452440865626;0,19577937845998994;0,23074651484650227;0,21952823351786616;0,230413725;0,21995769890260633;0,19577937845998994;0,2749602667337695
5, Mar;0,259941368897836;0,2230486160040262;0,18253780825364874;0,23856119778560647;0,21147611977856065;0,218003256;0,21252398834019207;0,18253780825364874;0,259941368897836
6, Mar;0,2578200301962758;0,22122951685958733;0,1820757674886764;0,237039418721691;0,20856317312531455;0,218776594;0,20970946502057614;0,1820757674886764;0,2578200301962758
7, Apr;0,26140533467539007;0,22032440865626574;0,17928248616004025;0,23192863613487671;0,2014380221439356;0,21577889;0,2042661522633745;0,17928248616004025;0,26140533467539007
8, Apr;0,2649248112732763;0,21878563160543532;0,17827525163563163;0,2361725088072471;0,20265142174131856;0,21445634;0,20251556927297668;0,17827525163563163;0,2649248112732763
9, May;0,26334302969300455;0,2171539003522899;0,17591073225968798;0,23756433064921995;0,20044133115249121;0,206291313;0,1989766803840878;0,17591073225968798;0,26334302969300455
10, May;0,27395933568193254;0,21767450931051835;0,1676887770508304;0,22766721187720182;0,20370274282838452;0,20835401;0,19567405692729767;0,1676887770508304;0,27395933568193254
11, Jun;0,31870749874182186;0,23329162053346755;0,16991229240060393;0,24156435581278313;0,2736192123804731;0,267639325;0,21353703703703705;0,16991229240060393;0,31870749874182186
12, Jun;0,4309170608958229;0,2848779567186714;0,18775470558631102;0,2833190488173125;0,3941592979365879;0,297373424;0,22928100137174212;0,18775470558631102;0,4309170608958229
13, Jul;0,6326558631102165;0,3895586311021641;0,22069650226472068;0,42471327377956725;0,4243621540010066;0,360587937;0,36702534293552813;0,22069650226472068;0,6326558631102165
14, Jul;0,6998989934574735;0,4967876195269251;0,21298248616004026;0,5216967161550076;0,5957729240060393;0,548011275;0,5320021262002743;0,21298248616004026;0,6998989934574735
15, Aug;0,7577108706592853;0,5762227478610972;0,23499013588324108;0,6824988424760946;0,6267374559637645;0,573121093;0,624153635116598;0,23499013588324108;0,7577108706592853
16, Aug;0,7921151484650227;0,6849966280825366;0,46378963261197786;0,7011596502264721;0,6911451811776548;0,699837474;0,7361840020576133;0,46378963261197786;0,7921151484650227
17, Sept;0,7777064418721692;0,7035442375440363;0,5756918973326624;0,755545533467539;0,7446334046300956;0,668623458;0,7327629115226337;0,5756918973326624;0,7777064418721692
18, Sept;0,7301727730246603;0,6539446401610469;0,549706894816306;0,6844697911424258;0,6883628208354303;0,698321967;0,6618907750342936;0,549706894816306;0,7301727730246603
19, Oct;0,6544456467035733;0,5477057372924006;0,4114250629089079;0,5254791519879215;0,5876099521892301;0,556477296;0,5999535150891632;0,4114250629089079;0,6544456467035733
20, Nov;0,5461734776044288;0,4312302969300453;0,31068032209360846;0,4356054353296427;0,47348707851031707;0,39026878;0,41902109053497943;0,31068032209360846;0,5461734776044288
21, Nov;0,4442822345244086;0,34697863613487673;0,26488880221439354;0,3316485656768999;0,37422415702063416;0,327146453;0,31589199245541844;0,26488880221439354;0,4442822345244086
22, Dec;0,3828098389531958;0,3113799194765979;0,2494906391545043;0,30176891041771514;0,33361331152491197;0,29363391;0,2987352366255144;0,2494906391545043;0,3828098389531958
23, Dec;0,3510237544036236;0,29207398087569203;0,23953444891796682;0,2641105561147459;0,2893876824358329;0,285251919;0,28727794924554184;0,23953444891796682;0,3510237544036236
