"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,26899813042510573;0,22501028266191853;0,1843450033385266;0,2446686178499889;0,23439107500556422;0,259004653;0,2236837179292546;0,1843450033385266;0,26899813042510573
2, Jan;0,2579466503449811;0,2190215446249722;0,17945833518807033;0,24500694969953263;0,23152984642777658;0,243977615;0,2215775239107333;0,17945833518807033;0,2579466503449811
3, Feb;0,25118913866013803;0,21390830180280437;0,18067102158913867;0,2312270643222791;0,21988930558646785;0,239597601;0,21655402307575528;0,18067102158913867;0,25118913866013803
4, Feb;0,2434695081237481;0,20894384598263965;0,17286757177832182;0,2165031215223681;0,214705436234142;0,225975558;0,21362484439046608;0,17286757177832182;0,2434695081237481
5, Mar;0,23481246383262858;0,20151339862007567;0,16838090362786556;0,21628469841976408;0,20756406076118405;0,217440929;0,20799527857901928;0,16838090362786556;0,23481246383262858
6, Mar;0,2285850434008458;0,19781613621188515;0,16724972178945025;0,21740708880480747;0,20376367683062543;0,220282746;0,20544632609685748;0,16724972178945025;0,2285850434008458
7, Apr;0,22252539505898064;0,19278539951034943;0,16094593812597374;0,20390840752281328;0,19789670042288005;0,211092956;0,19774815545771976;0,16094593812597374;0,22252539505898064
8, Apr;0,2213531493434231;0,1894384820832406;0,1504485866904073;0,20614267749833076;0,19722487202314712;0,210759898;0,1957055184454228;0,1504485866904073;0,2213531493434231
9, May;0,21912641887380369;0,18628693523258405;0,15775024482528377;0,19847781549076343;0,191338048074783;0,205447283;0,18924070138150903;0,15775024482528377;0,21912641887380369
10, May;0,21854941019363455;0,1845019586022702;0,15703930558646786;0,1899645893612286;0,1961485866904073;0,20590523;0,1847354182480644;0,15703930558646786;0,21854941019363455
11, Jun;0,22710763409748497;0,1830777431560205;0,14613300689962164;0,18262526151791678;0,19318585021144002;0,21766963;0,1606406027022924;0,14613300689962164;0,22710763409748497
12, Jun;0,2686027375918095;0,19133465390607612;0,15193835967059874;0,19149566547963498;0,20500233696861783;0,235771983;0,17569763169880068;0,15193835967059874;0,2686027375918095
13, Jul;0,41926921878477635;0,230542377030937;0,15823039172045403;0,33707065435121303;0,19898807589583797;0,241004539;0,2705851449825414;0,15823039172045403;0,41926921878477635
14, Jul;0,5526705096817272;0,32068295125751173;0,16974652793233921;0,3496345648787002;0,3399310928110394;0,304204964;0,44222786549263704;0,16974652793233921;0,5526705096817272
15, Aug;0,6385971066102827;0,4235379034052971;0,18966926329846429;0,4561484642777654;0,45319276096149574;0,48543094;0,5235468878093213;0,18966926329846429;0,6385971066102827
16, Aug;0,6958288893834854;0,5356930336078345;0,32568969508123746;0,5185226852882262;0,6157058479857557;0,596586208;0,6129408987399424;0,32568969508123746;0,6958288893834854
17, Sept;0,690344624972179;0,5494668150456266;0,37687108835967065;0,5552230191408859;0,6283479579345649;0,552394459;0,6426691513587369;0,37687108835967065;0,690344624972179
18, Sept;0,6089475628755843;0,45836064989984426;0,29690336078344093;0,4326268306254173;0,5130755286000446;0,455570586;0,5317117048732352;0,29690336078344093;0,6089475628755843
19, Oct;0,5018973069218785;0,3535444024037392;0,24725292677498334;0,34246880703316274;0,3403110004451369;0,336707773;0,4577652345529073;0,24725292677498334;0,5018973069218785
20, Nov;0,3934015134653906;0,29629169819719564;0,22562510572000893;0,26651481749387934;0,3228122969062987;0,290390899;0,3210673068164567;0,22562510572000893;0,3934015134653906
21, Nov;0,3321935900289339;0,26656345426218564;0,21597985755619853;0,24272030380592033;0,2852247106610283;0,268217975;0,29423884924851984;0,21597985755619853;0,3321935900289339
22, Dec;0,3030703761406633;0,2502567104384598;0,2030453371911863;0,23632621299799692;0,2681508735811262;0,249996356;0,28299359344162744;0,2030453371911863;0,3030703761406633
23, Dec;0,2888389494769642;0,23920393946138438;0,1955332517249054;0,21624061317605167;0,24632060983752505;0,257268559;0,2684237285562472;0,1955332517249054;0,2888389494769642
