"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,24418009457662185;0,20830008866558297;0,17551443771242797;0,21951463630987583;0,2130210199556541;0,232805851;0,2013971128608924;0,17551443771242797;0,24418009457662185
2, Jan;0,23928111423082607;0,2043675188414364;0,17591411260529038;0,21742288248337027;0,21188192699867;0,220428894;0,1965941271442987;0,17591411260529038;0,23928111423082607
3, Feb;0,23321165952416137;0,20179305452933355;0,17568210432983597;0,20851516181468893;0,20325904522613067;0,216912571;0,1970384817282455;0,17568210432983597;0,23321165952416137
4, Feb;0,22621734889906903;0,19745633220038422;0,1722508349342397;0,20240947383978716;0,19765093140153756;0,205151877;0,19434990914597214;0,1722508349342397;0,22621734889906903
5, Mar;0,22110489138466088;0,1924674745086449;0,16857515885916952;0,19939074922417616;0,19297704021289178;0,206897498;0,18896651190956804;0,16857515885916952;0,22110489138466088
6, Mar;0,21637060735924338;0,19074316536131225;0,16654530811290086;0,19772704699970442;0,1933588322246859;0,203262026;0,18753130048465266;0,16654530811290086;0,21637060735924338
7, Apr;0,21223243682577214;0,18714601743756468;0,16446784394857397;0,19401979012710613;0,18849441241685144;0,200459968;0,18411356479612434;0,16446784394857397;0,21223243682577214
8, Apr;0,21234784985961283;0,18458454263336782;0,1536051869366041;0,19428665188470065;0,1895355263157895;0,203804399;0,18321120533010296;0,1536051869366041;0,21234784985961283
9, May;0,2082232599379341;0,18096887838037537;0,1574172011230974;0,1882966302098729;0,18024235659373153;0,193021772;0,17942396527357157;0,1574172011230974;0,2082232599379341
10, May;0,2047625683463869;0,17908183833308705;0,15673658933057485;0,1811135953893897;0,18581537324464156;0,193744552;0,17514752675146378;0,15673658933057485;0,2047625683463869
11, Jun;0,20376651396482934;0,17518594650509828;0,1461436677996158;0,17898246599645182;0,17476161690806977;0,192795621;0,15342755905511812;0,1461436677996158;0,20376651396482934
12, Jun;0,2428270282252106;0,18312023053051574;0,15550305896261268;0,1811827693217083;0,19441985218034;0,20631927;0,16930631940238242;0,15550305896261268;0,2428270282252106
13, Jul;0,38351668390719673;0,2124576917393232;0,1567778927146446;0,20946515442589037;0,18823421519361513;0,219382425;0,21321027452563587;0,1567778927146446;0,38351668390719673
14, Jul;0,4012884882518103;0,25072859465050984;0,1562232156051426;0,24926846540508574;0,2593590600059119;0,21685004;0,3313437108822936;0,1562232156051426;0,4012884882518103
15, Aug;0,49069572927441996;0,3158668834047584;0,17066326289345352;0,348373145137452;0,32430382739766517;0,302342514;0,3785719878910192;0,17066326289345352;0,49069572927441996
16, Aug;0,5833693512634845;0,4063736958770504;0,22917622284616523;0,412471149866982;0,47990091634643806;0,406844935;0,5206848949919225;0,22917622284616523;0,5833693512634845
17, Sept;0,5712684498300576;0,4260916211024088;0,2945164179104478;0,4986329637841833;0,4823145285249779;0,417678168;0,5320166161922067;0,2945164179104478;0,5712684498300576
18, Sept;0,5021429880301462;0,37566679473917547;0,2607830944288459;0,3775487732781555;0,42904767184035475;0,347338378;0,4338895215021199;0,2607830944288459;0,5021429880301462
19, Oct;0,4150186493276194;0,30478362642234375;0,21997600118220775;0,33916938654841094;0,3023187222715173;0,295460169;0,3462096526655897;0,21997600118220775;0,4150186493276194
20, Nov;0,3588736515442589;0,26193491946209546;0,20663834786463722;0,27013715806594707;0,28563007541032087;0,255348386;0,2648871189178276;0,20663834786463722;0,3588736515442589
21, Nov;0,3056121767400621;0,24214542633367817;0,20085878528151324;0,24399123299822592;0,2556809432288587;0,238586683;0,2559137547970107;0,20085878528151324;0,3056121767400621
22, Dec;0,27536550908822227;0,22830664991872324;0,1900064282547658;0,2310929194382853;0,24261021584861028;0,226264508;0,2515305454545455;0,1900064282547658;0,27536550908822227
23, Dec;0,2607015220925078;0,21953512634845576;0,18299630560070934;0,212533308693081;0,23042436428149027;0,227868099;0,23656165960024228;0,18299630560070934;0,2607015220925078
