"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,3210980722891566;0,26725590361445783;0,2105917001338688;0,282599625167336;0,24570645247657294;0,293048283;0,25023056975894814;0,2105917001338688;0,3210980722891566
2, Jan;0,3012435876840696;0,25530463186077645;0,20358682730923697;0,2825702275769746;0,23757943775100404;0,272029036;0,2450417092768444;0,20358682730923697;0,3012435876840696
3, Feb;0,2861918340026774;0,24369231593038823;0,20048026773761715;0,25401480589022757;0,22295271753681392;0,263468408;0,23719587289992697;0,20048026773761715;0,2861918340026774
4, Feb;0,27603603748326644;0,2343940026773762;0,19273435073627845;0,24252682730923694;0,21582704149933066;0,245400365;0,2263894448502557;0,19273435073627845;0,27603603748326644
5, Mar;0,26223255689424363;0,22413143239625172;0,18304696117804553;0,2397237215528782;0,20948931726907633;0,235536961;0,22272899926953985;0,18304696117804553;0,26223255689424363
6, Mar;0,2569980990629184;0,21910326639892908;0,18065178045515395;0,24475100401606426;0,20103111111111113;0,237310446;0,2160881665449233;0,18065178045515395;0,2569980990629184
7, Apr;0,250607389558233;0,21392564926372157;0,17200821954484605;0,22771868808567608;0,19816147255689426;0,226238787;0,2075628195763331;0,17200821954484605;0,250607389558233
8, Apr;0,25052921017402946;0,2110730120481928;0,17171965194109773;0,2262605354752343;0,19328645247657297;0,223883893;0,20310237399561726;0,17171965194109773;0,25052921017402946
9, May;0,24513036144578315;0,2048464792503347;0,16656736278447123;0,22350310575635876;0,18357319946452477;0,21892122;0,19742958363769175;0,16656736278447123;0,24513036144578315
10, May;0,24599933065595717;0,20041060240963857;0,16446066934404285;0,20696417670682732;0,19641566265060242;0,213011578;0,19378407596785976;0,16446066934404285;0,24599933065595717
11, Jun;0,26240168674698794;0,20057927710843373;0,1504195716198126;0,19539319946452477;0,22754184738955824;0,246952009;0,18697658875091308;0,1504195716198126;0,26240168674698794
12, Jun;0,3102633734939759;0,21223440428380186;0,15473627844712182;0,2038182329317269;0,2832481659973226;0,273253871;0,18262512783053325;0,15473627844712182;0,3102633734939759
13, Jul;0,45879721552878183;0,27465552878179383;0,16290733601070953;0,34661900937081663;0,2593492369477912;0,316697845;0,24883173849525203;0,16290733601070953;0,45879721552878183
14, Jul;0,6078848728246319;0,3827236947791165;0,17369871485943775;0,43309087014725567;0,4137604016064257;0,410564427;0,40718049671292916;0,17369871485943775;0,6078848728246319
15, Aug;0,6815709772423025;0,5028608299866132;0,24247046854083001;0,6235267737617135;0,5050382329317269;0,540365121;0,5464916727538349;0,24247046854083001;0,6815709772423025
16, Aug;0,7270440696117805;0,5964219544846051;0,39225178045515396;0,6633765461847391;0,6248469879518073;0,623051023;0,6231224616508401;0,39225178045515396;0,7270440696117805
17, Sept;0,7282652744310576;0,6339789022757698;0,49249579651941094;0,6870338152610442;0,663788219544846;0,600183528;0,7003113951789628;0,49249579651941094;0,7282652744310576
18, Sept;0,688192235609103;0,6021853815261045;0,4718934404283802;0,6042739491298528;0,6484924765729585;0,59098225;0,6349186632578524;0,4718934404283802;0,688192235609103
19, Oct;0,6249640696117805;0,5023838286479251;0,3698019544846051;0,5055740562248996;0,47234190093708167;0,418093974;0,5896094594594595;0,3698019544846051;0,6249640696117805
20, Nov;0,5218105488621152;0,4110460240963856;0,29718781793842036;0,3920409103078983;0,4487714591700134;0,333801169;0,42073020452885324;0,29718781793842036;0,5218105488621152
21, Nov;0,42938733601070955;0,34304854082998665;0,2654641231593039;0,3239313788487283;0,363390843373494;0,297079036;0,34523834915997076;0,2654641231593039;0,42938733601070955
22, Dec;0,3758940294511379;0,3091181258366801;0,2453629986613119;0,3010905220883534;0,3295496653279786;0,268157122;0,3281398831263696;0,2453629986613119;0,3758940294511379
23, Dec;0,3458250602409639;0,28780680053547525;0,23066423025435076;0,26294109772423024;0,2910389825970549;0,268567969;0,3119037253469686;0,23066423025435076;0,3458250602409639
