"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,24555375494071147;0,19681198945981557;0,15719777667984192;0,22800421607378132;0,2009993906455863;0,208492888;0,1824733633295838;0,15719777667984192;0,24555375494071147
2, Jan;0,2376864624505929;0,19222811264822137;0,1564157279314888;0,2257701910408432;0,19594444993412385;0,200752479;0,17817739032620925;0,1564157279314888;0,2376864624505929
3, Feb;0,23021900527009226;0,18949486166007906;0,15851846179183135;0,21528481554677206;0,1870941370223979;0,197459412;0,17643788526434195;0,15851846179183135;0,23021900527009226
4, Feb;0,21983917984189727;0,18231136363636363;0,15266763833992095;0,2000842391304348;0,18118180171277998;0,185175387;0,16929124859392575;0,15266763833992095;0,21983917984189727
5, Mar;0,20857646574440056;0,1745784090909091;0,14519619565217393;0,20167307312252966;0,17919277009222664;0,178052861;0,16401592800899886;0,14519619565217393;0,20857646574440056
6, Mar;0,20064309947299078;0,17042635046113308;0,14180105401844534;0,19321734189723322;0,17521131422924902;0,174372313;0,16183964004499438;0,14180105401844534;0,20064309947299078
7, Apr;0,198631406455863;0,16850816864295126;0,14322574110671937;0,1891558300395257;0,16879224308300395;0,171512811;0,15714530933633297;0,14322574110671937;0,198631406455863
8, Apr;0,19219522397891964;0,16484687088274047;0,14219632740447957;0,18573819169960476;0,16880350790513834;0,168892304;0,1586768953880765;0,14219632740447957;0,19219522397891964
9, May;0,18581439393939395;0,16076259881422925;0,1382535737812912;0,1888493741765481;0,1637624341238472;0,162610433;0,15471358830146234;0,1382535737812912;0,18581439393939395
10, May;0,19166157773386036;0,15875652173913044;0,13440128458498024;0,1753362483530962;0,17573372859025033;0,154354386;0,15208341957255345;0,13440128458498024;0,19166157773386036
11, Jun;0,20792252964426877;0,15877789855072466;0,12417343544137023;0,163623731884058;0,18989606389986827;0,167917164;0,14391282339707537;0,12417343544137023;0,20792252964426877
12, Jun;0,24653824110671937;0,17161653491436102;0,13326248353096182;0,19847005928853756;0,19589812252964428;0,178741396;0,14736517435320584;0,13326248353096182;0,24653824110671937
13, Jul;0,29856271409749674;0,19514000329380765;0,1381747364953887;0,26343160408432154;0,18004077733860344;0,187648149;0,171570911136108;0,1381747364953887;0,29856271409749674
14, Jul;0,36432971014492754;0,23863773056653492;0,14234838603425562;0,2835054347826087;0,24839166666666668;0,259444245;0,25582812148481443;0,14234838603425562;0,36432971014492754
15, Aug;0,4781033926218709;0,3056074440052701;0,12952292490118578;0,3638507411067194;0,3614082180500659;0,351810343;0,30748751406074243;0,12952292490118578;0,4781033926218709
16, Aug;0,5196551383399209;0,3430366930171278;0,176725790513834;0,3706812417654809;0,4513107484338939;0,371833206;0,3344481664791901;0,176725790513834;0,5196551383399209
17, Sept;0,4973652832674572;0,3376247694334651;0,2060401185770751;0,38612011863568957;0,4241991264216252;0,324793179;0,35118682661837936;0,2060401185770751;0,4973652832674572
18, Sept;0,43339031620553364;0,29405069169960474;0,1772147068511199;0,32438121701846967;0,3677989624505929;0,300451604;0,3052694247077699;0,1772147068511199;0,43339031620553364
19, Oct;0,3618806324110672;0,25391380105401845;0,16915087285902503;0,2528455862977602;0,30872352843915346;0,251644783;0,24719877634262408;0,16915087285902503;0,3618806324110672
20, Nov;0,31775520421607384;0,2350507575757576;0,17853885046113308;0,2288985671936759;0,29034418604651163;0,22643628;0,2320463046417305;0,17853885046113308;0,31775520421607384
21, Nov;0,2923034584980237;0,22435401844532282;0,17704565217391305;0,2151730072463768;0,2636494400527009;0,220486426;0,22058443194600677;0,17704565217391305;0,2923034584980237
22, Dec;0,27179410408432153;0,2147401021080369;0,1711777997364954;0,20944766139657445;0,24779298418972331;0,20790341;0,2192806524184477;0,1711777997364954;0,27179410408432153
23, Dec;0,2617806324110672;0,2083760540184453;0,16573532608695654;0,19597315546772068;0,2267378623188406;0,216467489;0,2105505286839145;0,16573532608695654;0,2617806324110672
