"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,2758140391254315;0,24047796317606446;0,20023014959723823;0,2553047947832758;0,23353996931338702;0,256263931;0,22771630946157867;0,20023014959723823;0,2758140391254315
2, Jan;0,26658853087840434;0,23312435749904103;0,19292366705024935;0,25215930187955504;0,22986992711929422;0,240128698;0,22465865133298485;0,19292366705024935;0,26658853087840434
3, Feb;0,2606618335251247;0,22579896432681246;0,19300291522823168;0,23949850402761796;0,2170511315688531;0,236211605;0,21865671719811813;0,19300291522823168;0,2606618335251247
4, Feb;0,25112539317222865;0,22036758726505565;0,18812899884925202;0,2235789413118527;0,21192562332182585;0,223253947;0,2122932043910089;0,18812899884925202;0,25112539317222865
5, Mar;0,24433705408515535;0,21150600306866132;0,18043636363636364;0,22115949367088608;0,20495040276179516;0,213200627;0,20619362258233143;0,18043636363636364;0,24433705408515535
6, Mar;0,2342883774453395;0,20790533179900267;0,17764856156501727;0,2265719984656694;0,20212619869581896;0,216868583;0,20338557239937274;0,17764856156501727;0,2342883774453395
7, Apr;0,2298384349827388;0,2013229190640583;0,16729056386651323;0,21640705792098197;0,19570494821634063;0,210765238;0,19498238369053844;0,16729056386651323;0,2298384349827388
8, Apr;0,2276805523590334;0,19746459532029154;0,16477188339087076;0,21092731108553894;0,1936420406597622;0,209667642;0,19099712493465762;0,16477188339087076;0,2276805523590334
9, May;0,2233474491752973;0,19155521672420409;0,16437234369006523;0,20578672803989262;0,18384192558496357;0,201651647;0,18558473601672765;0,16437234369006523;0,2233474491752973
10, May;0,20831215957038746;0,1873372842347526;0,1640920598388953;0,19269907940161105;0,18618469505178367;0,193782122;0,18200371144798747;0,1640920598388953;0,20831215957038746
11, Jun;0,21577840429612585;0,18283996931338706;0,14679489835059456;0,1831565400843882;0,19245945531261988;0,199130894;0,16155185572399375;0,14679489835059456;0,21577840429612585
12, Jun;0,3156741848868431;0,20186045262754124;0,15471956271576526;0,19746459532029154;0,22220375911008824;0,239905802;0,18874709879769994;0,15471956271576526;0,3156741848868431
13, Jul;0,4387996164173379;0,2508533755274262;0,16109835059455313;0,3593361334867664;0,24625508247027234;0,239449869;0,2955162571876634;0,16109835059455313;0,4387996164173379
14, Jul;0,5582775604142693;0,33313782125047947;0,16923153049482165;0,3453355197545071;0,4111641733793633;0,330494668;0,3802289074751699;0,16923153049482165;0,5582775604142693
15, Aug;0,6356112006137322;0,42394967395473726;0,1862667433831991;0,5338418872266973;0,4915692366705025;0,455752013;0,5043502875065343;0,1862667433831991;0,6356112006137322
16, Aug;0,6677338703490602;0,5278865362485616;0,3498734560797852;0,597293479094745;0,5366248561565018;0,525699111;0,573160010454783;0,3498734560797852;0,6677338703490602
17, Sept;0,6755686229382432;0,5597638665132336;0,4465242040659762;0,6180278481012659;0,58351223628692;0,519377522;0,608452064819655;0,4465242040659762;0,6755686229382432
18, Sept;0,6230791331031837;0,5159495205216725;0,38490724971231305;0,5542238204833142;0,5620329113924051;0,49835886;0,5380548353371668;0,38490724971231305;0,6230791331031837
19, Oct;0,5447894898350595;0,42341618718833907;0,3131894514767933;0,5043519754507096;0,41183609512850017;0,382115944;0,46987527443805543;0,3131894514767933;0,5447894898350595
20, Nov;0,45339505178365935;0,34774852320675104;0,25740506329113927;0,3542967779056387;0,38717418488684313;0,336677156;0,326158024046001;0,25740506329113927;0,45339505178365935
21, Nov;0,3689288454161872;0,29856729957805905;0,24280264672036825;0,29995680859225166;0,32914322976601457;0,292854783;0,2984774699424987;0,24280264672036825;0,3689288454161872
22, Dec;0,32107779056386654;0,27258151131568853;0,2278950517836594;0,2725584579976985;0,2956599923283468;0,260504496;0,2873619445896498;0,2278950517836594;0,32107779056386654
23, Dec;0,2972550824702723;0,25833354430379746;0,2158058688147296;0,24729351745301115;0,2667461833525125;0,250375954;0,26930412963931;0,2158058688147296;0,2972550824702723
