"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,3206714539795465;0,27320640284570924;0,22628474877723434;0,29971336014298483;0,2785107719928187;0,281048854;0,24321394495412843;0,22628474877723434;0,3206714539795465
2, Jan;0,3039497997329773;0,2611677570093458;0,22182016021361817;0,2946013857845329;0,26933288590604026;0,258961821;0,23833060476481369;0,22182016021361817;0,3039497997329773
3, Feb;0,2851241655540721;0,2510605473965287;0,21505376056964842;0,2690471985656656;0,25042004474272933;0,250918335;0,24029846625766874;0,21505376056964842;0,2851241655540721
4, Feb;0,2761225088967972;0,242467237544484;0,2100458185053381;0,2588579677708147;0,23839148745519717;0,230340651;0,23151868872549022;0,2100458185053381;0,2761225088967972
5, Mar;0,26788905693950177;0,23411394572953736;0,1998908362989324;0,25673686800894857;0,2324710514541387;0,23039813;0,22914240390482002;0,1998908362989324;0,26788905693950177
6, Mar;0,26136141522029377;0,2308758789497107;0,20155776591010235;0,24432379248658317;0,22979557046979868;0,22824614;0,22796705450091856;0,20155776591010235;0,26136141522029377
7, Apr;0,2564456647398844;0,22389797687861274;0,191922943530458;0,24166526785714287;0,2196362331838565;0,22308269;0,21480097859327216;0,191922943530458;0,2564456647398844
8, Apr;0,2507018238434164;0,2212804715302491;0,1916366103202847;0,24109105945462675;0,22155832959137853;0,224302714;0,21102073170731706;0,1916366103202847;0,2507018238434164
9, May;0,24360929301911963;0,2136010004446421;0,17904308581591818;0,23229225604297227;0,2045550380653829;0,217094331;0,20455951070336392;0,17904308581591818;0,24360929301911963
10, May;0,24309728768341485;0,21028781680746997;0,17621253890618052;0,21991228148812195;0,2185325862841775;0,210785163;0,20541321909424726;0,17621253890618052;0,24309728768341485
11, Jun;0,25532912405513564;0,20807063139172965;0,16135807025344598;0,22684348410210478;0,23632312864186467;0,219977141;0,1809845871559633;0,16135807025344598;0,25532912405513564
12, Jun;0,2938053357047577;0,21783374833259228;0,17556660738105825;0,22422925078510544;0,24400362578334828;0,238779071;0,20273457772337822;0,17556660738105825;0,2938053357047577
13, Jul;0,42042109479305745;0,26044134401424124;0,16770605251446374;0,24120192566054635;0,25901827524575516;0,225589083;0,25043302808302814;0,16770605251446374;0,42042109479305745
14, Jul;0,5431647398843931;0,34931885282347713;0,1813214317474433;0,40815149620366237;0,3665312025033527;0,337157961;0,4237583843329254;0,1813214317474433;0,5431647398843931
15, Aug;0,6395670226969292;0,45542652425456165;0,20728584779706277;0,5921871358135365;0,5469572389063201;0,433668697;0,5248942542787286;0,20728584779706277;0,6395670226969292
16, Aug;0,6784568697198755;0,5347082258781681;0,3354415295686972;0,6235118226600986;0,558830035810206;0,560913148;0,5382511301160661;0,3354415295686972;0,6784568697198755
17, Sept;0,6922696754112939;0,5755768341485105;0,4379697643397066;0,6792815446789403;0,6155787348586811;0,545545899;0,6482364525993884;0,4379697643397066;0,6922696754112939
18, Sept;0,6566758559359716;0,5589558915073366;0,4348429079590929;0,6090837958818264;0,581623935454953;0,585999578;0,6072181651376147;0,4348429079590929;0,6566758559359716
19, Oct;0,6185845709204091;0,5041303690529124;0,3700883059137395;0,6121310822898032;0,5026363636363637;0,48249029;0,5763675626145388;0,3700883059137395;0,6185845709204091
20, Nov;0,5272355585224744;0,420504984423676;0,3192342234089898;0,47893433169423333;0,4775873881932022;0,400506514;0,4001902811735941;0,3192342234089898;0,5272355585224744
21, Nov;0,4404298932384341;0,35562958185053384;0,28003042704626335;0,3832592211280215;0,4078300044782804;0,339015682;0,3629709401709402;0,28003042704626335;0,4404298932384341
22, Dec;0,38275834445927903;0,31585574098798397;0,2569033377837116;0,33362034961900494;0,34724354045596784;0,288450241;0,33635107164727496;0,2569033377837116;0,38275834445927903
23, Dec;0,34384379724321923;0,29269310804802134;0,24517029791018233;0,30428609745194457;0,315529448677723;0,281519059;0,3050391330891331;0,24517029791018233;0,34384379724321923
