"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,4831908797127469;0,38668768402154396;0,26021730700179535;0,4288918312387792;0,3954344703770198;0,440793718;0,35859990200881925;0,26021730700179535;0,4831908797127469
2, Jan;0,42443206463195693;0,3476841651705566;0,2613245062836625;0,4050848833034112;0,3663999461400359;0,364739575;0,32016663400293977;0,2613245062836625;0,42443206463195693
3, Feb;0,36596822262118495;0,30392574506283665;0,24232615798922805;0,3103050448833034;0,30695423698384205;0,337874896;0,30072721705046546;0,24232615798922805;0,36596822262118495
4, Feb;0,32804603231597845;0,2768001077199282;0,2293640933572711;0,2723443985637343;0,2612908617594255;0,285186947;0,2601454434100931;0,2293640933572711;0,32804603231597845
5, Mar;0,31791138240574507;0,267609407540395;0,2162767324955117;0,2796862298025135;0,2470348653500898;0,264100122;0,2661113424791769;0,2162767324955117;0,31791138240574507
6, Mar;0,33247174147217234;0,27967840215439854;0,23125965888689407;0,29768163375224416;0,26507105924596047;0,284279614;0,2749298138167565;0,23125965888689407;0,33247174147217234
7, Apr;0,35734477558348293;0,2926014183123878;0,22653152603231597;0,3093703411131059;0,2693213105924596;0,297486654;0,2716091621754042;0,22653152603231597;0,35734477558348293
8, Apr;0,38297658886894076;0,30329497307001796;0,23599497307001793;0,32402425493716336;0,28267585278276486;0,311348399;0,2809292993630573;0,23599497307001793;0,38297658886894076
9, May;0,40088114901256733;0,3107703411131059;0,233126894075404;0,32725538599640935;0,26729542190305206;0,301376485;0,27805906418422344;0,233126894075404;0,40088114901256733
10, May;0,45465210053859967;0,3292573429084381;0,23437619389587078;0,3230437881508079;0,3220872172351885;0,314862943;0,2771459088682019;0,23437619389587078;0,45465210053859967
11, Jun;0,5236052064631957;0,3655835906642729;0,2366604129263914;0,30318161579892283;0,3983922262118492;0,38414901;0,2854658745712886;0,2366604129263914;0,5236052064631957
12, Jun;0,6472439497307002;0,4680618671454219;0,26020619389587074;0,47619131059245967;0,5719264272890485;0,443840332;0,4362115139637433;0,26020619389587074;0,6472439497307002
13, Jul;0,7346815080789947;0,547676696588869;0,25526421903052066;0,5425519748653501;0,5701387432675045;0,532576705;0,5449390739833415;0,25526421903052066;0,7346815080789947
14, Jul;0,7800126391382406;0,5854413285457809;0,22533933572710954;0,6381595870736086;0,5617322980251346;0,660675654;0,5531926261636453;0,22533933572710954;0,7800126391382406
15, Aug;0,8107961938958708;0,6203095152603232;0,22122278276481147;0,7015179174147217;0,5916485098743267;0,594592202;0,6242143557079863;0,22122278276481147;0,8107961938958708
16, Aug;0,8288142190305208;0,6809927468581688;0,3319267145421903;0,6944061220825853;0,6902168581687613;0,73372899;0,6285486036256738;0,3319267145421903;0,8288142190305208
17, Sept;0,8184726750448833;0,7378099820466787;0,5629347935368043;0,8175037163375225;0,7569030161579893;0,691547861;0,7767265066144047;0,5629347935368043;0,8184726750448833
18, Sept;0,8141044883303412;0,7483765888689408;0,6576519928186715;0,7647093716337523;0,7452174685816877;0,797018528;0,7471268250857422;0,6576519928186715;0,8141044883303412
19, Oct;0,778984631956912;0,7176598922800719;0,6445675403949731;0,7144294434470377;0,7278731238779175;0,715029993;0,7339061979421853;0,6445675403949731;0,778984631956912
20, Nov;0,7265333572710951;0,6438233393177738;0,5594448473967684;0,6186604129263914;0,6444143267504489;0,655684894;0,6532729544341009;0,5594448473967684;0,7265333572710951
21, Nov;0,6350703052064632;0,5545724236983842;0,4485345780969479;0,519281526032316;0,6043914901256733;0,56158306;0,5388224154826066;0,4485345780969479;0,6350703052064632
22, Dec;0,5674369838420108;0,4967578456014363;0,39377296229802516;0,44950278276481154;0,5321733752244165;0,48800198;0,5200787359137677;0,39377296229802516;0,5674369838420108
23, Dec;0,5119628725314183;0,4395364093357272;0,3447454578096948;0,3195;0,45292098743267506;0,430615106;0,4784845418912298;0,3447454578096948;0,5119628725314183
