"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,33592215635420525;0,2780343645794739;0,23126013338273435;0,2964182357301705;0,26993492769744165;0,285017769;0,24654936900555277;0,23126013338273435;0,33592215635420525
2, Jan;0,3111202667654687;0,2642675435346425;0,22530085216746945;0,28617875417130145;0,261177909562639;0,259742605;0,24245522463402322;0,22530085216746945;0,3111202667654687
3, Feb;0,29114049648017787;0,25091061504260836;0,2167356057799185;0,25021207854761024;0,24092978881067062;0,246103685;0,23785007571933367;0,2167356057799185;0,29114049648017787
4, Feb;0,27657591700629863;0,24028842163764358;0,2069881808077066;0,24682808447573176;0,22817684327528714;0,232532913;0,22762847046945986;0,2069881808077066;0,27657591700629863
5, Mar;0,2596524268247499;0,22967221193034457;0,19881548721748796;0,24220418673582808;0,21972982586143017;0,222081979;0,22476148409893995;0,19881548721748796;0,2596524268247499
6, Mar;0,25488755094479437;0,2259447202667655;0,19940970729899965;0,2448559836976658;0,2140872915894776;0,224869359;0,2151482584553256;0,19940970729899965;0,25488755094479437
7, Apr;0,2514180807706558;0,2213161541311597;0,19089162652834385;0,2309690255650241;0,21068128936643202;0,219166683;0,20867077233720344;0,19089162652834385;0,2514180807706558
8, Apr;0,24600259355316786;0,21622289736939607;0,1870546869210819;0,22234861059651723;0,20780852167469435;0,215096214;0,1988407370015144;0,1870546869210819;0,24600259355316786
9, May;0,2387647647276769;0,20880544646165244;0,1817882919599852;0,21162437939977774;0,1982996294924046;0,206691519;0,19580242301867742;0,1817882919599852;0,2387647647276769
10, May;0,2298207113745832;0,2013215264912931;0,17170366802519452;0,2023380881808077;0,20886672841793258;0,196378193;0,190055275113579;0,17170366802519452;0,2298207113745832
11, Jun;0,29126880326046684;0,2018215635420526;0,1486939607261949;0,19005250092626902;0,25693267876991477;0,202895003;0,16334891468955073;0,1486939607261949;0,29126880326046684
12, Jun;0,3472561689514635;0,22359203408669878;0,15863190070396443;0,21429158947758428;0,3268074842534272;0,220021353;0,21657046945986877;0,15863190070396443;0,3472561689514635
13, Jul;0,4430188217858467;0,288863875509448;0,17149966654316415;0,29243371619118197;0,3661174879585032;0,319897173;0,323627763755679;0,17149966654316415;0,4430188217858467
14, Jul;0,5748942200815117;0,38838477213782885;0,16769547980733607;0,3852322341608003;0,45786683957021124;0,49876421;0,4951727915194347;0,16769547980733607;0,5748942200815117
15, Aug;0,6944855131530197;0,510015487217488;0,23876624675805858;0,6087502408299371;0,5345283067802891;0,578446542;0,6152945482079758;0,23876624675805858;0,6944855131530197
16, Aug;0,7549208595776215;0,6060765468692108;0,3380461652463876;0,6600213412374955;0,658582586143016;0,697749621;0,622853659767794;0,3380461652463876;0,7549208595776215
17, Sept;0,7373739903668026;0,6511331604297887;0,5459854390515005;0,7301269829503336;0,6904553207267334;0,61871999;0,6826042402826855;0,5459854390515005;0,7373739903668026
18, Sept;0,7161221193034458;0,6344095590959615;0,5526189329381253;0,683098221563542;0,6328925157465729;0,671754922;0,642423624432105;0,5526189329381253;0,7161221193034458
19, Oct;0,674065728047425;0,5637493886624676;0,45345868840311226;0,5953272323082623;0,5183027047054465;0,564918728;0,5833280666330136;0,45345868840311226;0,674065728047425
20, Nov;0,5983241200444609;0,45752334197851063;0,3497859577621341;0,4383577991848834;0,48690837347165616;0,406912014;0,44778403233956543;0,3497859577621341;0,5983241200444609
21, Nov;0,4804679140422379;0,37383727306409786;0,2962093738421638;0,34874541403639064;0,4145514869888476;0,350494851;0,354874558303887;0,2962093738421638;0,4804679140422379
22, Dec;0,3911580955909596;0,3276505372360134;0,2630481289366432;0,3179275964391692;0,35552638991845814;0,303159566;0,32633772727272725;0,2630481289366432;0,3911580955909596
23, Dec;0,3583484623934791;0,30019018154872174;0,246345646535754;0,27400808905380336;0,3196900890868597;0,280385866;0,30224038364462397;0,246345646535754;0,3583484623934791
