"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,5633651741293533;0,45551671641791047;0,35496706467661693;0,5327602669404518;0,49207270875763753;0,486748011;0,4412009735744089;0,35496706467661693;0,5633651741293533
2, Jan;0,5268741516966068;0,4385469061876248;0,33245279441117764;0,5026787321063395;0,48293370786516854;0,426979443;0,446771488764045;0,33245279441117764;0,5268741516966068
3, Feb;0,5064525423728814;0,4155809322033899;0,3187612163509472;0,4207630234933606;0,43401646216768913;0,430395358;0,4391104225352113;0,3187612163509472;0,5064525423728814
4, Feb;0,47562045908183637;0,38902215568862275;0,2851449101796408;0,41864600606673413;0,3941158324821246;0,374552387;0,3937868162692847;0,2851449101796408;0,47562045908183637
5, Mar;0,46964735792622136;0,37665777666999;0,2743861415752742;0,4370101226993865;0,3957844670050762;0,370710212;0,3743184210526316;0,2743861415752742;0,46964735792622136
6, Mar;0,4487908548707754;0,3608590954274354;0,2590368787276342;0,4009482197355036;0,36996531027466945;0,360366844;0,3853901685393259;0,2590368787276342;0,4487908548707754
7, Apr;0,43688089552238807;0,3478355223880597;0,2512958208955224;0,40337079918032787;0,3596828774062817;0,341870027;0,34906952247191014;0,2512958208955224;0,43688089552238807
8, Apr;0,4293399402390438;0,3423265189243028;0,24083286852589642;0,41880940695296526;0,3713843237704918;0,348985411;0,34783300835654596;0,24083286852589642;0,4293399402390438
9, May;0,43044502982107363;0,338430541749503;0,23061053677932405;0,39085702564102565;0,34698471794871794;0,346612069;0,34362591036414564;0,23061053677932405;0,43044502982107363
10, May;0,454004780876494;0,34714469621513944;0,23027011952191234;0,4074567484662577;0,3774790339157246;0,327519894;0,3255586592178771;0,23027011952191234;0,454004780876494
11, Jun;0,48336819541375875;0,3514922482552343;0,21800677966101695;0,3356514811031665;0,363725050916497;0,379061936;0,34943687150837993;0,21800677966101695;0,48336819541375875
12, Jun;0,5531683582089553;0,373959552238806;0,15027601990049752;0,48901220752797564;0,45628181818181823;0,404158488;0,3707851123595506;0,15027601990049752;0,5531683582089553
13, Jul;0,621661876247505;0,4140634481037924;0,1586673652694611;0,4098975384615385;0,4494151174668029;0,356110477;0,4580629055007053;0,1586673652694611;0,621661876247505
14, Jul;0,6191455179282869;0,4212024402390438;0,1278128486055777;0,5296733879222109;0,4315114052953157;0,355920955;0,32960453900709225;0,1278128486055777;0,6191455179282869
15, Aug;0,6415707;0,41831775;0,1169771;0,5015571428571429;0,43264159021406734;0,428207958;0,4942179125528914;0,1169771;0,6415707
16, Aug;0,6664506972111555;0,45221518924302795;0,13175478087649403;0,5168454822335026;0,45147997977755316;0,525621618;0,37528227848101264;0,13175478087649403;0,6664506972111555
17, Sept;0,6718370259481039;0,504077245508982;0,22353413173652695;0,6319028659160697;0,6003064089521872;0,520498541;0,5295570028011204;0,22353413173652695;0,6718370259481039
18, Sept;0,6833694915254238;0,5331884845463609;0,2902221335992024;0,5683448665297741;0,47823346938775513;0,536705305;0,5921985835694051;0,2902221335992024;0,6833694915254238
19, Oct;0,6763932270916335;0,5574447211155379;0,4185722111553785;0,5821700819672131;0,5699907949790796;0,543810212;0,5827728789986092;0,4185722111553785;0,6763932270916335
20, Nov;0,6485775896414343;0,5459604581673307;0,4247707171314741;0,5736753564154787;0,578723697650664;0,545379443;0,561693837535014;0,4247707171314741;0,6485775896414343
21, Nov;0,6288101694915255;0,5271116650049851;0,41014536390827516;0,5919763319672131;0,5331887063655031;0,511708223;0,5585123076923078;0,41014536390827516;0,6288101694915255
22, Dec;0,5995100597609563;0,505687749003984;0,38972908366533865;0,5515315897435897;0,5264338430173292;0,483353979;0,5584709497206705;0,38972908366533865;0,5995100597609563
23, Dec;0,5757953140578266;0,4801201894317049;0,3741726819541376;0,4912984662576687;0,49452548818088393;0,465185544;0,5302641853932585;0,3741726819541376;0,5757953140578266
