"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,2683742268041237;0,205778543814433;0,1497381443298969;0,22318064516129035;0,20764845360824744;0,167608333;0,18503846153846157;0,1497381443298969;0,2683742268041237
2, Jan;0,2604216494845361;0,20168965850515466;0,15170515463917525;0,21956494845360827;0,20341030927835052;0,147043056;0,1880857142857143;0,15170515463917525;0,2604216494845361
3, Feb;0,251259793814433;0,19219326675257734;0,13432371134020618;0,19527216494845362;0,19057319587628865;0,137290278;0,18751406250000002;0,13432371134020618;0,251259793814433
4, Feb;0,24181134020618558;0,18670492912371137;0,1399278350515464;0,19876804123711342;0,18737525773195876;0,114702778;0,1791969230769231;0,1399278350515464;0,24181134020618558
5, Mar;0,2303061855670103;0,17934716494845362;0,13385257731958763;0,19245578947368422;0,17630515463917526;0,125711111;0,1734109375;0,13385257731958763;0,2303061855670103
6, Mar;0,22592268041237112;0,1754269007731959;0,13151443298969073;0,19553854166666668;0,1756721649484536;0,113327778;0,16800615384615386;0,13151443298969073;0,22592268041237112
7, Apr;0,22119278350515467;0,17086731636597938;0,12846701030927835;0,17571443298969072;0,16099684210526316;0,116420833;0,1569560606060606;0,12846701030927835;0,22119278350515467
8, Apr;0,21826288659793813;0,16771011597938146;0,12781958762886597;0,18340103092783505;0,17085257731958764;0,130269444;0,15474848484848486;0,12781958762886597;0,21826288659793813
9, May;0,2103319587628866;0,16149908182989692;0,1167639175257732;0,1771072916666667;0,15132474226804124;0,113522222;0,15893015873015873;0,1167639175257732;0,2103319587628866
10, May;0,2077360824742268;0,15808666237113403;0,11367731958762886;0,17630729166666667;0,16590309278350515;0,105336111;0,15194218750000002;0,11367731958762886;0,2077360824742268
11, Jun;0,21221134020618557;0,1538928318298969;0,08423505154639176;0,17127113402061855;0,17053092783505155;0,112673611;0,09076515151515152;0,08423505154639176;0,21221134020618557
12, Jun;0,2426680412371134;0,16630442976804125;0,11427319587628866;0,16516288659793815;0,1591979381443299;0,1292;0,1443984126984127;0,11427319587628866;0,2426680412371134
13, Jul;0,3079783505154639;0,18226488402061855;0,10221546391752578;0,16422061855670106;0,17390309278350516;0,121045833;0,13428030303030303;0,10221546391752578;0,3079783505154639
14, Jul;0,33282989690721654;0,2087820070876289;0,10458659793814434;0,20914742268041236;0,21462680412371132;0,165256944;0,21721692307692306;0,10458659793814434;0,33282989690721654
15, Aug;0,3632474226804124;0,23722638530927834;0,12071752577319587;0,255215625;0,21381443298969072;0,1203125;0,2562142857142857;0,12071752577319587;0,3632474226804124
16, Aug;0,4170639175257732;0,2773624355670103;0,14230824742268042;0,27750520833333336;0,20409484536082476;0,20605;0,2512076923076923;0,14230824742268042;0,4170639175257732
17, Sept;0,4386824742268042;0,2971240979381443;0,18840824742268042;0,32174526315789476;0,26391649484536084;0,219508333;0,29027846153846154;0,18840824742268042;0,4386824742268042
18, Sept;0,37189587628865983;0,2780116301546392;0,19619896907216497;0,27752268041237116;0,25928659793814435;0,2321125;0,25194375;0,19619896907216497;0,37189587628865983
19, Oct;0,343419587628866;0,25601717139175256;0,18244948453608248;0,2747938144329897;0,2638043010752688;0,204427778;0,2590555555555556;0,18244948453608248;0,343419587628866
20, Nov;0,32626494845360826;0,24496744523195876;0,1803536082474227;0,24468617021276598;0,2767938144329897;0,187551389;0,23171666666666665;0,1803536082474227;0,32626494845360826
21, Nov;0,3044762886597938;0,23265934278350517;0,17726701030927836;0,23239473684210527;0,22496947368421052;0,190426389;0,2215234375;0,17726701030927836;0,3044762886597938
22, Dec;0,29743917525773195;0,22098632409793814;0,15940103092783506;0,22197628865979382;0,23343917525773197;0,154169444;0,21715846153846155;0,15940103092783506;0,29743917525773195
23, Dec;0,2807680412371134;0,2145278994845361;0,15913917525773197;0,21982795698924734;0,21199684210526318;0,168141667;0,20909531250000002;0,15913917525773197;0,2807680412371134
