"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,23142470323248313;0,18849033907591162;0,15265626103366411;0,20972768003896028;0,19533230048091557;0,208204248;0,1758234320412577;0,15265626103366411;0,23142470323248313
2, Jan;0,22773735922566507;0,18570384123698788;0,15252459974432336;0,20885529311499365;0,1931819991477446;0,200762092;0,17182792380635503;0,15252459974432336;0,22773735922566507
3, Feb;0,22119943994642968;0,18341089669446642;0,1558467644731235;0,2012588177999635;0,18553694527302614;0,197905534;0,17136436533022792;0,1558467644731235;0,22119943994642968
4, Feb;0,2146999939124612;0,17976285383819324;0,14987082242649297;0,18818505509222622;0,18362077676995192;0,188030789;0,16855069040093162;0,14987082242649297;0,2146999939124612
5, Mar;0,20643104644792112;0,17423083947160162;0,14931904790893044;0,1895606379740671;0,17809039995129972;0,17889625;0,16395222092829814;0,14931904790893044;0,20643104644792112
6, Mar;0,19917533329274975;0,1709431180373775;0,14591832957935108;0,18837684908991298;0,17607143118037377;0,180447872;0,16344268840459159;0,14591832957935108;0,19917533329274975
7, Apr;0,19510960004870032;0,16825880562488585;0,14547291653984296;0,1789409326109454;0,17065455652279785;0,174810213;0,15911828314756282;0,14547291653984296;0,19510960004870032
8, Apr;0,19530592317526027;0,16547783527119989;0,13148246180069398;0,18234758020332378;0,17027400012175078;0,173539982;0,16087493761437366;0,13148246180069398;0,19530592317526027
9, May;0,19067963718268705;0,1630753028550557;0,14114428684482866;0,1752051257076764;0,170565556705424;0,167996449;0,15690090667110299;0,14114428684482866;0,19067963718268705
10, May;0,1900142691909661;0,1607997808486029;0,13869701101844523;0,16947406708467766;0,17765083094904732;0,167291562;0,1505029362834803;0,13869701101844523;0,1900142691909661
11, Jun;0,1955677482193949;0,1596283679308456;0,1328409204358678;0,16232806964144397;0,1771140987398795;0,173901917;0,14308713192480452;0,1328409204358678;0,1955677482193949
12, Jun;0,2135971997321483;0,16456814999695624;0,13677334875509833;0,16946122237779268;0,17469081999147745;0,183744279;0,14590850939943437;0,13677334875509833;0,2135971997321483
13, Jul;0,28741377001278384;0,18361079929384552;0,13944423205697937;0,20375356425397215;0,16979957995982226;0,195791454;0,18449585759441026;0,13944423205697937;0,28741377001278384
14, Jul;0,394823059597005;0,22922391185243807;0,140932160467523;0,3225144335545139;0,21657151031837832;0,202627296;0,30581840791881554;0,140932160467523;0,394823059597005
15, Aug;0,48755945699153835;0,2933991599196445;0,14920606318865282;0,38964957082851404;0,2883730261155415;0,336796914;0,32676711861587093;0,14920606318865282;0,48755945699153835
16, Aug;0,5370046874048823;0,3610875509831375;0,1803779387593596;0,37476936750471784;0,4145701364356194;0,434894234;0,4208023706538014;0,1803779387593596;0,5370046874048823
17, Sept;0,5332942107505936;0,35687309916600723;0,18873787057892494;0,37651470749376026;0,43974226741354117;0,392747922;0,4496241795768782;0,18873787057892494;0,5332942107505936
18, Sept;0,44376657941194375;0,2897591039142875;0,16264944299019907;0,28596667072576715;0,3329578989182913;0,300906612;0,35379781751028294;0,16264944299019907;0,44376657941194375
19, Oct;0,36117883971510323;0,23997185122055154;0,14994336153892981;0,23846564801850614;0,25103032123589997;0,252968672;0,27962595951961033;0,14994336153892981;0,36117883971510323
20, Nov;0,29911141413526515;0,21884972301698422;0,15522520241066537;0,20913599561697208;0,2390527669429547;0,2241189;0,22839436303080765;0,15522520241066537;0,29911141413526515
21, Nov;0,2690720155840993;0,21006625677238694;0,1671510561879832;0,1931550678760577;0,2249992329701102;0,214253008;0,22426033937780737;0,1671510561879832;0,2690720155840993
22, Dec;0,25412345528702746;0,20233173433980642;0,16159858769099655;0,19450273330492482;0,21898615084921166;0,201844761;0,21898987689236402;0,16159858769099655;0,25412345528702746
23, Dec;0,24570251415352773;0,19831024532781397;0,15919704145613928;0,1821505996225726;0,205216302428928;0,212499419;0,21178737314922644;0,15919704145613928;0,24570251415352773
