"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,29165456860486266;0,23970203116473654;0,1914866791972352;0,2652144546171103;0,23690590553568183;0,253664417;0,2179177210997019;0,1914866791972352;0,29165456860486266
2, Jan;0,27399507669920575;0,22898349602861823;0,1848957739647123;0,261638410234645;0,22932638695204027;0,236295711;0,2115738903610467;0,1848957739647123;0,27399507669920575
3, Feb;0,26131456981749834;0,22011777117565032;0,1829636330564482;0,24009914509185715;0,214103698538774;0,22816575;0,20575291487247432;0,1829636330564482;0,26131456981749834
4, Feb;0,24974908142848481;0,21105145213120718;0,17406730127933062;0,2124374340629358;0,20421195658764327;0,212848468;0,19724449320967208;0,17406730127933062;0,24974908142848481
5, Mar;0,23673505123385682;0,20094418238040382;0,1640727581398169;0,22013115867337663;0,19879521008912873;0,202180109;0,19138769460086122;0,1640727581398169;0,23673505123385682
6, Mar;0,2312558539986661;0,19544116898077973;0,15884074455829747;0,21548592129994545;0,19488280482628995;0,201738051;0,19041085624378934;0,15884074455829747;0,2312558539986661
7, Apr;0,2290651064087795;0,19209594373370523;0,15771720123688837;0,20962388892257322;0,1879040259504032;0,197703528;0,1823430026498841;0,15771720123688837;0,2290651064087795
8, Apr;0,22490212817558963;0,18847783908324744;0,15198814042320985;0,213377087249136;0,18855276784090222;0,196057917;0,18299715137462735;0,15198814042320985;0,22490212817558963
9, May;0,2224503486327533;0,18518794640150368;0,1510809434305463;0,21374868732189417;0,1862332140908264;0,190260914;0,17600713812520705;0,1510809434305463;0,2224503486327533
10, May;0,2302449766567635;0,18394090826411205;0,146016031043473;0,20472816346328745;0,1976216334202389;0,189349304;0,17227994368996358;0,146016031043473;0,2302449766567635
11, Jun;0,2602516219002001;0,18866378463590613;0,13402567149699873;0,2001795003941066;0,22414273934396411;0,228787703;0,1569622557138125;0,13402567149699873;0,2602516219002001
12, Jun;0,3267873158309586;0,21928025222821804;0,15252689019584068;0,23587140605105197;0,2802635906142;0,255912107;0,17813484597548856;0,15252689019584068;0,3267873158309586
13, Jul;0,489623331110168;0,2900754501909901;0,17480688777056932;0,36415886739829023;0,2647193172861214;0,277195992;0,2781007204372309;0,17480688777056932;0,489623331110168
14, Jul;0,589790868853453;0,38554851148972297;0,18246720426847754;0,4606160249802947;0,43297250348632754;0,410148965;0,4359345892679696;0,18246720426847754;0,589790868853453
15, Aug;0,6748829685321045;0,4812654095676954;0,22554387922148791;0,5920676044382466;0,5114984842054205;0,525743417;0,5093555399138788;0,22554387922148791;0,6748829685321045
16, Aug;0,7006229551931122;0,555114048384163;0,36720557812405263;0,6028673497847572;0,5913530346207482;0,570079182;0,56717901623054;0,36720557812405263;0,7006229551931122
17, Sept;0,6888623294731099;0,5623881161704967;0,4196199114775966;0,6144382162129388;0,6417366519129328;0,508832378;0,5955260351109639;0,4196199114775966;0,6888623294731099
18, Sept;0,603890183714303;0,4814722367064816;0,3602856727096344;0,5306956405747894;0,5519543624567999;0,485896646;0,48887702881748923;0,3602856727096344;0,603890183714303
19, Oct;0,529657624446735;0,39246591887467414;0,2868245922512581;0,38862205784272114;0,45020662099072334;0,370593425;0,4143381169261345;0,2868245922512581;0,529657624446735
20, Nov;0,4337479415509611;0,33110420178257444;0,2487119626508216;0,31895992239131754;0,38979706542169407;0,304177534;0,3173431848294137;0,2487119626508216;0,4337479415509611
21, Nov;0,37200519008064026;0,29502775723034014;0,22995207663857398;0,2814312678105863;0,329429412478021;0,284377377;0,28962968698244457;0,22995207663857398;0,37200519008064026
22, Dec;0,33874453404474625;0,2730825683623356;0,21752981264778998;0,2683959073546353;0,30271174437640214;0,258671232;0,27926620569725075;0,21752981264778998;0,33874453404474625
23, Dec;0,3164946583399018;0,25879032316740436;0,20823268053113445;0,24066243861031955;0,2693636148669133;0,262974462;0,26875692282212654;0,20823268053113445;0,3164946583399018
