"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,3353662921348315;0,269412191011236;0,20857168539325846;0,2757038374717833;0,2671331818181818;0,259827108;0,23678553846153846;0,20857168539325846;0,3353662921348315
2, Jan;0,32346;0,26025626404494384;0,2044788764044944;0,2767943566591422;0,2567022522522523;0,238281928;0,23318496932515337;0,2044788764044944;0,32346
3, Feb;0,3068026966292135;0,2493462359550562;0,19312134831460676;0,24908054298642535;0,24085765765765765;0,228768675;0,23470550458715597;0,19312134831460676;0,3068026966292135
4, Feb;0,2964478651685393;0,23684918539325847;0,18561977528089887;0,23836004514672687;0,22393747178329573;0,204768072;0,22312804878048784;0,18561977528089887;0,2964478651685393
5, Mar;0,28526584269662925;0,22832915730337078;0,17537887640449437;0,23709549549549552;0,21725;0,208185542;0,22345;0,17537887640449437;0,28526584269662925
6, Mar;0,2705444943820225;0,22135918539325844;0,17392584269662922;0,22138126410835218;0,21247278911564627;0,200148193;0,21470092592592593;0,17392584269662922;0,2705444943820225
7, Apr;0,2600177528089888;0,212543595505618;0,1671076404494382;0,21389684684684684;0,1973467268623025;0,194440361;0,1950006116207951;0,1671076404494382;0,2600177528089888
8, Apr;0,25737348314606745;0,20789181179775285;0,16292;0,21696802721088435;0,19989178082191783;0,198181928;0,20033734567901237;0,16292;0,25737348314606745
9, May;0,24817662921348316;0,19854698033707868;0,15353573033707865;0,2076488738738739;0,18012635135135135;0,179184337;0,1891046153846154;0,15353573033707865;0,24817662921348316
10, May;0,24100044943820226;0,19625257022471912;0,1476303370786517;0,20037460317460318;0,19460520361990952;0,179473795;0,18380460122699388;0,1476303370786517;0,24100044943820226
11, Jun;0,24440516853932587;0,1920553370786517;0,12972898876404496;0,21028619909502264;0,1900234762979684;0,186710843;0,14449292307692307;0,12972898876404496;0,24440516853932587
12, Jun;0,2690925842696629;0,20367654494382023;0,15061011235955057;0,20107217194570134;0,1943961711711712;0,223336446;0,1817766153846154;0,15061011235955057;0,2690925842696629
13, Jul;0,42651977528089896;0,2474223033707865;0,13372202247191012;0,2265627539503386;0,1849704954954955;0,230354518;0,23633803680981597;0,13372202247191012;0,42651977528089896
14, Jul;0,5322591011235955;0,326443595505618;0,1522523595505618;0,31598480725623584;0,29120271493212674;0,316715964;0,3958633846153846;0,1522523595505618;0,5322591011235955
15, Aug;0,6054991011235955;0,4048403651685394;0,18292539325842697;0,4516825396825397;0,41981886363636367;0,331205422;0,4798101226993865;0,18292539325842697;0,6054991011235955
16, Aug;0,6382469662921348;0,4850154494382023;0,21898853932584272;0,48772927927927934;0,39280409090909096;0,479951807;0,48066450617283957;0,21898853932584272;0,6382469662921348
17, Sept;0,6452658426966292;0,5065803370786517;0,3476377528089888;0,5397142857142857;0,4825185941043085;0,456662651;0,5387131901840492;0,3476377528089888;0,6452658426966292
18, Sept;0,5825148314606742;0,46813039325842704;0,3264076404494382;0,4638009049773756;0,4706615384615385;0,479281325;0,4483074303405573;0,3264076404494382;0,5825148314606742
19, Oct;0,5300928089887641;0,40570426966292134;0,2835862921348315;0,4615493243243244;0,392887556561086;0,41214247;0,40993476923076927;0,2835862921348315;0,5300928089887641
20, Nov;0,46225887640449437;0,35430126404494383;0,25676988764044945;0,3763893905191874;0,3821734234234234;0,335164157;0,32566196319018403;0,25676988764044945;0,46225887640449437
21, Nov;0,40657640449438204;0,3183940449438203;0,24218651685393258;0,31345452488687786;0,3253656179775281;0,300322892;0,3070319875776398;0,24218651685393258;0,40657640449438204
22, Dec;0,37532539325842695;0,2956127528089888;0,2265521348314607;0,2914148648648649;0,30306916099773246;0,26194488;0,29337164634146345;0,2265521348314607;0,37532539325842695
23, Dec;0,3562678651685393;0,2824489325842697;0,21658629213483147;0,2768195945945946;0,2817132882882883;0,275303012;0,2781187692307693;0,21658629213483147;0,3562678651685393
