"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,271711252446184;0,21787519569471625;0,16145146771037183;0,23283266733266733;0,2301827172827173;0,230592848;0,20726336088154274;0,16145146771037183;0,271711252446184
2, Jan;0,2617175953079179;0,2121475073313783;0,16457448680351908;0,2266827517447657;0,22963253253253252;0,214867815;0,20314128943758575;0,16457448680351908;0,2617175953079179
3, Feb;0,25289170731707317;0,2086767317073171;0,16166058536585365;0,22240059820538388;0,22131771771771774;0,215652053;0,20319931224209078;0,16166058536585365;0,25289170731707317
4, Feb;0,2459767804878049;0,2024592804878049;0,16348146341463415;0,21483044776119406;0,20829650698602797;0,195931126;0,2039291208791209;0,16348146341463415;0,2459767804878049
5, Mar;0,23796891495601172;0,1967119990224829;0,1596928641251222;0,21213858424725823;0,20602312312312313;0,199605033;0,19546944065484312;0,1596928641251222;0,23796891495601172
6, Mar;0,23185058479532164;0,19277487816764133;0,15370204678362573;0,2043054054054054;0,20413140578265204;0,191862517;0,19950164835164835;0,15370204678362573;0,23185058479532164
7, Apr;0,22528712195121953;0,1872724512195122;0,14877921951219514;0,20071435692921238;0,1945748251748252;0,188280132;0,19393926128590974;0,14877921951219514;0,22528712195121953
8, Apr;0,22411337890625002;0,184918505859375;0,1476951171875;0,20177176938369784;0,195084015984016;0,18969245;0,19102362637362638;0,1476951171875;0,22411337890625002
9, May;0,212489453125;0,17841826171875;0,13926533203125;0,19495955955955957;0,1790986973947896;0,180371788;0,1865228650137741;0,13926533203125;0,212489453125
10, May;0,2134714285714286;0,17641863992172213;0,14122103718199608;0,18308371628371628;0,18773644578313253;0,179933377;0,1764437756497948;0,14122103718199608;0,2134714285714286
11, Jun;0,21340097847358122;0,16976768590998043;0,1286059686888454;0,18486743256743257;0,1795222334004024;0,167671523;0,14273565573770494;0,1286059686888454;0,21340097847358122
12, Jun;0,23059043902439028;0,17514665853658537;0,13745726829268293;0,18644116465863456;0,1897741516966068;0,191181192;0,16731936813186812;0,13745726829268293;0,23059043902439028
13, Jul;0,3095143976493634;0,19387406953966702;0,13424671890303624;0,1792070929070929;0,19019689378757515;0,189839338;0,20516941015089166;0,13424671890303624;0,3095143976493634
14, Jul;0,3498609589041096;0,21938211839530333;0,1347936399217221;0,253667703109328;0,2687287;0,19641947;0,274832462173315;0,1347936399217221;0,3498609589041096
15, Aug;0,39923124387855047;0,2599805337904016;0,14237972575905974;0,3642540621865597;0,3006110667996012;0,203517219;0,2917857534246575;0,14237972575905974;0,39923124387855047
16, Aug;0,4741437621832359;0,32840073099415207;0,1692537037037037;0,4187940763052209;0,4003912263210369;0,288451258;0,39893204419889505;0,1692537037037037;0,4741437621832359
17, Sept;0,47268303921568633;0,3487614460784314;0,20092441176470588;0,43815548902195606;0,3736570140280561;0,32299947;0,42094972451790635;0,20092441176470588;0,47268303921568633
18, Sept;0,4363183773216031;0,32681126588465303;0,1889594330400782;0,36815894105894104;0,32448661338661344;0,324361722;0,3482041379310345;0,1889594330400782;0,4363183773216031
19, Oct;0,3854377431906615;0,2833895671206226;0,16631964980544747;0,3331787064676617;0,2617298688193744;0,264064371;0,32336348547717847;0,16631964980544747;0,3854377431906615
20, Nov;0,3521296007789679;0,25159408471275563;0,1662161635832522;0,28750300902708126;0,2537812562313061;0,24229457;0,27059727148703955;0,1662161635832522;0,3521296007789679
21, Nov;0,32063652343750004;0,24242404785156252;0,17435039062500002;0,2688198595787362;0,24507241725175527;0,228634437;0,2625168044077135;0,17435039062500002;0,32063652343750004
22, Dec;0,29903040935672515;0,23341703216374268;0,17265789473684212;0,25710410821643287;0,24192248756218906;0,215619735;0,262506139154161;0,17265789473684212;0,29903040935672515
23, Dec;0,282448440545809;0,22575784600389867;0,16593401559454193;0,2444430278884462;0,23490729999999999;0,226625563;0,24944024725274727;0,16593401559454193;0,282448440545809
