"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,463690065075922;0,3694031670281996;0,28265219088937094;0,4056060737527115;0,3939180911062907;0,406302403;0,3688472533963379;0,28265219088937094;0,463690065075922
2, Jan;0,3947680694143167;0,326901431670282;0,26560026030368766;0,3580520173535792;0,35663609544468544;0,34154279;0,3217469580626108;0,26560026030368766;0,3947680694143167
3, Feb;0,3399311930585684;0,3003779609544469;0,25667960954446856;0,3231259002169197;0,31655817787418655;0,321549766;0,3205907265209687;0,25667960954446856;0,3399311930585684
4, Feb;0,3210678091106291;0,28791297180043385;0,2510444251626898;0,3072282429501085;0,28334832971800433;0,296526964;0,28917495569994095;0,2510444251626898;0,3210678091106291
5, Mar;0,32356637744034705;0,2842004338394794;0,2335093709327549;0,3056989154013015;0,27967470715835147;0,289393318;0,2955142350856468;0,2335093709327549;0,32356637744034705
6, Mar;0,34376494577006506;0,29245548806941435;0,24156156182212582;0,30698954446854665;0,3093427765726681;0,306449355;0,29282717070289427;0,24156156182212582;0,34376494577006506
7, Apr;0,3520518004338395;0,30554026030368764;0,2627082863340564;0,3332540997830803;0,3048646420824295;0,314268933;0,29672569403425875;0,2627082863340564;0,3520518004338395
8, Apr;0,3712655965292842;0,3181780477223427;0,268807895878525;0,3274708026030369;0,3304944902386117;0,323587046;0,3261832841110455;0,268807895878525;0,3712655965292842
9, May;0,4480520607375272;0,3363747939262473;0,27114524945770063;0,3615016485900217;0,3342542299349241;0,337573154;0,309863910218547;0,27114524945770063;0,4480520607375272
10, May;0,5375378741865511;0,3939320607375271;0,284283557483731;0,43458581344902386;0,43663518438177873;0,370951172;0,3596373301831069;0,284283557483731;0,5375378741865511
11, Jun;0,6992716702819957;0,5091734924078092;0,29727683297180046;0,4110506724511931;0,5602122342733189;0,60893517;0,6115564678086237;0,29727683297180046;0,6992716702819957
12, Jun;0,7495684164859003;0,6138251193058568;0,3556574837310195;0,712044989154013;0,7048783947939262;0,659949941;0,5784474305965741;0,3556574837310195;0,7495684164859003
13, Jul;0,8070887635574837;0,6640184381778742;0,3100408242950109;0,6846652060737527;0,5089908459869849;0,713106741;0,619863910218547;0,3100408242950109;0,8070887635574837
14, Jul;0,8320270715835141;0,6667645986984816;0,27804945770065076;0,7402312798264642;0,6843016919739696;0,762214185;0,4873582988777318;0,27804945770065076;0,8320270715835141
15, Aug;0,844327114967462;0,6488545770065076;0,2211517136659436;0,7978342733188721;0,585323557483731;0,639229719;0,6355865918487892;0,2211517136659436;0,844327114967462
16, Aug;0,8479409978308026;0,752272885032538;0,4607348806941432;0,7551405639913232;0,7372092841648591;0,773440504;0,7025752510336681;0,4607348806941432;0,8479409978308026
17, Sept;0,8338045986984817;0,7480635140997831;0,5043184381778743;0,7991578308026032;0,7649272017353579;0,750544725;0,703911458948612;0,5043184381778743;0,8338045986984817
18, Sept;0,81284147505423;0,7393837744034708;0,6326508026030369;0,7238945336225596;0,7587472017353579;0,782635991;0,7316790313053751;0,6326508026030369;0,81284147505423
19, Oct;0,7645615618221259;0,7116544034707158;0,6456737093275489;0,7002475054229935;0,699633622559653;0,713035463;0,7128610750147668;0,6456737093275489;0,7645615618221259
20, Nov;0,7329448156182212;0,6429288937093276;0,5442747939262473;0,6555777006507593;0,6789102386117137;0,671766002;0,651565445953928;0,5442747939262473;0,7329448156182212
21, Nov;0,6663503687635576;0,5800678958785249;0,49870598698481566;0,600539262472885;0,5977208242950109;0,632240211;0,5657805670407561;0,49870598698481566;0,6663503687635576
22, Dec;0,5662270715835142;0,48927349240780915;0,3967610412147506;0,5257936225596529;0,4747962255965293;0,528340504;0,5122017720023627;0,3967610412147506;0,5662270715835142
23, Dec;0,49476880694143166;0,4219769197396963;0,33836299349240784;0,43399041214750544;0,4096856399132321;0,454857444;0,45335386887182516;0,33836299349240784;0,49476880694143166
