"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,4397802159827214;0,32940414686825054;0,2521137796976242;0,3340703779697624;0,31319596112311016;0,337458984;0,3515352889150944;0,2521137796976242;0,4397802159827214
2, Jan;0,35808628509719226;0,29106831533477323;0,23827257019438444;0,3109323758099352;0,2813444924406048;0,293297446;0,29484842275943396;0,23827257019438444;0,35808628509719226
3, Feb;0,3116100215982721;0,27000131749460043;0,22912946004319656;0,261859060475162;0,26340989200863935;0,282376629;0,2930226120283019;0,22912946004319656;0,3116100215982721
4, Feb;0,2940726997840173;0,2576949460043197;0,2222964146868251;0,26619549676025916;0,24232836933045357;0,267354654;0,2683826945754717;0,2222964146868251;0,2940726997840173
5, Mar;0,2984006047516199;0,2537592656587473;0,2085649028077754;0,27270858531317493;0,23333832613390929;0,257287566;0,2641747494103774;0,2085649028077754;0,2984006047516199
6, Mar;0,3001833261339093;0,2570992440604752;0,21390397408207346;0,2770352375809935;0,2588666522678186;0,262652628;0,2614204451650944;0,21390397408207346;0,3001833261339093
7, Apr;0,3079322678185745;0,267195788336933;0,22456462203023758;0,28118022678185745;0,2627872138228942;0,269680622;0,26886783608490566;0,22456462203023758;0,3079322678185745
8, Apr;0,3257831101511879;0,27894736501079914;0,23216159827213825;0,2849611231101512;0,26743722462203023;0,274573194;0,2983323408018868;0,23216159827213825;0,3257831101511879
9, May;0,3617192656587473;0,2938223758099352;0,23789568034557237;0,31715606911447086;0,27798173866090714;0,283978553;0,2830153301886793;0,23789568034557237;0,3617192656587473
10, May;0,4930367170626351;0,33652829373650106;0,21171708423326135;0,35790059395248386;0,3696111447084233;0,294043849;0,32139133254716984;0,21171708423326135;0,4930367170626351
11, Jun;0,6255965874730022;0,4282960691144708;0,25777218142548597;0,3557945140388769;0,4875909827213823;0,448951233;0,47248413915094345;0,25777218142548597;0,6255965874730022
12, Jun;0,7386253131749461;0,5649999568034557;0,33161995680345574;0,6395138660907128;0,642869222462203;0,613551321;0,5690251179245284;0,33161995680345574;0,7386253131749461
13, Jul;0,7880283369330454;0,6545982289416846;0,379397494600432;0,6682413606911448;0,5559513822894169;0,674892117;0,6692164652122642;0,379397494600432;0,7880283369330454
14, Jul;0,8245372786177106;0,6626557235421167;0,27386354211663066;0,5837127429805616;0,6424666090712744;0,758604947;0,6044728920990566;0,27386354211663066;0,8245372786177106
15, Aug;0,8467110151187904;0,7014877753779698;0,30677816414686826;0,7413417710583153;0,5618951727861772;0,703251174;0,6968037441037737;0,30677816414686826;0,8467110151187904
16, Aug;0,8446573650107992;0,7270366306695465;0,328117969762419;0,7390338552915767;0,6331633693304536;0,786530373;0,7147754569575472;0,328117969762419;0,8446573650107992
17, Sept;0,8213804751619872;0,7488355939524838;0,5637212095032397;0,7711963390928727;0,7553412311015119;0,745389093;0,7711663472877359;0,5637212095032397;0,8213804751619872
18, Sept;0,8077597408207344;0,7393222462203024;0,6264022462203024;0,7036566414686826;0,7271609611231102;0,770207164;0,7441758844339623;0,6264022462203024;0,8077597408207344
19, Oct;0,7588368034557236;0,691632008639309;0,6159990496760259;0,6570449676025918;0,6561715010799137;0,689501409;0,6989884139150944;0,6159990496760259;0,7588368034557236
20, Nov;0,7146259179265659;0,626262807775378;0,5225392656587473;0,5876776997840173;0,6003419330453564;0,619774178;0,6329511792452831;0,5225392656587473;0,7146259179265659
21, Nov;0,6375932613390929;0,5472428941684665;0,4440081641468683;0,5057489200863932;0,5446141468682506;0,561137713;0,5272540094339623;0,4440081641468683;0,6375932613390929
22, Dec;0,562856241900648;0,4515119222462203;0,32222706263498924;0,42709919006479485;0,40402208423326136;0,445602995;0,4566440448113208;0,32222706263498924;0,562856241900648
23, Dec;0,4757406479481642;0,3804616846652268;0,28632403887688984;0,33866572354211666;0,3588342548596113;0,352663447;0,38263259139150946;0,28632403887688984;0,4757406479481642
