"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,5946954151971786;0,48144661750561085;0,3136751522924014;0,5471569113756614;0,5294015825914936;0,51658877;0,4583705672175078;0,3136751522924014;0,5946954151971786
2, Jan;0,5343681949342739;0,44202494389227315;0,29067614620070537;0,5437807220934084;0,5102924403183025;0,445927028;0,4326782823741008;0,29067614620070537;0,5343681949342739
3, Feb;0,488812958199357;0,3861122829581994;0,25535247588424437;0,42223858893673405;0,4430420790435072;0,427637575;0,38706323861073527;0,25535247588424437;0,488812958199357
4, Feb;0,4301684900831734;0,3390205054382598;0,23865828534868844;0,3956542412193506;0,37526268163804494;0,365563877;0,3152103773584906;0,23865828534868844;0,4301684900831734
5, Mar;0,39202160949022125;0,31223334402051944;0,23419942289195256;0,37651295867768597;0,34067739927939733;0,298237233;0,3129561656165617;0,23419942289195256;0,39202160949022125
6, Mar;0,37786784452296823;0,3078202377128172;0,23442123353678126;0,3621115397296406;0,32068582755203173;0,308406191;0,311848717948718;0,23442123353678126;0,37786784452296823
7, Apr;0,3986319884726225;0,3132067883445405;0,22459804674991998;0,37504717795484727;0,32031088031651833;0,319648121;0,30008086447546156;0,22459804674991998;0,3986319884726225
8, Apr;0,4172867797695262;0,32008239436619723;0,22975121638924456;0,40971208209202253;0,3370526541378174;0,341227498;0,2994966382787988;0,22975121638924456;0,4172867797695262
9, May;0,4373450080256822;0,33123126805778497;0,22999280898876406;0,4232467571144937;0,3419220714758438;0,365120666;0,3049905314872711;0,22999280898876406;0,4373450080256822
10, May;0,47331821096505294;0,34665117024687403;0,2353314523885861;0,4293199867855963;0,43865185799601863;0,375533689;0,3040385791366907;0,2353314523885861;0,47331821096505294
11, Jun;0,5433103337612324;0,3763342105263158;0,23181999358151475;0,41947433774834436;0,5051913273750415;0,430485056;0,3330638651685393;0,23181999358151475;0,5433103337612324
12, Jun;0,6690479126525369;0,45523179190751445;0,22311136801541426;0,557514403700033;0,6248545123966942;0,461817122;0,4944062612612613;0,22311136801541426;0,6690479126525369
13, Jul;0,7494555627009647;0,5588163344051448;0,27318382636655947;0,6377019841269841;0,6143331899404368;0,540805978;0,6190336473755048;0,27318382636655947;0,7494555627009647
14, Jul;0,7730504325536688;0,604248702338994;0,25443271387375843;0,6639839682013912;0,6432572615486873;0,601513407;0,5358297224709042;0,25443271387375843;0,7730504325536688
15, Aug;0,793677357280308;0,621751250801796;0,25244384220654265;0,6835129361421989;0,5874449752883032;0,653827284;0,681408111762055;0,25244384220654265;0,793677357280308
16, Aug;0,8075438821268418;0,646226137091608;0,27257126841768103;0,6384469314079423;0,6656802052300563;0,664822801;0,6618404484304933;0,27257126841768103;0,8075438821268418
17, Sept;0,800741444622793;0,7119050401284109;0,5105075441412521;0,7065585543766579;0,7471839747843397;0,669310845;0,7671576767221973;0,5105075441412521;0,800741444622793
18, Sept;0,8074746383799422;0,7328316297010609;0,6029245901639344;0,751817514871117;0,727872395487724;0,733046584;0,7743465105808195;0,6029245901639344;0,8074746383799422
19, Oct;0,7872573812580231;0,7306035943517329;0,6543647625160462;0,7431818481848186;0,746069687814703;0,679466524;0,7250214509628303;0,6543647625160462;0,7872573812580231
20, Nov;0,7627966613162119;0,699626709470305;0,5983223756019261;0,709095607661823;0,7055212660731949;0,677515243;0,7324221521837011;0,5983223756019261;0,7627966613162119
21, Nov;0,7185353016688062;0,6443946084724006;0,5387253530166881;0,6558716974900924;0,6544452861395965;0,643996883;0,643545745159838;0,5387253530166881;0,7185353016688062
22, Dec;0,6639167789541226;0,5944986846326596;0,5053592556945782;0,6144509078903929;0,625525;0,548764091;0,6275339801444044;0,5053592556945782;0,6639167789541226
23, Dec;0,6121004487179488;0,5347869871794872;0,4410171153846154;0,5101051044083527;0,5589227212242183;0,514878266;0,5905822996831146;0,4410171153846154;0,6121004487179488
