"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,4160062217762167;0,32987867536377324;0,24323948820873056;0,3520984131961867;0,3163661753637732;0,368771834;0,31638001197399934;0,24323948820873056;0,4160062217762167
2, Jan;0,36313411941796286;0,29743692925238335;0,2353176116407426;0,32299665077772205;0,29226599347717014;0,312218493;0,2900994782757441;0,2353176116407426;0,36313411941796286
3, Feb;0,3225433266432514;0,274124034119418;0,22865802809834423;0,2969112456096337;0,27472299297541397;0,292647522;0,2823808929182347;0,22865802809834423;0,3225433266432514
4, Feb;0,3014711239337682;0,25989262418464626;0,2179809834420472;0,26557245358755643;0,2508926430005018;0,267351034;0,2533164728019158;0,2179809834420472;0,3014711239337682
5, Mar;0,29938720521826395;0,25416803813346717;0,20290018815855496;0,2776080469141997;0,24395965253386853;0,257297359;0,2548890352377694;0,20290018815855496;0,29938720521826395
6, Mar;0,3051534370296036;0,260108705469142;0,21369473156046162;0,27200088434520825;0,2545917774711491;0,264549846;0,2589707663359562;0,21369473156046162;0,3051534370296036
7, Apr;0,3196475413948821;0,26926206723532364;0,21543196186653288;0,28395641620672357;0,24969313848469643;0,275899496;0,25690297639411563;0,21543196186653288;0,3196475413948821
8, Apr;0,32959327646763675;0,2745625689914702;0,2191559458103362;0,2815960173105871;0,2631730933266433;0,278408392;0,2746348699965789;0,2191559458103362;0,32959327646763675
9, May;0,3427343953838435;0,27967696939287506;0,22190090316106373;0,28823401906673357;0,2606589312594079;0,267644676;0,25558193636674653;0,22190090316106373;0,3427343953838435
10, May;0,412208855995986;0,30636051179126944;0,21092759658805824;0,28962882589061717;0,3264790955845459;0,288895855;0,26845650017105716;0,21092759658805824;0,412208855995986
11, Jun;0,514189362769694;0,3568024084295033;0,22226234320120422;0,3061328650275966;0,46002243477170096;0,384988993;0,34716712281902157;0,22226234320120422;0,514189362769694
12, Jun;0,6274048168590065;0,4489717511289513;0,27749573507275466;0,45052259784244864;0,5614101919217261;0,466076748;0,410470056448854;0,27749573507275466;0,6274048168590065
13, Jul;0,7200530858003011;0,5460101354741597;0,2815743100852986;0,5449551806322127;0,5140859194681385;0,537986378;0,5167262829284982;0,2815743100852986;0,7200530858003011
14, Jul;0,7806389362769695;0,584717711991972;0,22170383843452082;0,5857289576016057;0,6152471650777722;0,618057913;0,5679835100923709;0,22170383843452082;0,7806389362769695
15, Aug;0,809313396889112;0,6245020572002007;0,21261545408931262;0,6801669279979929;0,6811795910687406;0,585143044;0,6778435682517961;0,21261545408931262;0,809313396889112
16, Aug;0,8265315604616157;0,7170971399899649;0,41877568991470143;0,7284644505770196;0,6748414952333166;0,761487823;0,7511178070475539;0,41877568991470143;0,8265315604616157
17, Sept;0,8080415454089312;0,734170496738585;0,5676514300050176;0,7817042147516308;0,7544425802809835;0,705748564;0,7524060810810811;0,5676514300050176;0,8080415454089312
18, Sept;0,7793285499247367;0,7125802308078274;0,6119872553938787;0,6974794656297041;0,7254186966884095;0,757272483;0,7146990506329114;0,6119872553938787;0,7793285499247367
19, Oct;0,7349527345709985;0,6480813848469644;0,5476716006021074;0,6344652032112393;0,667320722528851;0,647456178;0,6767816455696203;0,5476716006021074;0,7349527345709985
20, Nov;0,652493828399398;0,5630767686904165;0,46010978424485705;0,5490423983943804;0,60323958855996;0,566550769;0,5628037803626411;0,46010978424485705;0,652493828399398
21, Nov;0,5684781736076266;0,4834288509784245;0,39079435524335177;0,47183450827897644;0,4991126254390366;0,498060887;0,4639662247690729;0,39079435524335177;0,5684781736076266
22, Dec;0,497107476166583;0,41886758655293527;0,32024460612142497;0,4186857313095836;0,41084342699448073;0,416623064;0,43913510092370855;0,32024460612142497;0,497107476166583
23, Dec;0,44751861515303565;0,3717748620170597;0,28418256397390873;0,3374059646261917;0,37510995358755644;0,356141036;0,4003438077317824;0,28418256397390873;0,44751861515303565
