"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,3124737991266376;0,26792658296943234;0,22266086244541486;0,2942152838427948;0,28126593886462886;0,278551678;0,24571476510067114;0,22266086244541486;0,3124737991266376
2, Jan;0,3002546397379913;0,2585654475982533;0,219403384279476;0,2907189410480349;0,27576506550218344;0,26489217;0,2424460850111857;0,219403384279476;0,3002546397379913
3, Feb;0,2859367903930131;0,2496217248908297;0,21307319868995633;0,267563864628821;0,25812592794759825;0,259384116;0,2428385533184191;0,21307319868995633;0,2859367903930131
4, Feb;0,275952019650655;0,24073326965065503;0,20850212882096072;0,26209585152838427;0,24510556768558955;0,237606637;0,23676368381804624;0,20850212882096072;0,275952019650655
5, Mar;0,2666560589519651;0,23145262008733627;0,1985274017467249;0,25881451965065505;0,23820584061135375;0,237704549;0,2336571215510813;0,1985274017467249;0,2666560589519651
6, Mar;0,2590498362445415;0,22686468340611354;0,19532663755458518;0,24178755458515286;0,2339588427947598;0,231323415;0,22837270693512307;0,19532663755458518;0,2590498362445415
7, Apr;0,24850185589519652;0,21847505458515284;0,18689159388646287;0,2364059497816594;0,22134896288209607;0,225837882;0,21186912751677853;0,18689159388646287;0,24850185589519652
8, Apr;0,24433580786026202;0,21495975709606988;0,1872113537117904;0,23380229257641924;0,22093264192139736;0,227190306;0,2134930648769575;0,1872113537117904;0,24433580786026202
9, May;0,2364049126637555;0,20636217248908298;0,17368193231441048;0,22684290393013104;0,20385829694323146;0,216090231;0,2028542878448919;0,17368193231441048;0,2364049126637555
10, May;0,23354667030567686;0,203434375;0,17265742358078603;0,21558722009830694;0,21515316593886466;0,212619314;0,2001237313432836;0,17265742358078603;0,23354667030567686
11, Jun;0,23064808951965066;0,19858949235807863;0,1571372270742358;0,21867390829694325;0,20777947598253277;0,215513572;0,16751738805970148;0,1571372270742358;0,23064808951965066
12, Jun;0,27738084061135376;0,20735629093886465;0,16955474890829694;0,2196904475982533;0,20909808951965067;0,245718717;0,19429261744966445;0,16955474890829694;0,27738084061135376
13, Jul;0,40288389737991265;0,2507250545851529;0,1688703056768559;0,2353261462882096;0,22034077510917033;0,246307383;0,28225701492537314;0,1688703056768559;0,40288389737991265
14, Jul;0,49160420305676855;0,31799388646288207;0,15966850436681224;0,3715745633187773;0,30433897379912667;0,344980611;0,4091129753914989;0,15966850436681224;0,49160420305676855
15, Aug;0,6033491812227075;0,42093769104803497;0,19582625545851529;0,5509207969432315;0,5173966703056769;0,444048173;0,46884205816554814;0,19582625545851529;0,6033491812227075
16, Aug;0,6582805131004367;0,5010075327510918;0,2648060043668123;0,5908169759825328;0,5517272925764193;0,531896943;0,5034912005965697;0,2648060043668123;0,6582805131004367
17, Sept;0,6594480349344979;0,5366519104803493;0,4108299672489083;0,6346007099945385;0,6014133733624455;0,523261521;0,5921057462686568;0,4108299672489083;0,6594480349344979
18, Sept;0,6100612991266375;0,5053473799126638;0,3900181222707424;0,5559139737991267;0,5724868995633189;0,540072632;0,5198976101568334;0,3900181222707424;0,6100612991266375
19, Oct;0,5558067685589521;0,4314037390829694;0,31341359170305677;0,5392247270742359;0,432393555434189;0,442492021;0,45475182699478;0,31341359170305677;0,5558067685589521
20, Nov;0,45850813318777295;0,3645865993449782;0,2811611899563319;0,40409159388646293;0,4070060589519651;0,373100597;0,33753507462686566;0,2811611899563319;0,45850813318777295
21, Nov;0,3884007096069869;0,3246754093886463;0,2614039847161572;0,33815998908296946;0,3585902838427948;0,333404773;0,3201816554809843;0,2614039847161572;0,3884007096069869
22, Dec;0,34916746724890835;0,2973951965065502;0,24631555676855899;0,3106271288209607;0,3238258187772926;0,29455563;0,3079796420581656;0,24631555676855899;0,34916746724890835
23, Dec;0,3302673034934498;0,2834615174672489;0,2369068231441048;0,2916346069868996;0,30046593886462886;0,299863833;0,2889114839671887;0,2369068231441048;0,3302673034934498
