"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,28575868120180803;0,24139452273331563;0,1979509173092263;0,26714131417930304;0,24224601063829787;0,260030408;0,22995128390596747;0,1979509173092263;0,28575868120180803
2, Jan;0,27535136931667115;0,23430856155277854;0,19610279181068865;0,264074993349295;0,24236696808510638;0,246324088;0,22907157323688973;0,19610279181068865;0,27535136931667115
3, Feb;0,2663997341132677;0,22800600904014892;0,1907337410263228;0,2502561021005052;0,23136420212765957;0,24203727;0,22798914616497828;0,1907337410263228;0,2663997341132677
4, Feb;0,2520114597181601;0,21855934591863865;0,18453951076841266;0,24130848404255323;0,22263865993086948;0,225081112;0,2217309334298119;0,18453951076841266;0,2520114597181601
5, Mar;0,24349308694496144;0,21027969954799255;0,1772555969157139;0,2360333244680851;0,21432597713374105;0,224340737;0,21716495479204342;0,1772555969157139;0,24349308694496144
6, Mar;0,23393012496676416;0,2046186519542675;0,17210731188513695;0,2226690425531915;0,20924250000000003;0,216728313;0,21059775768535266;0,17210731188513695;0,23393012496676416
7, Apr;0,2258131613932465;0,19732359744748737;0,16748013826110078;0,2178218558893911;0,19904287234042556;0,211946732;0,19814777576853526;0,16748013826110078;0,2258131613932465
8, Apr;0,2216774262164318;0,19331994150491894;0,1652789949481521;0,21640925285828239;0,19864069148936173;0,210081546;0,19742973950795947;0,1652789949481521;0,2216774262164318
9, May;0,2144014623770274;0,18587043339537357;0,15746894442967296;0,20978369680851067;0,18379712842329168;0,197751679;0,18909558770343582;0,15746894442967296;0,2144014623770274
10, May;0,2099159000265887;0,18320248604094658;0,15788213241159268;0,19993606382978724;0,19317834530460232;0,198109029;0,184972513562387;0,15788213241159268;0,2099159000265887
11, Jun;0,21372611007710718;0,17865397500664718;0,14294679606487637;0,20074388297872342;0,18929523936170214;0,193888046;0,14949648932319942;0,14294679606487637;0,21372611007710718
12, Jun;0,24563453868651955;0,18722680138261102;0,1508123371443765;0,19923018617021276;0,19361374634405742;0,220406898;0,1763034719710669;0,1508123371443765;0,24563453868651955
13, Jul;0,3299562084551981;0,21633383408667906;0,153474262164318;0,22787498005849507;0,19622521947326416;0,222102889;0,24024962025316454;0,153474262164318;0,3299562084551981
14, Jul;0,42398540281839936;0,26536538154746075;0,1460241425152885;0,28630329699547996;0,2264182664185057;0,262578043;0,31237934900542497;0,1460241425152885;0,42398540281839936
15, Aug;0,5277957458122841;0,34491310821590004;0,17466386599308695;0,3947623936170213;0,4103455995745812;0,333752907;0,3800260036166366;0,17466386599308695;0,5277957458122841
16, Aug;0,6021770805636799;0,4377527253390056;0,2387009306035629;0,4814132411592662;0,4915580962509971;0,447336403;0,4756213381555153;0,2387009306035629;0,6021770805636799
17, Sept;0,5991137463440575;0,4715808561552779;0,3503567136399894;0,552228005319149;0,5346836305562949;0,44167017;0,5346869202898551;0,3503567136399894;0,5991137463440575
18, Sept;0,5527510768412657;0,4370622440840202;0,31742714703536296;0,47326003722414256;0,4977300452007445;0,406435825;0,4498255696202532;0,31742714703536296;0,5527510768412657
19, Oct;0,4853445892049987;0,3581208455198086;0,25282765222015424;0,43212476722532595;0,36807651918976547;0,324698447;0,38968027506333697;0,25282765222015424;0,4853445892049987
20, Nov;0,3934837543206594;0,30439896304174424;0,23560499867056633;0,3351052141527002;0,3489683860675352;0,289913579;0,29302992040520986;0,23560499867056633;0,3934837543206594
21, Nov;0,3417176017016751;0,28162188247806436;0,22759125232650892;0,29529433661260307;0,31097399627758576;0,271269917;0,2846395584509591;0,22759125232650892;0,3417176017016751
22, Dec;0,31365884073384737;0,2649466099441638;0,21624929540015955;0,2765547726668439;0,296393085106383;0,25067714;0,2810996741491673;0,21624929540015955;0,31365884073384737
23, Dec;0,29744456261632546;0,25489340600904015;0,2109992289284765;0,26327382978723407;0,27701917043339536;0,258051354;0,26599663409337676;0,2109992289284765;0,29744456261632546
