"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,5057864216754905;0,4087304889442542;0,28594923699782;0,4518815789473684;0,4087354095297415;0,471299769;0,4181399326032013;0,28594923699782;0,5057864216754905
2, Jan;0,44242668950482716;0,3640450949859857;0,2723944565555902;0,40175325443786986;0,36277181563375893;0,392873536;0,37679650379106994;0,2723944565555902;0,44242668950482716
3, Feb;0,384389598255995;0,32130239800685145;0,25889683899096855;0,35574208969168486;0,31350759887885393;0,365326338;0,34289134372367314;0,25889683899096855;0,384389598255995
4, Feb;0,3412451261289318;0,2911392089691685;0,2427716443475553;0,2952689504827157;0,27823785425101216;0,302507555;0,29018226621735466;0,2427716443475553;0,3412451261289318
5, Mar;0,3334110246029275;0,28231323575210215;0,22666803176580508;0,3091550451572719;0,26010284957957025;0,285865435;0,2959391112047178;0,22666803176580508;0,3334110246029275
6, Mar;0,34831485518530053;0,29547088134537525;0,2482644191840548;0,305078682653379;0,28433266895048276;0,30427681;0,3083824978938501;0,2482644191840548;0,34831485518530053
7, Apr;0,37209430084085954;0,311427654936157;0,25121996262846463;0,32291742447835564;0,2851577857365307;0,326916999;0,305532350463353;0,25121996262846463;0,37209430084085954
8, Apr;0,38796072874493925;0,3218554655870446;0,25937452507007164;0,32225599501712865;0,3019009187169106;0,342216076;0,33316004633529905;0,25937452507007164;0,38796072874493925
9, May;0,41579915914045473;0,3321433198380567;0,2604374805356587;0,3400603550295858;0,298549486141389;0,329680714;0,31733011794439764;0,2604374805356587;0,41579915914045473
10, May;0,4612640921831206;0,35776384303955155;0,25852779507941454;0,34701754905014015;0,3592708346309561;0,363460609;0,3258604465037911;0,25852779507941454;0,4612640921831206
11, Jun;0,5799605730302086;0,4131667081905948;0,2648133914668328;0,33712709436312677;0,46073886639676115;0,417120546;0,393631550126369;0,2648133914668328;0,5799605730302086
12, Jun;0,6875276237932109;0,5188817813765182;0,2854672064777328;0,5553976019931486;0,591601012145749;0,488187513;0,48065621314237583;0,2854672064777328;0,6875276237932109
13, Jul;0,7543085020242914;0,5831916536904391;0,26057432264092184;0,5597596543132981;0,5104927904079726;0,582240797;0,6182208930075822;0,26057432264092184;0,7543085020242914
14, Jul;0,7862092805979446;0,5928078480224229;0,20914500155714733;0,6098848333852382;0,5705145593273123;0,644289801;0,48522066133108677;0,20914500155714733;0,7862092805979446
15, Aug;0,8136561818748054;0,6127571473061352;0,18507100591715978;0,6080019775770789;0,6569876985362816;0,633981511;0,6622586773378265;0,18507100591715978;0,8136561818748054
16, Aug;0,8271876051074433;0,7075707879165369;0,379682995951417;0,7230763157894737;0,6527578791653691;0,74159702;0,6891411962931762;0,379682995951417;0,8271876051074433
17, Sept;0,8145709124883215;0,7393620056057304;0,5583921519775772;0,8161765805045158;0,7221501401432575;0,716797293;0,7301002737994946;0,5583921519775772;0,8145709124883215
18, Sept;0,8141402678293367;0,7417241357832451;0,6472612893179696;0,7511069760199316;0,7512220492058549;0,792046296;0,7478898272957035;0,6472612893179696;0,8141402678293367
19, Oct;0,7798244783556525;0,7179605107443164;0,6369402678293368;0,7403456867019621;0,7462904702584865;0,722311647;0,7326634582982309;0,6369402678293368;0,7798244783556525
20, Nov;0,7302222360635316;0,6531043911554033;0,5658567424478356;0,6537308782310807;0,6912273902211149;0,682990493;0,656562552653749;0,5658567424478356;0,7302222360635316
21, Nov;0,6643157894736843;0,5866617876051075;0,481782746807848;0,5973798972282778;0,6265922609778886;0,618024239;0,5745133108677338;0,481782746807848;0,6643157894736843
22, Dec;0,6011147306135161;0,5251161009031454;0,41724908128308935;0,5389133447524136;0,544774852071006;0,533054229;0,555096903959562;0,41724908128308935;0,6011147306135161
23, Dec;0,543128682653379;0,46627823108066024;0,3597856742447836;0,4509334630956089;0,4827750077857365;0,457893033;0,5058558340353834;0,3597856742447836;0,543128682653379
