"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,6148940242057489;0,5231613464447806;0,42868366111951595;0,5801506144393241;0,551228275862069;0,553732209;0,48396534446764095;0,42868366111951595;0,6148940242057489
2, Jan;0,5774211800302572;0,5028746974281392;0,41047836611195165;0,5650760886172651;0,5441385145482389;0,490742945;0,5002573221757323;0,41047836611195165;0,5774211800302572
3, Feb;0,5528545798637396;0,47117766843300535;0,37179394398183196;0,4679651676829269;0,4922156847742923;0,493319836;0,4961325313807532;0,37179394398183196;0,5528545798637396
4, Feb;0,5208009070294785;0,4379557823129252;0,3346364323507181;0,48560037993920974;0,4447086626139818;0,452042127;0,43389405630865485;0,3346364323507181;0,5208009070294785
5, Mar;0,5009650302114804;0,4216466012084592;0,3261303625377644;0,4856682406702209;0,42464508758568165;0,42001319;0,40925626943005183;0,3261303625377644;0,5009650302114804
6, Mar;0,49309909297052157;0,40921111111111114;0,31304580498866214;0,46503676582761255;0,41168193597560976;0,421694376;0,417489539748954;0,31304580498866214;0,49309909297052157
7, Apr;0,4898910120845922;0,39964037009063447;0,2901787764350453;0,4653262068965517;0,40470175038051753;0,405357464;0,37381617954070984;0,2901787764350453;0,4898910120845922
8, Apr;0,48413776435045325;0,3957912386706949;0,2956703172205438;0,47223552833078103;0,4165398622800306;0,409523926;0,3776547743966422;0,2956703172205438;0,48413776435045325
9, May;0,4897826021180031;0,3997097201210288;0,28107049924357036;0,4578227307398932;0,38645596330275234;0,419720041;0,369410395010395;0,28107049924357036;0,4897826021180031
10, May;0,5262519637462236;0,4037570996978852;0,28433262839879153;0,4547333333333333;0,4985100686498856;0,407719223;0,36274880332986476;0,28433262839879153;0,5262519637462236
11, Jun;0,57846684330053;0,4237159727479182;0,2877190764572294;0,41652375859434687;0,5297486259541985;0,459060941;0,4487556593977155;0,2877190764572294;0,57846684330053
12, Jun;0,6294724867724868;0,4603067271352986;0,22107581254724115;0,5623547400611622;0,5577183829138063;0,50325317;0,46721075156576203;0,22107581254724115;0,6294724867724868
13, Jul;0,6955583963691377;0,5099839636913768;0,20331482602118003;0,5432624427480917;0,5199431957186544;0,526521166;0,544050835073069;0,20331482602118003;0,6955583963691377
14, Jul;0,7160075585789871;0,5365013983371126;0,1800557067271353;0,5885048929663609;0,5759310344827586;0,521673824;0,48717599164926934;0,1800557067271353;0,7160075585789871
15, Aug;0,738520726172466;0,5323319591527987;0,17570189107413012;0,6030751908396946;0,5600947972456006;0,605780879;0,6172318658280922;0,17570189107413012;0,738520726172466
16, Aug;0,7516098335854766;0,5599252269288957;0,1789282904689864;0,5638755351681958;0,5387101837672281;0,556893354;0,5010264367816092;0,1789282904689864;0,7516098335854766
17, Sept;0,7412878214826022;0,6266826021180031;0,40460385779122543;0,6993840336134454;0,666804347826087;0,646725562;0,6524192708333333;0,40460385779122543;0,7412878214826022
18, Sept;0,7438056732223903;0,6332852118003026;0,45042118003025716;0,671932364192808;0,6527121374045802;0,655321575;0,6267061586638831;0,45042118003025716;0,7438056732223903
19, Oct;0,7234461829176115;0,6488526832955405;0,5469931972789115;0,6625315225707727;0,6257371165644172;0,631219632;0,63646066252588;0,5469931972789115;0,7234461829176115
20, Nov;0,7097546142208775;0,6331524962178517;0,5355590771558245;0,6422019040365575;0,6405752293577982;0,631256135;0,642093710691824;0,5355590771558245;0,7097546142208775
21, Nov;0,6855549167927383;0,6107550680786688;0,5188788199697428;0,6265126428027419;0,6034600000000001;0,624768814;0,6134762303664921;0,5188788199697428;0,6855549167927383
22, Dec;0,660432223903177;0,5865142208774584;0,493221104387292;0,6018354789272031;0,5943950305810398;0,561086912;0,6136727177334732;0,493221104387292;0,660432223903177
23, Dec;0,627562376987131;0,5532178652535957;0,4592291445874338;0,5433968702290076;0,5598382307692309;0,541504703;0,5865030430220357;0,4592291445874338;0,627562376987131
