"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,261377862159242;0,02890072984898344;0;0;0,12357719908369348;0;0;0;0,261377862159242
2, Jan;0,24075433041187042;0,01643648680220259;0;0,05549117352100129;0;0;0;0;0,24075433041187042
3, Jan;0,47037871340487863;0,03931306778116429;0;0,15973914937770112;0;0;0;0;0,47037871340487863
4, Jan;0,340078556791265;0,03383002129006893;0;0,08534716545267308;0;0;0;0;0,340078556791265
5, Jan;0,06877915402676196;0,004133750783636215;0;0;0;0;0;0;0,06877915402676196
6, Jan;0,059311602977996175;0,0032103470665343263;0;0,035110458414605326;0;0;0;0;0,059311602977996175
7, Jan;0,24810190403715093;0,021743150467568254;0;0;0;0;0;0;0,24810190403715093
8, Jan;0,13221426213041265;0,007912378361884584;0;0,1915738937702585;0;0;0;0;0,13221426213041265
9, Jan;0,34408423241148606;0,0437453401849625;0;0,2548510774653009;0,10129067238340987;0;0;0;0,34408423241148606
10, Jan;0,2849382846913439;0,035531251988512404;0;0;0;0;0;0;0,2849382846913439
11, Jan;0,2663855045399767;0,02492009832503948;0;0;0;0;0;0;0,2663855045399767
12, Jan;0,29488640643180686;0,032948747594305806;0;0;0;0,061134625;0;0;0,29488640643180686
13, Jan;0,41562810857245264;0,034128427505493164;0;0;0;0;0;0;0,41562810857245264
14, Jan;0,09458823914223528;0,005431456134674397;0;0;0;0;0;0;0,09458823914223528
15, Jan;0,1503269114392869;0,013036267554506343;0;0;0,011556706529982547;0;0;0;0,1503269114392869
16, Jan;0,1773528646915517;0,009091025971351786;0;0,007762749144371519;0,0010988465014924395;0,175925997;0;0;0,1773528646915517
17, Jan;0,24325703560037815;0,01817488670349121;0;0;0;0,144586548;0;0;0,24325703560037815
18, Jan;0,3356236396951878;0,03496077720155107;0;0,036816962221835524;0;0,205859771;0;0;0,3356236396951878
19, Jan;0,0473336564733627;0,0024090071624897898;0;0;0;0;0;0;0,0473336564733627
