"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,06585974920363653;0,005216735104719798;0;0;0;0;0;0;0,06585974920363653
2, Jan;0,10760526430039179;0,008529063491594224;0;0,0028605391936642782;0,0007082046940922737;0;0;0;0,10760526430039179
3, Jan;0,0733809130532401;0,00576568182025637;0;0,059885320209321524;0;0;0;0;0,0733809130532401
4, Jan;0,10270535378229051;0,010657551742735364;0;0;0;0;0;0;0,10270535378229051
5, Jan;0,09737568809872582;0,007256128248714265;0;0;0;0,016775775;0;0;0,09737568809872582
6, Jan;0,0749356746673584;0,005901700329212915;0;0,00020481348924693607;0;0;0;0;0,0749356746673584
7, Jan;0,0902101823261806;0,008062856537955148;0;0,0033826579650243125;0;0;0,000599132;0;0,0902101823261806
8, Jan;0,058919696580796016;0,004370125276701791;0;0,007240380559648786;0,004287811971846081;0;0;0;0,058919696580796016
9, Jan;0,11040468443007696;0,011363266479401361;0;0,07375317528134301;0;0;0;0;0,11040468443007696
10, Jan;0,07743576027098156;0,010643455953825088;0;0;0;0;0;0;0,07743576027098156
11, Jan;0,05587084520430792;0,007808668272835868;0;0;0;0,000897062;0;0;0,05587084520430792
12, Jan;0,05880989347185407;0,0054330236855007355;0;0;0;0;0;0;0,05880989347185407
13, Jan;0,0235134448323931;0,001407689902754057;0;0,0003088780324019137;0;0;0;0;0,0235134448323931
14, Jan;0,021161113466535295;0,0013731432457764943;0;0;0;0;0;0;0,021161113466535295
15, Jan;0,032098296142759775;0,0025913619569369723;0;0;0,012594833260490781;0;0,002628057;0;0,032098296142759775
16, Jan;0,014117592856997535;0,0007748790972289585;0;0,00010893047077669984;0,011191898158618383;0;0;0;0,014117592856997535
17, Jan;0,02173959073566255;0,0016174839720839546;0;0;0;0,01805837;0;0;0,02173959073566255
18, Jan;0,01702454402333214;0,0011254336152757918;0;0;0;0,000708407;0;0;0,01702454402333214
19, Jan;0,019194747720445906;0,0015063174068927765;0;0;0;0;0;0;0,019194747720445906
20, Jan;0,0005172123866421836;0,000025860618777750504;0;0;0;0;0;0;0,0005172123866421836
21, Jan;0,03658557789666312;0,0023947666798319134;0;0;0,000574781603756405;0;0;0;0,03658557789666312
22, Jan;0,0405711503255935;0,003600394796757471;0;0;0;0,01593517;0,031359474;0;0,0405711503255935
23, Jan;0,04056631667273385;0,0028515667432830447;0;0;0;0,023905604;0,023884439;0;0,04056631667273385
24, Jan;0,022154886098135085;0,0013963583679426285;0;0;0,019485758883612498;0;0;0;0,022154886098135085
25, Jan;0,023407368432907832;0,0016462004610470363;0;0;0,0026971037898744854;0;0;0;0,023407368432907832
26, Jan;0,018576383590698242;0,0010249057695979164;0;0;0,005032087010996682;0;0;0;0,018576383590698242
27, Jan;0,04277628944033668;0,0024227741218748548;0;0;0;0;0;0;0,04277628944033668
28, Jan;0,0029890569193022592;0,00014945285926972116;0;0;0;0;0;0;0,0029890569193022592
29, Jan;0,01114654399099804;0,0005842893428745724;0;0;0;0,009879789;0,000355385;0;0,01114654399099804
30, Jan;0,009924900673684619;0,0005269340638603483;0;0;0;0;0;0;0,009924900673684619
31, Jan;0,02693882726487659;0,0019658261111804415;0;0;0,01105358416125888;0,017900005;0;0;0,02693882726487659
32, Feb;0,08827848093850273;0,005402720045475732;0;0;0,061424913860502695;0;0;0;0,08827848093850273
33, Feb;0,027459456807091123;0,0014691315591335297;0;0;0;0;0;0;0,027459456807091123
34, Feb;0,033830080713544576;0,002088698957647596;0;0;0;0,004193281;0,028899621;0;0,033830080713544576
35, Feb;0,06482839584350586;0,004333546828655969;0;0;0;0,015605961;0;0;0,06482839584350586
36, Feb;0,08011512529282343;0,005488767155579158;0;0;0;0,068760075;0;0;0,08011512529282343
37, Feb;0,12107924052647182;0,012853963034493583;0;0,013764205433073499;0;0,093373019;0;0;0,12107924052647182
38, Feb;0,10142769132341657;0,0052650414762042816;0;0;0;0;0;0;0,10142769132341657
39, Feb;0,06920307590847924;0,00483978468747366;0;0;0;0;0;0;0,06920307590847924
40, Feb;0,06377507959093366;0,0036887373952638534;0;0;0;0;0;0;0,06377507959093366
41, Feb;0,08183230672563825;0,006262763625099545;0;0;0;0,0000633839;0;0;0,08183230672563825
42, Feb;0,03231955426079886;0,0017554234890710739;0;0;0;0;0;0;0,03231955426079886
43, Feb;0,11981171653384254;0,00905968603633699;0;0,12430695125034877;0;0;0;0;0,11981171653384254
44, Feb;0,02395484277180263;0,0012423859110900334;0;0;0;0;0;0;0,02395484277180263
45, Feb;0,10188911074683779;0,007258071785881406;0;0;0;0;0;0;0,10188911074683779
46, Feb;0,07009626570202056;0,0044262054420652844;0;0;0;0,003295784;0;0;0,07009626570202056
47, Feb;0,02983993859518142;0,001509992139680045;0;0;0;0;0,008487711;0;0,02983993859518142
48, Feb;0,028067123322259812;0,0014198383405095054;0;0;0,006783288149606614;0;0,017094672;0;0,028067123322259812
49, Feb;0,016535534745170957;0,0012104053582463945;0;0;0,004901617765426636;0;0,008438227;0;0,016535534745170957
50, Feb;0,05292988391149612;0,0027916309024606433;0;0;0;0;0,0424099;0;0,05292988391149612
51, Feb;0,07351657322474889;0,004643476435116359;0;0;0;0;0;0;0,07351657322474889
52, Feb;0,043106277783711754;0,002274550852321443;0;0;0;0;0;0;0,043106277783711754
53, Feb;0,002561786345073155;0,00012808931725365774;0;0;0;0;0;0;0,002561786345073155
54, Feb;0,03958015498660859;0,0019790076074146087;0;0;0;0;0;0;0,03958015498660859
55, Feb;0;0;0;0;0;0;0;0;0
56, Feb;0,007823980280331202;0,0003911989874073437;0;0;0;0;0,007870831;0;0,007823980280331202
57, Feb;0,00023291379745517458;0,00001164568987275873;0;0;0;0;0;0;0,00023291379745517458
58, Feb;0;0;0;0;0;0;0;0;0
59, Feb;0,020110181399754117;0,0010055091586850938;0;0;0;0;0;0;0,020110181399754117
60, Mar;0,017860616956438338;0,0008930308478219169;0;0;0;0;0;0;0,017860616956438338
61, Mar;0,0020938244249139515;0,00010469123455030578;0;0;0,0008577911094540642;0;0;0;0,0020938244249139515
62, Mar;0;0;0;0;0;0;0;0;0
63, Mar;0,0010592878929206303;0,00005296439242859682;0;0;0;0;0;0;0,0010592878929206303
64, Mar;0,002044367470911571;0,00010221837354557855;0;0;0,002044367470911571;0;0;0;0,002044367470911571
65, Mar;0,02932212750116984;0,00212938143383889;0;0,0015045555219763802;0,019961699133827573;0;0;0;0,02932212750116984
66, Mar;0,0011912845075130463;0,00005956422094078291;0;0,011149563959666662;0;0;0;0;0,0011912845075130463
67, Mar;0,03141989026750837;0,0022158663542497727;0;0,0017283881704012554;0;0;0;0;0,03141989026750837
68, Mar;0,02034548350742885;0,0010626253982384999;0;0;0;0;0;0;0,02034548350742885
69, Mar;0,018235504627227783;0,0009117750894455682;0;0;0;0;0,007340225;0;0,018235504627227783
70, Mar;0;0;0;0;0;0;0;0;0
71, Mar;0;0;0;0;0;0;0;0;0
72, Mar;0;0;0;0;0;0;0;0;0
73, Mar;0;0;0;0;0;0;0;0;0
74, Mar;0;0;0;0;0;0;0;0;0
75, Mar;0,03094652153196789;0,002758384815284184;0;0;0;0;0;0;0,03094652153196789
76, Mar;0,0009530958320413317;0,00004765478938463188;0;0;0;0;0;0;0,0009530958320413317
77, Mar;0,011301162697020032;0,0005650581969391732;0;0;0;0;0;0;0,011301162697020032
78, Mar;0,002308961890992664;0,00011544809898450261;0;0;0;0;0;0;0,002308961890992664
79, Mar;0,030751722199576243;0,0015865376307850792;0;0;0;0;0;0;0,030751722199576243
80, Mar;0,027831287611098515;0,0013915642741180601;0;0;0;0;0;0;0,027831287611098515
81, Mar;0,005231958769616627;0,00026159795622030896;0;0;0;0;0;0;0,005231958769616627
82, Mar;0,00009140408309620051;0,000004570204293399695;0;0;0;0;0;0;0,00009140408309620051
83, Mar;0,054773103623163136;0,0029840685781978423;0;0;0;0;0,00194294;0;0,054773103623163136
84, Mar;0,0018286570197059994;0,00009143285431145203;0;0;0;0;0;0;0,0018286570197059994
85, Mar;0,005368507334164211;0,00026842537114307995;0;0;0;0;0;0;0,005368507334164211
86, Mar;0,04634921323685419;0,002317460519926889;0;0;0,04634921323685419;0;0;0;0,04634921323685419
87, Mar;0;0;0;0;0;0;0;0;0
88, Mar;0,00039566804965337116;0,00001978340220548922;0;0;0;0;0;0;0,00039566804965337116
89, Mar;0,005308717134453002;0,00026543584785291126;0;0;0;0,005340506;0;0;0,005308717134453002
90, Mar;0,00836047459216345;0,00042636080511978695;0;0;0,0001733570381821621;0;0;0;0,00836047459216345
91, Apr;0,020731192259561448;0,00103655963071755;0;0;0;0;0;0;0,020731192259561448
92, Apr;0;0;0;0;0;0;0;0;0
93, Apr;0,0003147270042626631;0,00001573634965877448;0;0;0;0;0;0;0,0003147270042626631
94, Apr;0,0015194000942366464;0,00007597000027696292;0;0;0;0;0;0;0,0015194000942366464
95, Apr;0,005441822111606598;0,00027209107897111347;0;0;0;0,000143223;0;0;0,005441822111606598
96, Apr;0,01253397266070048;0,0006266986241652852;0;0;0;0;0;0;0,01253397266070048
97, Apr;0,02714836597442627;0,0013574182632423582;0;0;0;0;0;0;0,02714836597442627
98, Apr;0,11228653362819127;0,006160362845375424;0;0;0;0;0;0;0,11228653362819127
99, Apr;0,02750454062507266;0,0013752269248167674;0;0,015436967213948568;0;0;0;0;0,02750454062507266
100, Apr;0,018790161325818018;0,000939508101769856;0;0;0;0;0;0;0,018790161325818018
101, Apr;0,41603333609444754;0,021586638121377854;0;0;0;0,015793461;0;0;0,41603333609444754
102, Apr;0,026442942165193103;0,002175360918045044;0;0;0;0;0;0;0,026442942165193103
103, Apr;0,024742716834658667;0,0012371357352960678;0;0,010334581136703491;0;0;0;0;0,024742716834658667
104, Apr;0,016931337969643728;0,0015569318618093217;0;0;0;0;0;0;0,016931337969643728
105, Apr;0,01654993068604242;0,0008274965165626435;0;0;0;0;0;0;0,01654993068604242
106, Apr;0,4831963039579846;0,029629599480401902;0;0;0;0,078625078;0;0;0,4831963039579846
107, Apr;0,6029889242989677;0,030951670237949917;0;0;0;0;0;0;0,6029889242989677
108, Apr;0;0;0;0;0;0;0;0;0
109, Apr;0,00010204543581321126;0,000005102271859955397;0;0;0;0;0;0;0,00010204543581321126
110, Apr;0,0017197917969453904;0,00008598958984726952;0;0;0;0;0;0;0,0017197917969453904
111, Apr;0,052194470450991674;0,003425776958465576;0;0;0,01680704951286316;0;0;0;0,052194470450991674
112, Apr;0,1485970133826846;0,007675079362733024;0;0;0;0;0;0;0,1485970133826846
113, Apr;0,074415956224714;0,0041144610870452155;0;0;0;0;0;0;0,074415956224714
114, Apr;0,10509418305896577;0,0053303298496064685;0;0;0;0;0;0;0,10509418305896577
115, Apr;0,2285188947405134;0,01561837395032247;0;0,020090685004279726;0;0,019484063;0,014980322;0;0,2285188947405134
116, Apr;0,19049129031953357;0,011247663980438596;0;0;0;0;0,020297192;0;0,19049129031953357
117, Apr;0,4073902311779204;0,024775028228759766;0;0;0;0;0;0;0,4073902311779204
118, Apr;0,21679948625110446;0,011164514791397821;0;0;0;0;0;0;0,21679948625110446
119, Apr;0,10153613771711077;0,0059389301708766395;0;0;0;0;0;0;0,10153613771711077
120, Apr;0,1805206821078346;0,009026033537728446;0;0,014932088908695039;0,018260488907496136;0;0;0;0,1805206821078346
121, May;0,05288637819744292;0,002644318909872146;0;0;0;0;0;0;0,05288637819744292
122, May;0;0;0;0;0;0;0;0;0
123, May;0,04595460210527692;0,0022977301407428015;0;0;0;0;0;0;0,04595460210527692
124, May;0,2137789045061384;0,015315492947896322;0;0;0;0;0;0;0,2137789045061384
125, May;0,017675885132380893;0,0008837942566190447;0;0;0;0;0;0;0,017675885132380893
126, May;0,029902304921831404;0,0014951151041757492;0;0;0;0;0;0;0,029902304921831404
127, May;0;0;0;0;0;0;0;0;0
128, May;0,06623522440592448;0,003311761078380403;0;0,004456691089130584;0;0;0;0;0,06623522440592448
129, May;0,016202618678410847;0,0008101308984415871;0;0;0;0;0;0;0,016202618678410847
130, May;0,04390492609569004;0,0021952463402634577;0;0;0;0;0;0;0,04390492609569004
131, May;0;0;0;0;0;0;0;0;0
132, May;0,07483686151958648;0,003741843359810965;0;0;0;0;0;0;0,07483686151958648
133, May;0;0;0;0;0;0;0;0;0
134, May;0,0764402605238415;0,0038220126714025226;0;0;0;0;0;0;0,0764402605238415
135, May;0,4248827979678199;0,032232931682041714;0;0;0;0;0;0;0,4248827979678199
136, May;0,07627418495359875;0,0038137095315115793;0;0;0;0;0;0;0,07627418495359875
137, May;0,12175930114019484;0,00613452068396977;0;0;0;0,00124272;0;0;0,12175930114019484
138, May;0,6298879895891462;0,0369280009042649;0;0;0;0;0,108008932;0;0,6298879895891462
139, May;1,3107964651925224;0,07266012827555339;0;0;0;0;0,085438636;0;1,3107964651925224
140, May;0,11677279926481701;0,008372112399055845;0;0,36855590911138625;0;0,050972859;0,00179143;0;0,11677279926481701
141, May;1,6666201636904763;0,09713007154918853;0;0,006222118224416461;0,016030274686359224;0;0,089001853;0;1,6666201636904763
142, May;1,0833836510067893;0,08190113589877174;0;0;0,09667396545410156;0;0,305487095;0;1,0833836510067893
143, May;1,9688945951915922;0,18887140637352354;0;0;0;0,430873542;1,097108755;0;1,9688945951915922
144, May;2,432533627464658;0,20903380711873373;0;0,5363166899908156;0;0,017753076;0,000323115;0;2,432533627464658
145, May;0,9343631381080264;0,04885359037490118;0;0,1987024943033854;0;0;0,0218494;0;0,9343631381080264
146, May;2,2180958702450706;0,16083678745088123;0;0,3360170636858259;0,7506734757196336;0;0;0;2,2180958702450706
147, May;12,486005510602679;0,7603120349702381;0;0,07091172536214192;12,486005510602679;0;0,021157604;0;12,486005510602679
148, May;5,574564252580915;0,5798923855736142;0;0;5,301944551013765;0;0;0;5,574564252580915
149, May;2,7046908424014138;0,1778532209850493;0;0;0;0;0;0;2,7046908424014138
150, May;1,2983690897623699;0,08654162997291201;0;0;0,1988824208577474;0;0,170765178;0;1,2983690897623699
