"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,20772109160552155;0,012492149262814908;0;0;0,021481947318927663;0;0;0;0,20772109160552155
2, Jan;0,5488575084789379;0,04465068353189004;0;0,03563793607660242;0;0;0;0;0,5488575084789379
3, Jan;0,32217853133742874;0,022321050231521193;0;0,005065762110658594;0;0;0;0;0,32217853133742874
4, Jan;0,5230774750580659;0,054934295448097026;0;0,00898426932257575;0;0;0;0;0,5230774750580659
5, Jan;0,18223061432709564;0,010319268381273424;0;0,037820364977862383;0;0;0;0;0,18223061432709564
6, Jan;0,2552338161984006;0,017719313905045792;0;0,32906171437856313;0;0;0;0;0,2552338161984006
7, Jan;0,4820854599411423;0,047922530689755;0;0;0;0;0;0;0,4820854599411423
8, Jan;0,44755729469093114;0,026474427532505344;0;0,11567258834838867;0,0282091321171941;0;0;0;0,44755729469093114
9, Jan;0,44834621532543284;0,04213304777403135;0;0,4528068336280617;0;0;0;0;0,44834621532543284
10, Jan;0,3642971708967879;0,0417130573375805;0;0;0;0;0;0;0,3642971708967879
11, Jan;0,34034373309161214;0,057124994896553656;0;0;0;0,056751659;0;0;0,34034373309161214
12, Jan;0,4159483780732026;0,051346044282655455;0;0;0;0,106859889;0;0;0,4159483780732026
13, Jan;0,3621598578788139;0,028375870472676045;0;0;0;0;0;0;0,3621598578788139
14, Jan;0,12107552708806218;0,007867003614838058;0;0;0;0;0;0;0,12107552708806218
15, Jan;0,328000867688978;0,019477399619849952;0;0;0,015701311665612297;0,038452035;0;0;0,328000867688978
16, Jan;0,23214788694639463;0,013503719020534205;0;0;0,05106241638595994;0,215314137;0;0;0,23214788694639463
17, Jan;0,15782579215797218;0,009689920657389873;0;0;0;0,06816681;0;0;0,15782579215797218
18, Jan;0,2886919073156408;0,027046280938225822;0;0;0;0;0;0;0,2886919073156408
19, Jan;0;0;0;0;0;0;0;0;0
20, Jan;0,10094841750892433;0,005047420392165313;0;0;0;0;0;0;0,10094841750892433
21, Jan;0,27929326650258657;0,01765034005448625;0;0;0,0062988581689628394;0;0;0;0,27929326650258657
22, Jan;0,2340023453171189;0,021435692503645614;0;0;0,01169720694825456;0,064827511;0,11039077;0;0,2340023453171189
23, Jan;0,6262933885728991;0,04318227639069428;0;0;0;0,182614963;0,616094518;0;0,6262933885728991
24, Jan;0,27197690912195155;0,014542557097770073;0;0;0,24888920139622045;0;0;0;0,27197690912195155
25, Jan;0,5021768518396326;0,06614955695899757;0;0;0,27697485846442144;0;0;0;0,5021768518396326
26, Jan;0,09058739687945391;0,004836948336781682;0;0;0,011284483445657266;0;0;0;0,09058739687945391
27, Jan;0,4608700210983689;0,026807097164360253;0;0;0;0;0;0;0,4608700210983689
