"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,06253041823705037;0,006431253006060918;0;0;0;0;0;0;0,06253041823705037
2, Jan;0,06283496816953023;0,0040048764397700625;0;0,0009682346135377884;0;0;0;0;0,06283496816953023
3, Jan;0,0404401496052742;0,003215144698818525;0;0,05014702181021372;0;0;0;0;0,0404401496052742
4, Jan;0,077388400832812;0,006564230968554814;0;0;0;0;0;0;0,077388400832812
5, Jan;0,027804553508758545;0,0015905473070840042;0;0;0;0;0;0;0,027804553508758545
6, Jan;0,03562549998362859;0,002595109399408102;0;0,0016181900476415951;0;0;0;0;0,03562549998362859
7, Jan;0,0331073005994161;0,002841224273045858;0;0;0;0;0,000941167;0;0,0331073005994161
8, Jan;0,04009449481964111;0,004053593302766482;0;0,02403399348258972;0;0;0;0;0,04009449481964111
9, Jan;0,08643308281898499;0,009626787155866623;0;0,030357427895069122;0;0;0;0;0,08643308281898499
10, Jan;0,06776653230190277;0,00898385172088941;0;0;0;0;0;0;0,06776653230190277
11, Jan;0,023241877555847168;0,00321097020059824;0;0;0;0,000758615;0;0;0,023241877555847168
12, Jan;0,012376241385936737;0,001083053881302476;0;0;0;0;0;0;0,012376241385936737
13, Jan;0,016104040046532948;0,0012296336547782023;0;0;0;0;0;0;0,016104040046532948
14, Jan;0,01100283736983935;0,0007524482595423857;0;0;0;0;0;0;0,01100283736983935
15, Jan;0,02116827170054118;0,0019695935770869255;0;0;0,008715137839317322;0;0,003812335;0;0,02116827170054118
16, Jan;0,0013597534659008186;0,00006798767329504092;0;0,00018076610285788774;0,0013345245582362015;0;0;0;0,0013597534659008186
17, Jan;0,0071901169915994005;0,0004860418848693371;0;0;0;0,004502179;0;0;0,0071901169915994005
18, Jan;0,006999952718615532;0,000449573698764046;0;0;0;0,001095914;0;0;0,006999952718615532
19, Jan;0,00480525257686774;0,00035183240349094075;0;0;0;0;0;0;0,00480525257686774
20, Jan;0,0029626370718081794;0,00018503565418844423;0;0;0;0;0;0;0,0029626370718081794
21, Jan;0,00426060954729716;0,00025316069756324094;0;0;0,0016170750992993514;0;0,000507136;0;0,00426060954729716
22, Jan;0,011670481413602829;0,001294435312350591;0;0;0;0,009515006;0,007803203;0;0,011670481413602829
23, Jan;0,007399738455812137;0,0005747792311012745;0;0;0;0,003319493;0,007106628;0;0,007399738455812137
24, Jan;0,004896941905220349;0,0003142487451744576;0;0;0,0016960805902878444;0;0;0;0,004896941905220349
25, Jan;0,003981265239417553;0,00023826442581291;0;0;0,0008091227306673924;0;0;0;0,003981265239417553
26, Jan;0,002301933088650306;0,00011509665637277067;0;0;0;0;0;0;0,002301933088650306
27, Jan;0,006398409605026245;0,00033032412951191265;0;0;0;0;0;0;0,006398409605026245
28, Jan;0,0005138354996840159;0,000025691774984200794;0;0;0;0;0;0;0,0005138354996840159
29, Jan;0,005700308829545975;0,0003500070112446944;0;0;0,0008742397961517175;0,005582248;0;0;0,005700308829545975
30, Jan;0,0023521953262388706;0,0001222146674990654;0;0;0;0;0;0;0,0023521953262388706
31, Jan;0,006371716658274333;0,0004184388866027196;0;0;0,0008748096879571676;0,002686161;0;0;0,006371716658274333
32, Feb;0,016495777914921444;0,0008486599350968996;0;0;0;0;0;0;0,016495777914921444
33, Feb;0,010837264358997345;0,000669220695272088;0;0;0;0;0;0;0,010837264358997345
34, Feb;0,010456966857115427;0,0005494085295746723;0;0;0;0;0,004419283;0;0,010456966857115427
35, Feb;0,022700779139995575;0,001480385350684325;0;0;0;0,000545038;0;0;0,022700779139995575
36, Feb;0,037730621794859566;0,0027132276445627213;0;0;0;0,030221629;0;0;0,037730621794859566
37, Feb;0,03408106913169225;0,00272425077855587;0;0;0;0,032131398;0;0;0,03408106913169225
38, Feb;0,02822761982679367;0,0014152141908804576;0;0;0;0;0;0;0,02822761982679367
39, Feb;0,02882668375968933;0,002061067925145229;0;0;0;0;0;0;0,02882668375968933
40, Feb;0,03039089838663737;0,0018257734676202138;0;0;0;0;0;0;0,03039089838663737
41, Feb;0,02951677143573761;0,0018539621184269588;0;0;0;0,00000979408;0;0;0,02951677143573761
42, Feb;0,01702869062622388;0,0009380088498195013;0;0;0;0;0;0;0,01702869062622388
43, Feb;0,010597051431735357;0,0005965477709348003;0;0;0;0;0;0;0,010597051431735357
44, Feb;0,032630001505215965;0,001962022390216589;0;0,0013056937605142593;0;0;0;0;0,032630001505215965
45, Feb;0,04082422455151876;0,0021879483635226884;0;0;0;0;0;0;0,04082422455151876
46, Feb;0,021226977308591206;0,0013935938477516174;0;0;0;0;0;0;0,021226977308591206
47, Feb;0,010479812820752462;0,0005239906022325158;0;0;0;0;0;0;0,010479812820752462
48, Feb;0,0001807105727493763;0,000009035529122532656;0;0;0,00006647217378485948;0;0;0;0,0001807105727493763
49, Feb;0,011322687069574991;0,0006060094262162844;0;0;0,001257999644925197;0;0,001044302;0;0,011322687069574991
50, Feb;0,007765586177508037;0,00038827928559233743;0;0;0;0;0;0;0,007765586177508037
51, Feb;0,03124480942885081;0,0022779746601978936;0;0;0;0;0,000342866;0;0,03124480942885081
52, Feb;0,0072473275164763136;0,00036734478392948705;0;0;0;0;0;0;0,0072473275164763136
53, Feb;0,006971212724844615;0,0003485606284812093;0;0;0;0;0;0;0,006971212724844615
54, Feb;0,00040492562887569267;0,000020246280958720792;0;0;0;0;0;0;0,00040492562887569267
55, Feb;0;0;0;0;0;0;0;0;0
56, Feb;0,0020671061550577483;0,00010335530775288741;0;0;0;0;0;0;0,0020671061550577483
57, Feb;0;0;0;0;0;0;0;0;0
58, Feb;0;0;0;0;0;0;0;0;0
59, Feb;0,0030692623307307563;0,00015346313011832535;0;0;0;0;0;0;0,0030692623307307563
60, Mar;0,000175989776228865;0,000008799488568911329;0;0;0;0;0;0;0,000175989776228865
61, Mar;0,0006792182102799416;0,00003396091051399708;0;0;0,0004446349339559674;0;0;0;0,0006792182102799416
62, Mar;0,00008961693189727764;0,000004480846655496862;0;0;0;0;0;0;0,00008961693189727764
63, Mar;0;0;0;0;0;0;0;0;0
64, Mar;0,00016650980493674675;0,000008791352835639069;0;0;0,00006111050606705248;0;0;0;0,00016650980493674675
65, Mar;0,0009209485724568367;0,00007031010075782736;0;0,000052310972629735865;0,0004296770008901755;0;0;0;0,0009209485724568367
66, Mar;0,0006610569544136524;0,00004777726523267726;0;0;0;0;0;0;0,0006610569544136524
67, Mar;0;0;0;0;0;0;0;0;0
68, Mar;0,0006721351916591326;0,00003816501218049476;0;0;0;0;0;0;0,0006721351916591326
69, Mar;0,0005117816229661306;0,00002558908211843421;0;0;0;0;0,000499963;0;0,0005117816229661306
70, Mar;0;0;0;0;0;0;0;0;0
71, Mar;0;0;0;0;0;0;0;0;0
72, Mar;0;0;0;0;0;0;0;0;0
73, Mar;0;0;0;0;0;0;0;0;0
74, Mar;0;0;0;0;0;0;0;0;0
