"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,32747658262861534;0,023358086322216278;0;0;0,002174631078192528;0;0,000842114;0;0,32747658262861534
2, Jan;0,11689312914584546;0,006777691714307095;0;0;0;0;0,003658851;0;0,11689312914584546
3, Jan;0,4278985693099651;0,041877338226805345;0;0,004424585940990042;0,0039691658730202535;0;0,002065697;0;0,4278985693099651
4, Jan;0,17462890706163772;0,014204821688063602;0;0,0160067322406363;0;0;0;0;0,17462890706163772
5, Jan;0,20158879300381274;0,015742991832976647;0;0;0;0;0;0;0,20158879300381274
6, Jan;0,21779328204215842;0,0200314369607479;0;0,0015403222530446154;0,004764816228379595;0,131268397;0;0;0,21779328204215842
7, Jan;0,1806084653164478;0,017162968503667952;0;0,09598906496737866;0;0,010070422;0;0;0,1806084653164478
8, Jan;0,2611981858598425;0,02629264364851282;0;0,21540053347323804;0;0;0;0;0,2611981858598425
9, Jan;0,432330070657933;0,04916800843908432;0;0,42509484798350233;0,14001072214004842;0;0;0;0,432330070657933
10, Jan;0,4887147457041639;0,06535527553964168;0;0,10815841593640915;0,3210495076280959;0,000329538;0;0;0,4887147457041639
11, Jan;0,31419981286880816;0,03148954472643264;0;0;0,0006124905132232828;0,036503406;0;0;0,31419981286880816
12, Jan;0,24113419715394366;0,01950112555889373;0;0;0;0,034033633;0,037239885;0;0,24113419715394366
13, Jan;0,5276351279400765;0,03876204439934264;0;0;0;0;0;0;0,5276351279400765
14, Jan;0,24447311239039643;0,019293858649882863;0;0;0;0,002485055;0,004693253;0;0,24447311239039643
15, Jan;0,21079684318380154;0,018960675026508087;0;0;0,0381730059359936;0,157765946;0,078347504;0;0,21079684318380154
16, Jan;0,17729300640999002;0,011632569292758374;0;0,00939954088089314;0,005226072478801646;0,127785568;0;0;0,17729300640999002
17, Jan;0,2626891034714719;0,02501144307724973;0;0,002261488995653518;0;0,185152208;0;0;0,2626891034714719
