"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,570477306842804;0,06892981380224228;0;0;0;0;0;0;0,570477306842804
2, Jan;0,5959004163742065;0,03735080733895302;0;0;0;0;0;0;0,5959004163742065
3, Jan;0,440199077129364;0,04680333286523819;0;0,08164740353822708;0;0;0;0;0,440199077129364
4, Jan;0,538562536239624;0,06158924102783203;0;0,46828925609588623;0;0;0;0;0,538562536239624
5, Jan;0,4368375539779663;0,021841878071427345;0;0;0;0;0;0;0,4368375539779663
6, Jan;0,20776574313640594;0,018215501680970192;0;0;0;0;0;0;0,20776574313640594
7, Jan;0,34766966104507446;0,041112273931503296;0;0;0;0;0;0;0,34766966104507446
8, Jan;0,3005649447441101;0,017523817718029022;0;0,26273345947265625;0;0;0;0;0,3005649447441101
9, Jan;0,30563271045684814;0,021871622651815414;0;0,5959305763244629;0;0;0;0;0,30563271045684814
10, Jan;0,7613900303840637;0,1267096847295761;0;0;0;0;0;0;0,7613900303840637
11, Jan;0,4441229999065399;0,03209472447633743;0;0;0;0;0;0;0,4441229999065399
12, Jan;0,26452118158340454;0,028604229912161827;0;0;0;0;0;0;0,26452118158340454
13, Jan;0,692910373210907;0,04008438438177109;0;0;0;0;0;0;0,692910373210907
14, Jan;0,4239126443862915;0,027122704312205315;0;0;0;0;0;0;0,4239126443862915
15, Jan;0,23487818241119385;0,021786656230688095;0;0;0,08521256595849991;0;0,137351781;0;0,23487818241119385
16, Jan;0;0;0;0;0;0;0;0;0
17, Jan;0,34801140427589417;0,03646637126803398;0;0;0;0,110858977;0;0;0,34801140427589417
18, Jan;0,5131841897964478;0,0745326429605484;0;0;0;0,221717954;0;0;0,5131841897964478
19, Jan;0,20794273912906647;0,015606085769832134;0;0;0;0;0;0;0,20794273912906647
20, Jan;0,4011892080307007;0,03288906812667847;0;0;0;0;0;0;0,4011892080307007
21, Jan;0,24714894592761993;0,016994284465909004;0;0;0;0;0,191270947;0;0,24714894592761993
22, Jan;0,3887704014778137;0,04518905282020569;0;0;0,3887704014778137;0;0,286906391;0;0,3887704014778137
23, Jan;0,3707233667373657;0,04395422339439392;0;0;0;0,224922881;0,286906391;0;0,3707233667373657
24, Jan;0,16523578763008118;0,008261788636446;0;0;0;0;0;0;0,16523578763008118
25, Jan;0,4583396911621094;0,0527697429060936;0;0;0;0;0;0;0,4583396911621094
26, Jan;0,3362051844596863;0,026469891890883446;0;0;0;0;0;0;0,3362051844596863
27, Jan;0,19882170855998993;0,015326899476349354;0;0;0;0;0;0;0,19882170855998993
28, Jan;0;0;0;0;0;0;0;0;0
29, Jan;0,3861287832260132;0,01930643990635872;0;0;0;0,285072535;0;0;0,3861287832260132
30, Jan;0;0;0;0;0;0;0;0;0
31, Jan;0,5742207169532776;0,050329066812992096;0;0;0,5742207169532776;0,285072535;0;0;0,5742207169532776
32, Feb;0,6982942819595337;0,06248544156551361;0;0;0;0;0;0;0,6982942819595337
33, Feb;0;0;0;0;0;0;0;0;0
34, Feb;0,2502271234989166;0,012511355802416801;0;0;0;0;0;0;0,2502271234989166
35, Feb;0,4255462884902954;0,040166668593883514;0;0;0;0,23414439;0;0;0,4255462884902954
36, Feb;0,5064970850944519;0,047886356711387634;0;0;0;0,23414439;0;0;0,5064970850944519
37, Feb;0,5516974925994873;0,055161960422992706;0;0;0;0,546865046;0;0;0,5516974925994873
38, Feb;0,5467262864112854;0,02733631432056427;0;0;0;0;0;0;0,5467262864112854
39, Feb;0,13512727618217468;0,006756363902240992;0;0;0;0;0;0;0,13512727618217468
40, Feb;1,0056648254394531;0,09584815800189972;0;0;0;0;0;0;1,0056648254394531
41, Feb;0,6433242559432983;0,05093766748905182;0;0;0,6433242559432983;0;0;0;0,6433242559432983
42, Feb;0,5296272039413452;0,05706880986690521;0;0;0;0;0;0;0,5296272039413452
43, Feb;0,43481284379959106;0,028024211525917053;0;0,2086441069841385;0;0;0;0;0,43481284379959106
44, Feb;0,832080602645874;0,0813002958893776;0;0,6106209754943848;0;0;0;0;0,832080602645874
45, Feb;0,1256714016199112;0,008885225281119347;0;0;0;0;0;0;0,1256714016199112
46, Feb;0,4403265118598938;0,024617981165647507;0;0;0;0;0;0;0,4403265118598938
47, Feb;0,34010761976242065;0,017005380243062973;0;0;0;0;0;0;0,34010761976242065
48, Feb;0,3401077389717102;0,02369888871908188;0;0;0,1338701695203781;0;0;0;0,3401077389717102
49, Feb;0,1338701695203781;0,006693508476018906;0;0;0,1338701695203781;0;0;0;0,1338701695203781
50, Feb;0,39346450567245483;0,01967322640120983;0;0;0;0;0;0;0,39346450567245483
51, Feb;0;0;0;0;0;0;0;0;0
52, Feb;0;0;0;0;0;0;0;0;0
53, Feb;0,4136907458305359;0,020684536546468735;0;0;0;0;0;0;0,4136907458305359
54, Feb;0;0;0;0;0;0;0;0;0
55, Feb;0;0;0;0;0;0;0;0;0
56, Feb;0;0;0;0;0;0;0;0;0
57, Feb;0;0;0;0;0;0;0;0;0
58, Feb;0;0;0;0;0;0;0;0;0
59, Feb;0;0;0;0;0;0;0;0;0
60, Mar;0,06973010301589966;0,0034865052439272404;0;0;0;0;0;0;0,06973010301589966
61, Mar;0;0;0;0;0;0;0;0;0
62, Mar;0;0;0;0;0;0;0;0;0
63, Mar;0,03368343040347099;0,0016841714968904853;0;0;0;0,067366861;0;0;0,03368343040347099
64, Mar;0,023635592311620712;0,0011817796621471643;0;0;0;0;0;0;0,023635592311620712
65, Mar;0;0;0;0,02336164563894272;0;0;0;0;0
66, Mar;0,04724043235182762;0,0023620217107236385;0;0;0;0;0;0;0,04724043235182762
67, Mar;0;0;0;0;0;0;0;0;0
68, Mar;0;0;0;0;0;0;0;0;0
69, Mar;0;0;0;0;0;0;0;0;0
70, Mar;0;0;0;0;0;0;0;0;0
71, Mar;0;0;0;0;0;0;0;0;0
72, Mar;0;0;0;0;0;0;0;0;0
73, Mar;0;0;0;0;0;0;0;0;0
74, Mar;0;0;0;0;0;0;0;0;0
75, Mar;0;0;0;0;0;0;0;0;0
76, Mar;0;0;0;0;0;0;0;0;0
77, Mar;0;0;0;0;0;0;0;0;0
78, Mar;0;0;0;0;0;0;0;0;0
79, Mar;0;0;0;0;0;0;0;0;0
80, Mar;0;0;0;0;0;0;0;0;0
81, Mar;0;0;0;0;0;0;0;0;0
82, Mar;0;0;0;0;0;0;0;0;0
83, Mar;0;0;0;0;0;0;0;0;0
84, Mar;0;0;0;0;0;0;0;0;0
85, Mar;0;0;0;0;0;0;0;0;0
86, Mar;0;0;0;0;0;0;0;0;0
87, Mar;0;0;0;0;0;0;0;0;0
88, Mar;0;0;0;0;0;0;0;0;0
89, Mar;0;0;0;0;0;0;0;0;0
90, Mar;0;0;0;0;0;0;0;0;0
91, Apr;0;0;0;0;0;0;0;0;0
92, Apr;0;0;0;0;0;0;0;0;0
93, Apr;0,0010989431757479906;0,00005494715878739953;0;0;0;0;0;0;0,0010989431757479906
94, Apr;0;0;0;0;0;0;0;0;0
95, Apr;0;0;0;0;0;0;0;0;0
96, Apr;0;0;0;0;0;0;0;0;0
97, Apr;0;0;0;0;0;0;0;0;0
98, Apr;0,006844100076705217;0,0006749596213921905;0;0;0;0;0;0;0,006844100076705217
99, Apr;0;0;0;0;0;0;0;0;0
100, Apr;0;0;0;0;0;0;0;0;0
101, Apr;0,010072150267660618;0,0005036075017414987;0;0;0;0;0;0;0,010072150267660618
102, Apr;0,0046535758301615715;0,00023267879441846162;0;0;0;0;0;0;0,0046535758301615715
103, Apr;0;0;0;0;0;0;0;0;0
104, Apr;0,013960727490484715;0,0006980363978073001;0;0;0;0;0;0;0,013960727490484715
105, Apr;0,010030214674770832;0,0005015107453800738;0;0;0;0;0;0;0,010030214674770832
106, Apr;0;0;0;0;0;0;0;0;0
107, Apr;0;0;0;0;0;0;0;0;0
108, Apr;0;0;0;0,009719348512589931;0;0;0;0;0
109, Apr;0,023086927831172943;0,0011543463915586472;0;0,009719348512589931;0;0;0;0;0,023086927831172943
110, Apr;0,00769564276561141;0,0003847821499221027;0;0;0;0;0;0;0,00769564276561141
111, Apr;0,04553709179162979;0,0022768545895814896;0;0;0;0;0;0;0,04553709179162979
112, Apr;0,016189254820346832;0,0008094627410173416;0;0;0;0;0;0;0,016189254820346832
113, Apr;0,0001886220561573282;0,000009431102625967469;0;0;0;0;0;0;0,0001886220561573282
114, Apr;0,0039082239381968975;0,00019541119399946183;0;0;0;0;0;0;0,0039082239381968975
115, Apr;0,011721959337592125;0,0005860979435965419;0;0;0;0;0;0;0,011721959337592125
116, Apr;0;0;0;0;0;0;0;0;0
117, Apr;0;0;0;0;0;0;0;0;0
118, Apr;0;0;0;0;0;0;0;0;0
119, Apr;0;0;0;0;0;0;0;0;0
120, Apr;0;0;0;0;0;0;0;0;0
121, May;0;0;0;0;0;0;0;0;0
122, May;0;0;0;0;0;0;0;0;0
123, May;0;0;0;0;0;0;0;0;0
124, May;0;0;0;0;0;0;0;0;0
125, May;0;0;0;0;0;0;0;0;0
126, May;0;0;0;0;0;0;0;0;0
127, May;0,018180273473262787;0,0009090136736631393;0;0,03212883695960045;0;0;0;0;0,018180273473262787
128, May;0;0;0;0;0;0;0;0;0
129, May;0,018107201904058456;0,0009053600952029228;0;0;0;0;0,036214404;0;0,018107201904058456
130, May;0;0;0;0;0;0;0;0;0
131, May;0;0;0;0;0;0;0;0;0
132, May;0;0;0;0;0;0;0;0;0
133, May;0;0;0;0;0;0;0;0;0
134, May;0;0;0;0;0;0;0;0;0
135, May;0,12866747379302979;0,010135989636182785;0;0;0;0,104406312;0;0;0,12866747379302979
136, May;0;0;0;0;0;0;0;0;0
137, May;0;0;0;0;0;0;0;0;0
138, May;0;0;0;0;0;0;0;0;0
139, May;0;0;0;0;0;0;0;0;0
140, May;0;0;0;0;0;0;0;0;0
141, May;0,6961895823478699;0,0536179393529892;0;0;0;0;0;0;0,6961895823478699
142, May;0,6770352721214294;0,0744948610663414;0;0;0;0;0;0;0,6770352721214294
143, May;0,3994753956794739;0,019973769783973694;0;0,8257530927658081;0;0;0;0;0,3994753956794739
144, May;0,021410563960671425;0,0010705281747505069;0;0;0;0;0,028927194;0;0,021410563960671425
145, May;0,6687920689582825;0,033439602702856064;0;0;0;0;0,578476429;0;0,6687920689582825
146, May;0,8740197420120239;0,04370098561048508;0;0;0;0;0;0;0,8740197420120239
147, May;0;0;0;0;0;0;0;0;0
148, May;0,4228101670742035;0,021140508353710175;0;0;0;0;0;0;0,4228101670742035
149, May;0;0;0;0;0;0;0;0;0
150, May;0;0;0;0;0;0;0;0;0
151, May;0;0;0;0;0;0;0;0;0
152, Jun;5,009948253631592;0,25217753648757935;0;5,145044326782227;0;0;0,034912195;0;5,009948253631592
153, Jun;2,4975175857543945;0,1248817890882492;0;0;0;0;0,000236454;0;2,4975175857543945
154, Jun;3,281702756881714;0,16408514976501465;0;0;0;0;0;0;3,281702756881714
155, Jun;2,703535795211792;0,150242418050766;0;0;0;0;0,433082521;0;2,703535795211792
156, Jun;0,000025019773602252826;0,0000012509887028500088;0;0;0;0;0,0000308996;0;0,000025019773602252826
157, Jun;1,1594711542129517;0,057973556220531464;0;0;0;0;0;0;1,1594711542129517
158, Jun;0;0;0;0;0;0;0;0;0
159, Jun;0;0;0;0;0;0;0;0;0
160, Jun;0,9420714378356934;0,04710357263684273;0;0;0,9420714378356934;0;0;0;0,9420714378356934
161, Jun;0;0;0;0;0;0;0;0;0
162, Jun;1,4226194620132446;0,07113097608089447;0;0;0;0;0;0;1,4226194620132446
163, Jun;3,221475124359131;0,16110342741012573;0;0;0;0;2,767047167;0;3,221475124359131
164, Jun;2,120483160018921;0,10602415353059769;0;0;0;0;2,351034164;0;2,120483160018921
165, Jun;1,7142469882965088;0,11462487280368805;0;0;0;0;0;0;1,7142469882965088
166, Jun;2,6933212280273438;0,1347198635339737;0;0;0;0;0,0000685924;0;2,6933212280273438
167, Jun;0,004060631617903709;0,00020303158089518547;0;0;0,004060631617903709;0;0;0;0,004060631617903709
168, Jun;0;0;0;0;0;0;0;0;0
169, Jun;2,209970474243164;0,11049851775169373;0;0;2,209970474243164;0;0;0;2,209970474243164
170, Jun;0,927997887134552;0,054958269000053406;0;0;0,30626118183135986;0;0;0;0,927997887134552
171, Jun;2,3920135498046875;0,11960066854953766;0;0;2,3920135498046875;0;0;0;2,3920135498046875
172, Jun;7,1176557540893555;0,6116340160369873;0;0;0;0;0;0;7,1176557540893555
173, Jun;6,099645614624023;0,3049822449684143;0;0;6,099645614624023;0;0;0;6,099645614624023
174, Jun;6,099645614624023;0,3049822449684143;0;0;6,099645614624023;0;0;0;6,099645614624023
175, Jun;2,463188648223877;0,12315943837165833;0;0;0;0;0;0;2,463188648223877
176, Jun;3,6285104751586914;0,1814255267381668;0;0;0;0;0;0;3,6285104751586914
177, Jun;11,392556190490723;0,8884339332580566;0;0;0;10,25898838;0;0;11,392556190490723
178, Jun;12,850215911865234;1,0892090797424316;0;0;0;0;0;0;12,850215911865234
179, Jun;7,128337860107422;0,8506147861480713;0;0;0;0;0;0;7,128337860107422
180, Jun;2,5754733085632324;0,24199867248535156;0;0;0;0;0;0;2,5754733085632324
181, Jun;21,389747619628906;1,6807732582092285;0;0;0;0;0;0;21,389747619628906
182, Jul;12,106914520263672;0,7724044322967529;0;0;0;0;0;0;12,106914520263672
183, Jul;22,004812240600586;2,7290992736816406;0;0;0;0;0;0;22,004812240600586
184, Jul;24,797222137451172;1,4472846984863281;0;5,183486461639404;0;0;0;0;24,797222137451172
185, Jul;6,523343563079834;0,32616716623306274;0;0;0;0;0;0;6,523343563079834
186, Jul;7,940507411956787;0,6418120265007019;0;0;0;4,585107803;0;0;7,940507411956787
187, Jul;26,864999771118164;1,7122094631195068;0;0;0;0;0;0;26,864999771118164
188, Jul;9,795355796813965;1,1988956928253174;0;0;0;0;3,520227194;0;9,795355796813965
189, Jul;15,46626091003418;1,9735891819000244;0;0;0;3,702529907;0;0;15,46626091003418
190, Jul;17,550783157348633;2,7718324661254883;0;0;16,038400650024414;0;0;0;17,550783157348633
191, Jul;0;0;0;0;0;0;0;0;0
192, Jul;24,158626556396484;2,0550589561462402;0;4,530116081237793;0;0;6,123840332;0;24,158626556396484
193, Jul;29,31322479248047;2,710442066192627;0;0;0;0;18,371521;0;29,31322479248047
194, Jul;16,105751037597656;1,886717677116394;0;4,530116081237793;0;0;0;0;16,105751037597656
195, Jul;7,4153876304626465;0,6918885707855225;0;1,388720154762268;0;0;6,123840332;0;7,4153876304626465
196, Jul;17,310422897338867;1,4816466569900513;0;0;0;0;0;0;17,310422897338867
197, Jul;35,34156036376953;3,480106830596924;0;0;0;0;2,26454258;0;35,34156036376953
198, Jul;22,329023361206055;3,09281325340271;0;0;0;0;3,401963711;0;22,329023361206055
199, Jul;19,579885482788086;1,4755189418792725;0;4,639227867126465;0;0;2,678890705;0;19,579885482788086
200, Jul;7,5728254318237305;1,3654334545135498;0;1,1329823732376099;3,032888889312744;0;5,781873703;0;7,5728254318237305
201, Jul;15,576812744140625;3,106461524963379;0;0;5,604742527008057;0;12,74711418;0;15,576812744140625
202, Jul;22,697616577148438;5,461490631103516;0;0;16,326587677001953;0;19,26727867;0;22,697616577148438
203, Jul;35,88486099243164;2,6165151596069336;0;0;35,88486099243164;0;0;0;35,88486099243164
204, Jul;48,979766845703125;3,1690895557403564;0;0;48,979766845703125;0;0;0;48,979766845703125
205, Jul;15,063615798950195;3,0967183113098145;0;32,60960388183594;11,394979476928711;0;14,45045948;0;15,063615798950195
206, Jul;21,822927474975586;3,504606246948242;0;0;0;0;0;0;21,822927474975586
207, Jul;29,936784744262695;2,9425058364868164;0;0;16,125661849975586;0;0;0;29,936784744262695
208, Jul;8,295047760009766;1,4573864936828613;0;0;0;0;6,404131889;0;8,295047760009766
209, Jul;14,94947624206543;3,5107336044311523;0;0;0;0;12,80826378;0;14,94947624206543
210, Jul;34,529788970947266;5,203909873962402;0;8,518461227416992;0;0;6,404131889;0;34,529788970947266
211, Jul;33,181495666503906;5,815352916717529;0;5,920750141143799;0;5,830893993;12,80826378;0;33,181495666503906
212, Jul;28,12651824951172;5,430858612060547;0;4,259230613708496;8,062830924987793;5,830893993;0;0;28,12651824951172
213, Aug;14,688032150268555;3,154052257537842;0;0;0;0;0;0;14,688032150268555
214, Aug;25,239723205566406;5,679248809814453;0;0;0;20,53296661;5,521047115;0;25,239723205566406
215, Aug;69,70237731933594;8,718070983886719;0;0;3,147608995437622;61,59890366;0;0;69,70237731933594
216, Aug;13,455804824829102;1,2362686395645142;0;0;0;0;0;0;13,455804824829102
217, Aug;23,234127044677734;1,9405254125595093;0;0;3,147608995437622;20,53296661;0;0;23,234127044677734
218, Aug;16,155536651611328;3,324376106262207;0;0;11,62786865234375;11,31382465;0;0;16,155536651611328
219, Aug;54,82496643066406;3,858759880065918;0;0;11,62786865234375;0;0;0;54,82496643066406
220, Aug;23,2557373046875;4,714679718017578;0;0;23,2557373046875;11,31382465;0;0;23,2557373046875
221, Aug;66,90553283691406;6,977126121520996;0;0;0;11,31382465;0;0;66,90553283691406
222, Aug;18,033512115478516;3,454606294631958;0;0;0;0;16,47266197;0;18,033512115478516
223, Aug;23,514619827270508;2,5993776321411133;0;0;0;0;0;0;23,514619827270508
224, Aug;39,0701904296875;6,029539108276367;0;15,045358657836914;0;0;0;0;39,0701904296875
225, Aug;27,828731536865234;4,665961265563965;0;15,045358657836914;0;0;5,89564991;0;27,828731536865234
226, Aug;71,155029296875;7,022735595703125;0;7,714535236358643;0;0;11,79129982;0;71,155029296875
227, Aug;40,908935546875;5,010066986083984;0;10,030240058898926;0;36,38451767;11,79129982;0;40,908935546875
228, Aug;68,99503326416016;9,991575241088867;0;14,727239608764648;0;15,58389568;0;0;68,99503326416016
229, Aug;50,36126708984375;9,108989715576172;0;10,377988815307617;12,812381744384766;0;0;0;50,36126708984375
230, Aug;50,44799041748047;10,848451614379883;0;0;38,43714141845703;31,16779137;0;0;50,44799041748047
231, Aug;50,862030029296875;10,716188430786133;0;35,483219146728516;31,40553855895996;46,7516861;0;0;50,862030029296875
232, Aug;60,43352508544922;9,291316986083984;0;31,133968353271484;38,43714141845703;0;9,725255966;0;60,43352508544922
233, Aug;26,20999526977539;5,929504871368408;0;5,248568058013916;0;0;23,03110886;0;26,20999526977539
234, Aug;36,298606872558594;8,5148344039917;0;0;5,384313106536865;0;0;0;36,298606872558594
235, Aug;38,3827018737793;5,675857067108154;0;0;0;0;0;0;38,3827018737793
236, Aug;20,26335906982422;4,373300075531006;0;23,00104331970215;0;0;0;0;20,26335906982422
237, Aug;28,246063232421875;5,783336162567139;0;0;0;26,43549919;0;0;28,246063232421875
238, Aug;75,74920654296875;8,487420082092285;0;0;10,135369300842285;8,154330254;32,74256134;0;75,74920654296875
239, Aug;16,1019229888916;4,412382125854492;0;0;0;0;16,37128067;0;16,1019229888916
240, Aug;24,72723388671875;6,4327192306518555;0;20,20969009399414;5,4497199058532715;16,30866051;0;0;24,72723388671875
241, Aug;42,069618225097656;9,441583633422852;0;40,41938018798828;42,069618225097656;0;0;0;42,069618225097656
242, Aug;34,35283279418945;10,00306510925293;0;0;15,585088729858398;16,30866051;0;0;34,35283279418945
243, Aug;20,587427139282227;5,154080867767334;0;0;10,517404556274414;8,154330254;0;0;20,587427139282227
244, Sept;42,745147705078125;8,200011253356934;0;10,448566436767578;4,464742660522461;14,0582056;6,059161186;0;42,745147705078125
245, Sept;40,30455017089844;9,940826416015625;0;20,897132873535156;12,005889892578125;7,029102802;12,11832237;0;40,30455017089844
