"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,2059690237045288;0,020676252245903016;0;0;0,13533220291137696;0;0,059940064;0;0,2059690237045288
2, Jan;0,3092432260513306;0,017416192591190337;0;0,06899584531784057;0;0;0;0;0,3092432260513306
3, Jan;0,38325061798095705;0,033607059717178346;0;0,10398653745651246;0;0;0;0;0,38325061798095705
4, Jan;0,3045144557952881;0,028968578577041625;0;0,03607125878334046;0;0;0;0;0,3045144557952881
5, Jan;0,11705090999603271;0,008163095265626908;0;0;0;0;0;0;0,11705090999603271
6, Jan;0,22438447475433348;0,015254917740821838;0;0,002767740748822689;0;0,025663899;0;0;0,22438447475433348
7, Jan;0,1705840826034546;0,014076849818229676;0;0;0;0;0;0;0,1705840826034546
8, Jan;0,1979013204574585;0,01335022747516632;0;0,23946912288665773;0;0;0;0;0,1979013204574585
9, Jan;0,3557731628417969;0,04758155941963196;0;0,3462168455123901;0,12727718353271483;0;0;0;0,3557731628417969
10, Jan;0,2972164869308472;0,03565015196800232;0;0;0;0;0;0;0,2972164869308472
11, Jan;0,27753005027770994;0,03570461869239807;0;0;0;0,007779492;0;0;0,27753005027770994
12, Jan;0,3698100566864014;0,045661330223083496;0;0;0;0,175580966;0;0;0,3698100566864014
13, Jan;0,3637744903564453;0,02845267653465271;0;0;0;0;0;0;0,3637744903564453
14, Jan;0,14216413497924804;0,008493057638406753;0;0;0;0,006709015;0;0;0,14216413497924804
15, Jan;0,17042940855026245;0,012798464298248291;0;0;0,04286288619041443;0;0,074382364;0;0,17042940855026245
16, Jan;0,30391955375671387;0,01795039176940918;0;0;0,002446109429001808;0,29535298;0;0;0,30391955375671387
17, Jan;0,2163313865661621;0,02149289846420288;0;0;0;0,120551476;0;0;0,2163313865661621
18, Jan;0,3342008590698242;0,028210985660552978;0;0,014658313989639283;0;0,03002104;0;0;0,3342008590698242
19, Jan;0,044492986798286435;0,002224649302661419;0;0;0;0;0;0;0,044492986798286435
20, Jan;0,11372045278549195;0,006515116989612579;0;0;0;0;0;0;0,11372045278549195
21, Jan;0,14098076820373534;0,008866605162620545;0;0;0;0,004699754;0,02977292;0;0,14098076820373534
22, Jan;0,28464465141296386;0,027651876211166382;0;0;0,15777256488800048;0,004023889;0,262323001;0;0,28464465141296386
23, Jan;0,19877188205718993;0,015799950063228606;0;0;0;0,018887946;0,178129835;0;0,19877188205718993
24, Jan;0,2162332057952881;0,01518724262714386;0;0;0,17134143114089967;0;0;0;0,2162332057952881
25, Jan;0,42220096588134765;0,030803075432777403;0;0,010574142634868621;0;0;0;0;0,42220096588134765
26, Jan;0,10509651899337769;0,009088912606239319;0;0;0,08893811702728271;0;0;0;0,10509651899337769
27, Jan;0,20310621261596679;0,011253369599580764;0;0;0;0;0;0;0,20310621261596679
28, Jan;0,0161292165517807;0,000806460902094841;0;0;0;0;0;0;0,0161292165517807
29, Jan;0,07518386840820312;0,0037591934204101564;0;0;0;0,083026745;0;0;0,07518386840820312
30, Jan;0,11755378246307373;0,006892688572406769;0;0;0;0;0;0;0,11755378246307373
31, Jan;0,1887437582015991;0,014736521244049072;0;0;0,03682238459587097;0,054888921;0;0;0,1887437582015991
