"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,1342577879456268;0,013075394191961178;0;0;0,02941834789583053;0;0,052310166;0;0,1342577879456268
2, Jan;0,32331841567467;0,0200072115865247;0;0,052130386747162916;0;0;0;0;0,32331841567467
3, Jan;0,3439564321232938;0,029365007904754287;0;0,11238655002637842;0;0;0;0;0,3439564321232938
4, Jan;0,36705602448562097;0,04847995166120858;0;0,004058678944905599;0;0;0;0;0,36705602448562097
5, Jan;0,11958086079564588;0,007618038818753999;0;0,03393417665328102;0;0;0;0;0,11958086079564588
6, Jan;0,12588055928548178;0,008205464516562977;0;0,1796851322568696;0;0,000997443;0;0;0,12588055928548178
7, Jan;0,2451471789129849;0,014615504220984447;0;0,0015217291897740856;0;0;0;0;0,2451471789129849
8, Jan;0,33909069806679915;0,020571520958823718;0;0,22573381182791172;0;0;0;0;0,33909069806679915
9, Jan;0,4484517766141343;0,04440338310154005;0;0,20570715542497306;0,01845169889515844;0;0;0;0,4484517766141343
10, Jan;0,34365634260506467;0,034468346628649484;0;0;0,0049948493639628095;0;0;0;0,34365634260506467
11, Jan;0,3272546351641074;0,045741256626172996;0;0;0;0,002836372;0;0;0,3272546351641074
12, Jan;0,37219865294708604;0,042676407715369916;0;0;0;0,219322723;0;0;0,37219865294708604
13, Jan;0,2777593327664781;0,01946720583685513;0;0;0;0;0;0;0,2777593327664781
14, Jan;0,21795145670572916;0,01814142999977901;0;0;0;0,011340228;0;0;0,21795145670572916
15, Jan;0,2117058984164534;0,01763464390546426;0;0;0,002372924281262803;0,004468846;0,008931806;0;0,2117058984164534
16, Jan;0,23984909057617188;0,013765961274333384;0;0,01141914417003763;0,01606344354563746;0,225435408;0;0;0,23984909057617188
17, Jan;0,217541486367412;0,020068320734747524;0;0;0;0,100213736;0;0;0,217541486367412
18, Jan;0,3619696518470501;0,050603965233112204;0;0;0;0,154674616;0;0;0,3619696518470501
19, Jan;0,01903980216760745;0,000951990056997058;0;0;0;0;0;0;0,01903980216760745
20, Jan;0,05846200592216404;0,003421286056781637;0;0;0;0;0;0;0,05846200592216404
21, Jan;0,08749356763116245;0,005561481947186349;0;0;0,0037867913300963655;0;0,008863952;0;0,08749356763116245
22, Jan;0,2188006872418283;0,01874442073120468;0;0;0,04374060137518521;0;0,106436526;0;0,2188006872418283
23, Jan;0,42882428224059355;0,03496076320779735;0;0;0;0,093963367;0,416288635;0;0,42882428224059355
24, Jan;0,4042934549265894;0,023468815047165442;0;0;0,40219326676993533;0;0;0;0,4042934549265894
25, Jan;0,4374989915168148;0,038971670742692616;0;0;0,02352158776645003;0;0;0;0,4374989915168148
26, Jan;0,06961448165192001;0,004082670842093983;0;0;0,027160877468942225;0;0;0;0,06961448165192001
27, Jan;0,3026937287429283;0,015314766730385265;0;0;0;0;0;0;0,3026937287429283
28, Jan;0,025132590326769597;0,001401616495916213;0;0;0;0;0;0;0,025132590326769597
29, Jan;0,06583722432454427;0,0033445892662837587;0;0;0;0,060043665;0;0;0,06583722432454427
30, Jan;0,10174972709568067;0,005402285134655306;0;0;0;0;0;0;0,10174972709568067
31, Jan;0,20918843938016343;0,020946458838451868;0;0;0,14976480637473621;0,058559991;0;0;0,20918843938016343
32, Feb;0,07930289739849923;0,005544219893970709;0;0;0,02962087762766871;0;0;0;0,07930289739849923
33, Feb;0,10214395632689026;0,006743801051172717;0;0;0;0;0,002821479;0;0,10214395632689026
34, Feb;0,10085643022909932;0,008298660146779028;0;0;0;0,002615222;0;0;0,10085643022909932
35, Feb;0,08232694932784157;0,0048346382448042945;0;0;0;0,023420083;0,004045239;0;0,08232694932784157
36, Feb;0,10153678367877829;0,008391206291900283;0;0;0;0,080157103;0,014689447;0;0,10153678367877829
37, Feb;0,09807188757534685;0,007706444153840515;0;0,013464149387403467;0;0,083379636;0;0;0,09807188757534685
38, Feb;0,11965571874859689;0,006429546865923652;0;0;0;0;0;0;0,11965571874859689
39, Feb;0,03138173859694909;0,0017890080638315487;0;0;0;0;0;0;0,03138173859694909
40, Feb;0,1418177067548379;0,013845535530441109;0;0;0;0,004092747;0,001521422;0;0,1418177067548379
41, Feb;0,0578430219628345;0,0037679363941324167;0;0;0;0,006529374;0;0;0,0578430219628345
42, Feb;0,06322021593992737;0,004595627729920135;0;0;0;0;0;0;0,06322021593992737
43, Feb;0,13231779515058145;0,01142490526725506;0;0,003833026379004292;0;0;0;0;0,13231779515058145
44, Feb;0,12320348586159191;0,010315257927467084;0;0,044428669173142005;0;0;0;0;0,12320348586159191
45, Feb;0,06746364461964574;0,005335604322367701;0;0,01652319814967013;0;0;0;0;0,06746364461964574
