"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,1502015951907996;0,010911158841065687;0;0;0,00444908816405017;0;0;0;0,1502015951907996
2, Jan;0,3375959300031566;0,02214524240204782;0;0,14361874744145556;0;0;0;0;0,3375959300031566
3, Jan;0,2923977013790246;0,02835205588677917;0;0,03816404968801171;0;0;0;0;0,2923977013790246
4, Jan;0,3484943659618647;0,034358949372262665;0;0;0;0;0;0;0,3484943659618647
5, Jan;0,22766897413465711;0,016146219137943153;0;0,013694198444636181;0;0;0;0;0,22766897413465711
6, Jan;0,1502514078159525;0,008687378180147422;0;0,24435347740096275;0;0;0;0;0,1502514078159525
7, Jan;0,26468754778004655;0,021664236531113133;0;0;0;0;0,00490605;0;0,26468754778004655
8, Jan;0,45076566753965436;0,02701870600382487;0;0,04631367596712979;0;0;0;0;0,45076566753965436
9, Jan;0,3895107230754814;0,044352772259953044;0;0,22022975574840198;0;0;0;0;0,3895107230754814
10, Jan;0,331526168669113;0,03884314527415266;0;0;0,020733438356958254;0;0;0;0,331526168669113
11, Jan;0,28669688677546956;0,04439905436352046;0;0;0;0,027587092;0;0;0,28669688677546956
12, Jan;0,24782858954535592;0,031195529783614957;0;0;0;0,053044391;0;0;0,24782858954535592
13, Jan;0,32753695863665955;0,02632659131830389;0;0;0;0;0;0;0,32753695863665955
14, Jan;0,1689191105389836;0,013570967346730859;0;0;0;0,009039628;0;0;0,1689191105389836
15, Jan;0,2792327187278054;0,024089013687287917;0;0;0,005473306082715892;0;0,00854665;0;0,2792327187278054
16, Jan;0,3131754518759371;0,020762934829249527;0;0,010234974851511945;0,10152771497013593;0,294898163;0;0;0,3131754518759371
17, Jan;0,09424038126011088;0,005822238295969337;0;0;0;0,077672373;0;0;0,09424038126011088
18, Jan;0,16210172633932093;0,013068362919971196;0;0;0;0,011586954;0;0;0,16210172633932093
19, Jan;0,003167745139863756;0,00015838726451902679;0;0;0;0;0;0;0,003167745139863756
20, Jan;0,02786712453822897;0,0017756085203151511;0;0;0;0;0,007877495;0;0,02786712453822897
21, Jan;0,2486768780332623;0,016757334121549974;0;0;0,0903581657794991;0;0,007884186;0;0,2486768780332623
22, Jan;0,2632789611816406;0,02967853257150361;0;0;0;0,095304813;0,209586928;0;0,2632789611816406
23, Jan;0,3616140346334438;0,027069626432476623;0;0;0;0,177572239;0,342797981;0;0,3616140346334438
24, Jan;0,21118112043900925;0,013563201885030728;0;0;0,1449413684883503;0;0;0;0,21118112043900925
25, Jan;0,37183815541893545;0,0375221281340628;0;0;0;0;0;0;0,37183815541893545
26, Jan;0,04310422955137311;0,002228950611268631;0;0;0,018510195944044325;0;0;0;0,04310422955137311
27, Jan;0,31632764411695075;0,018953853183322482;0;0;0;0;0;0;0,31632764411695075
28, Jan;0,018395776700491858;0,0009197888500762708;0;0;0;0;0;0;0,018395776700491858
29, Jan;0,06458631187978417;0,0032293152327489373;0;0;0;0,063739523;0;0;0,06458631187978417
30, Jan;0,10170182314786044;0,005446309995169592;0;0;0;0;0;0;0,10170182314786044
31, Jan;0,1826499014189749;0,01807718084316061;0;0;0,08727949315851385;0,08087448;0;0;0,1826499014189749
32, Feb;0,01375262424199268;0,0007331514298313796;0;0;0,00878607143055309;0;0;0;0,01375262424199268
33, Feb;0,05795385861637616;0,0044031980061771895;0;0;0;0;0;0;0,05795385861637616
34, Feb;0,08285140991210938;0,006246233829344162;0;0;0;0,006483086;0;0;0,08285140991210938
35, Feb;0,01396889156765408;0,0006984445934343819;0;0;0;0,001695131;0,009702548;0;0,01396889156765408
36, Feb;0,06137269915956439;0,003881341580188636;0;0;0;0,046384843;0;0;0,06137269915956439
37, Feb;0,09839285262907395;0,007977901083050352;0;0,001749554667809997;0;0,085628094;0;0;0,09839285262907395
38, Feb;0,06389981568461717;0,004263107222740097;0;0;0;0;0;0;0,06389981568461717
39, Feb;0,06192939931696111;0,003692756397555573;0;0;0;0;0;0;0,06192939931696111
40, Feb;0,0833989538327612;0,007750858562161224;0;0;0;0;0;0;0,0833989538327612
41, Feb;0,06288606470281427;0,005061799829656427;0;0;0;0,000709337;0;0;0,06288606470281427
42, Feb;0,031046640993368745;0,0020052433917016692;0;0;0;0;0;0;0,031046640993368745
43, Feb;0,09341655114684443;0,009652983660649771;0;0,007120789903582949;0;0;0;0;0,09341655114684443
44, Feb;0,05837901914962614;0,0033096908920943135;0;0,052413034920740606;0;0;0;0;0,05837901914962614
45, Feb;0,0466137221365264;0,0033023953437805176;0;0,009056243029507723;0;0;0;0;0,0466137221365264
46, Feb;0,011183552067689222;0,000666185159875889;0;0,002009494136078189;0;0,001562075;0,002026094;0;0,011183552067689222
47, Feb;0,09485058832650232;0,010065042009257306;0;0;0;0;0,045475732;0;0,09485058832650232
48, Feb;0,04301097176291726;0,0023527277840508353;0;0;0,0010199826775175152;0,00491659;0,047992741;0;0,04301097176291726
49, Feb;0,03415199241252861;0,0018469885443196151;0;0,00013859221956344565;0,01597037459864761;0;0;0;0,03415199241252861
50, Feb;0,008131911658277416;0,0004065956054913877;0;0;0;0;0;0;0,008131911658277416
51, Feb;0,06810696919759114;0,004427091039792456;0;0;0;0;0;0;0,06810696919759114
52, Feb;0;0;0;0;0;0;0;0;0
53, Feb;0,0373453251039139;0,0018672661648856269;0;0;0;0;0;0;0,0373453251039139
54, Feb;0,010733262457028783;0,0005366631379031171;0;0;0;0;0;0;0,010733262457028783
55, Feb;0;0;0;0;0;0;0;0;0
56, Feb;0;0;0;0;0;0;0;0;0
57, Feb;0,003254381695179024;0,0001627190809960317;0;0;0;0;0;0;0,003254381695179024
58, Feb;0,007864212748980281;0,00039321059981981915;0;0;0;0;0;0;0,007864212748980281
59, Feb;0,00015844747123092113;0,00000792237367913729;0;0,000657936990863145;0;0;0;0;0,00015844747123092113
60, Mar;0,011012162825073859;0,0005506081788828878;0;0;0;0;0;0;0,011012162825073859
61, Mar;0,002876283544482607;0,00014381417346121084;0;0;0;0;0;0;0,002876283544482607
62, Mar;0;0;0;0,0000124658773079364;0;0;0;0;0
