"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,18927461673051882;0,020328242045182448;0;0;0,09996445973714192;0;0,122195339;0;0,18927461673051882
2, Jan;0,37265870510003507;0,0203778896576319;0;0,15014491937099358;0;0;0;0;0,37265870510003507
3, Jan;0,4294596451979417;0,03605020351898976;0;0,06943535193418846;0;0;0;0;0,4294596451979417
4, Jan;0,2712892874693259;0,023944845566382773;0;0,009854016395715566;0;0;0;0;0,2712892874693259
5, Jan;0,13335287876618215;0,007530305630121476;0;0;0;0;0;0;0,13335287876618215
6, Jan;0,29186517764360476;0,02162021245711889;0;0,07276224478697166;0;0;0;0;0,29186517764360476
7, Jan;0,3395329010792268;0,033165295918782554;0;0;0;0;0;0;0,3395329010792268
8, Jan;0,3355905581743289;0,02802121027922019;0;0,3575717974931766;0;0;0;0;0,3355905581743289
9, Jan;0,37836167751214445;0,03715921059632913;0;0,22100130716959634;0,08174575903476813;0;0;0;0,37836167751214445
10, Jan;0,36195965302296174;0,043132311258560575;0;0;0;0;0;0;0,36195965302296174
11, Jan;0,3914042741824419;0,049599647521972656;0;0;0;0;0;0;0,3914042741824419
12, Jan;0,3820540599333934;0,038948496182759605;0;0;0;0,127430473;0;0;0,3820540599333934
13, Jan;0,38924263685177535;0,022715383615249243;0;0;0;0;0;0;0,38924263685177535
14, Jan;0,3060862223307292;0,019396534332862266;0;0;0;0;0;0;0,3060862223307292
15, Jan;0,14842722966120794;0,011482969308510805;0;0;0,002458296143091642;0,001924331;0,053325959;0;0,14842722966120794
16, Jan;0,32953064258282;0,017473508150149614;0;0;0,011457530351785513;0,324225922;0;0;0,32953064258282
17, Jan;0,268215081630609;0,023055097995660245;0;0;0;0,110251593;0;0;0,268215081630609
18, Jan;0,49542842767177486;0,04205476932036571;0;0,005112101252262409;0;0,016258024;0;0;0,49542842767177486
19, Jan;0,044579530373597756;0,0022289764422636768;0;0;0;0;0;0;0,044579530373597756
20, Jan;0,03200369309156369;0,00160018469278629;0;0;0;0;0;0;0,03200369309156369
21, Jan;0,09225913194509652;0,0050245916996246726;0;0;0;0;0,004631155;0;0,09225913194509652
22, Jan;0,20050466977632964;0,020224843269739397;0;0;0,12895359137119392;0,020935215;0,049543912;0;0,20050466977632964
23, Jan;0,4221044198060647;0,029226657671806138;0;0;0;0,113682762;0,414411286;0;0,4221044198060647
24, Jan;0,32979476146208936;0,018491714428632688;0;0;0,32726432115603715;0;0;0;0,32979476146208936
25, Jan;0,5833547543256711;0,06359078333928035;0;0;0,012529279941167587;0;0;0;0,5833547543256711
26, Jan;0,1308734844892453;0,008897938025303377;0;0;0,05708885804200784;0;0;0;0,1308734844892453
27, Jan;0,3904458314944536;0,025613492880112085;0;0;0;0;0;0;0,3904458314944536
28, Jan;0,031341247069529996;0,0017902209208561825;0;0;0;0;0;0;0,031341247069529996
29, Jan;0,07943026224772136;0,00397151326521849;0;0;0;0,075889966;0;0;0,07943026224772136
30, Jan;0,13895675463554186;0,00720205979469495;0;0;0;0;0;0;0,13895675463554186
31, Jan;0,1741206829364483;0,014630565276512733;0;0;0,0704037959759052;0,110962536;0;0;0,1741206829364483
32, Feb;0,05023022492726644;0,0032038684838857404;0;0;0;0;0;0;0,05023022492726644
33, Feb;0,07402259875566532;0,0050721363379405094;0;0;0;0;0;0;0,07402259875566532
34, Feb;0,07717978037320651;0,004582739793337309;0;0;0;0;0;0;0,07717978037320651
35, Feb;0,07441580601227589;0,0048293670018513995;0;0;0;0,055829888;0;0;0,07441580601227589
36, Feb;0,07528493343255459;0,007572552332511315;0;0;0;0,039440668;0,042752497;0;0,07528493343255459
37, Feb;0,1208640978886531;0,01027104411369715;0;0;0;0,06047768;0;0;0,1208640978886531
38, Feb;0,09292829953707181;0,005259626186811007;0;0;0;0;0;0;0,09292829953707181
39, Feb;0,0785223031655336;0,004419595003128052;0;0;0;0;0;0;0,0785223031655336
40, Feb;0,06215570523188664;0,004009361068407695;0;0;0;0;0;0;0,06215570523188664
41, Feb;0,05871454874674479;0,004500841865172753;0;0;0;0,008980416;0;0;0,05871454874674479
42, Feb;0,06639961095956656;0,004582323324985993;0;0;0;0;0;0;0,06639961095956656
