"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,016503217343390556;0,0012650717740760934;0;0;0,0039764663229480985;0;0;0;0,016503217343390556
2, Jan;0,02337303854539335;0,0020105211958146687;0;0,00784539447003979;0;0;0;0;0,02337303854539335
3, Jan;0,013834746344367587;0,0009448723173050306;0;0,01001921666511842;0,0039143416439370035;0;0,000846491;0;0,013834746344367587
4, Jan;0,02122941026268224;0,0018975412184604038;0;0,0006714891749175967;0;0;0;0;0,02122941026268224
5, Jan;0,019397447487592243;0,0018110961348787092;0;0;0;0;0;0;0,019397447487592243
6, Jan;0,008373133766947467;0,0005614892018684694;0;0,0031813832131672086;0;0;0;0;0,008373133766947467
7, Jan;0,01221654519980086;0,0012329241285816434;0;0;0;0;0,0000295087;0;0,01221654519980086
8, Jan;0,010097859238575339;0,0011757751267909091;0;0,007981797249321727;0;0;0;0;0,010097859238575339
9, Jan;0,012931832847814032;0,0013661400537873774;0;0,009858033853096897;0;0;0;0;0,012931832847814032
10, Jan;0,019530619079706546;0,00222765396475564;0;0;0,000012845917467747318;0;0;0;0,019530619079706546
11, Jan;0,005643034528363959;0,0007947455400718557;0;0;0;0;0;0;0,005643034528363959
12, Jan;0,008114529385393482;0,0008627294810278694;0;0;0;0;0;0;0,008114529385393482
13, Jan;0,004814523127977068;0,00032290739379467064;0;0;0;0;0;0;0,004814523127977068
14, Jan;0,002666303806049646;0,0001521033322150119;0;0;0;0;0;0;0,002666303806049646
15, Jan;0,0029943581976808508;0,00024353295393701266;0;0;0;0,001080554;0,0000774441;0;0,0029943581976808508
16, Jan;0,0033092713036910982;0,00019303036864355463;0;0;0,000029189113249742278;0,003081342;0;0;0,0033092713036910982
17, Jan;0,0038584869632757417;0,00021338135174993802;0;0;0;0;0;0;0,0038584869632757417
18, Jan;0,007858375746251063;0,0007455138129896233;0;0,0001367234534104969;0;0;0;0;0,007858375746251063
19, Jan;0,0009977426629221462;0,000049887139556740715;0;0;0;0;0;0;0,0009977426629221462
20, Jan;0,0005189342776858327;0,00002594671103512124;0;0;0;0;0;0;0,0005189342776858327
21, Jan;0,01195950353122806;0,001000482767079574;0;0;0,00008921162091751171;0,004791865;0,0000135133;0;0,01195950353122806
22, Jan;0,008283167450651384;0,0008716077239290022;0;0;0,0015517065219623864;0,000163881;0,004891486;0;0,008283167450651384
23, Jan;0,010312227172559807;0,000683508514218303;0;0;0;0,000919967;0,008675982;0;0,010312227172559807
24, Jan;0,006560250860327289;0,0004407598229256916;0;0;0,003094226634753138;0;0,00071508;0;0,006560250860327289
25, Jan;0,013488815117976406;0,0014231341746751482;0;0;0,0011296126400307533;0;0;0;0,013488815117976406
26, Jan;0,02645887517108516;0,001564524483726312;0;0;0,0005615453875087643;0;0;0;0,02645887517108516
27, Jan;0,018782126971914025;0,0012567214254667382;0;0;0;0;0;0;0,018782126971914025
28, Jan;0,008752834728525428;0,0005083054475073149;0;0;0;0;0;0;0,008752834728525428
29, Jan;0,008977537173386058;0,0005095460902664448;0;0;0;0,001577417;0,0000041924;0;0,008977537173386058
30, Jan;0,0001437962625040379;0,00000718981339231162;0;0;0;0;0;0;0,0001437962625040379
31, Jan;0,022819447927675558;0,0015961034348088514;0;0;0,0023473243640440146;0,017613107;0;0;0,022819447927675558
32, Feb;0,08671617963801834;0,005710826093334541;0;0;0,011754475405749582;0,001727006;0;0;0,08671617963801834
33, Feb;0,14014008852081591;0,01171780270782529;0;0;0;0;0;0;0,14014008852081591
34, Feb;0,01450168106341681;0,0007272371256556612;0;0,026428510764360882;0;0;0;0;0,01450168106341681
35, Feb;0,01732163401908218;0,0009694423092027011;0;0;0;0,00220982;0;0;0,01732163401908218
36, Feb;0,15058432117702855;0,009918342356927993;0;0,003480956841609218;0;0,142704489;0;0;0,15058432117702855
37, Feb;0,11469761135473307;0,007575553416294076;0;0,0076299196903381935;0;0,060408997;0;0;0,11469761135473307
38, Feb;0,055901572991511564;0,003114849841845423;0;0;0;0,02270056;0;0;0,055901572991511564
39, Feb;0,1433332745933168;0,01074355966046481;0;0;0;0;0;0;0,1433332745933168
40, Feb;0,1026951076879556;0,0061323902575053406;0;0;0;0;0;0;0,1026951076879556
41, Feb;0,14117692761393852;0,011698599755194173;0;0;0;0,000993885;0;0;0,14117692761393852
42, Feb;0,09596539820129511;0,006026153582687816;0;0;0;0;0;0;0,09596539820129511
43, Feb;0,15562943701078513;0,010898967545985265;0;0,0007838394856133835;0;0;0;0;0,15562943701078513
