"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,10574331283569335;0,009023261070251466;0;0;0;0;0;0;0,10574331283569335
2, Jan;0,12375909487406413;0,009482701619466146;0;0;0;0;0;0;0,12375909487406413
3, Jan;0,09874451955159505;0,007619599501291911;0;0,060420870780944824;0;0;0;0;0,09874451955159505
4, Jan;0,10456369717915853;0,009814367691675822;0;0;0;0;0;0;0,10456369717915853
5, Jan;0,0990155061086019;0,007315931717554728;0;0;0;0;0;0;0,0990155061086019
6, Jan;0,02726483146349589;0,0013913134733835855;0;0;0;0;0;0;0,02726483146349589
7, Jan;0,08464913368225098;0,008227451145648957;0;0,0032836936414241793;0;0;0,01029;0;0,08464913368225098
8, Jan;0,06746496359507242;0,007973938683668772;0;0,041551462809244794;0;0;0;0;0,06746496359507242
9, Jan;0,11753740310668945;0,011333576838175456;0;0,06959961255391439;0;0;0;0;0,11753740310668945
10, Jan;0,07799059549967448;0,010736960172653198;0;0;0;0;0;0;0,07799059549967448
11, Jan;0,03272071083386739;0,004881238440672556;0;0;0;0;0;0;0,03272071083386739
12, Jan;0,013402994473775227;0,001128678023815155;0;0;0;0;0;0;0,013402994473775227
13, Jan;0,01811770995457967;0,001249548296133677;0;0;0;0;0;0;0,01811770995457967
14, Jan;0,010502491394678752;0,0006158376112580299;0;0;0;0;0;0;0,010502491394678752
15, Jan;0,02807116707166036;0,0024959248801072437;0;0;0;0;0;0;0,02807116707166036
16, Jan;0,00705497165520986;0,00035274860759576163;0;0;0,00705497165520986;0;0;0;0,00705497165520986
17, Jan;0,00842013955116272;0,0005186954202751319;0;0;0;0,004407581;0,000663013;0;0,00842013955116272
18, Jan;0,009237312277158101;0,0005586478859186172;0;0;0;0,00455711;0;0;0,009237312277158101
19, Jan;0,005834904809792836;0,00035006326312820115;0;0;0;0;0;0;0,005834904809792836
20, Jan;0,0018763465185960134;0,00009727129557480415;0;0;0;0;0;0;0,0018763465185960134
21, Jan;0,010073653856913249;0,0006494563693801562;0;0;0,0019007351249456406;0;0;0;0,010073653856913249
