"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,14813934884420255;0,009881161335037976;0;0;0,044236125015630956;0;0,058429915;0;0,14813934884420255
2, Jan;0,36130249209520293;0,021724981505696368;0;0,09105114820526868;0;0;0;0;0,36130249209520293
3, Jan;0,3385320989097037;0,02717411227342559;0;0,03853137900189656;0,00554841284344836;0;0;0;0,3385320989097037
4, Jan;0,33774603866949315;0,041267345591289244;0;0;0;0;0;0;0,33774603866949315
5, Jan;0,24658091475323932;0,016034238222168713;0;0,0040157113860293135;0;0;0;0;0,24658091475323932
6, Jan;0,1431214634965106;0,010805924491184513;0;0,19304161536984327;0;0;0;0;0,1431214634965106
7, Jan;0,35438437578154774;0,034894152385432545;0;0,04386509337076327;0;0;0;0;0,35438437578154774
8, Jan;0,42567118202767723;0,027401639194023317;0;0,201807464041361;0;0;0;0;0,42567118202767723
9, Jan;0,4012078541081126;0,03558500801644674;0;0,25996573378400106;0,06139672674783846;0;0;0;0,4012078541081126
10, Jan;0,3460207218077125;0,04294466972351074;0;0;0;0;0;0;0,3460207218077125
11, Jan;0,32322890584061786;0,0527751038714153;0;0;0;0,007135702;0;0;0,32322890584061786
12, Jan;0,3393170193928044;0,03658763083016;0;0;0;0,086279707;0;0;0,3393170193928044
13, Jan;0,3949222099490282;0,02417859798524438;0;0;0;0;0;0;0,3949222099490282
14, Jan;0,247827460126179;0,01722437579457353;0;0;0;0;0;0;0,247827460126179
15, Jan;0,2027395760140768;0,01378178596496582;0;0;0;0,003326892;0,013208254;0;0,2027395760140768
16, Jan;0,2930346000485304;0,015157205302540848;0;0,005304041795614289;0,010109487830138788;0,294381425;0;0;0,2930346000485304
17, Jan;0,19594713536704458;0,015122977698721536;0;0;0;0,10777118;0;0;0,19594713536704458
18, Jan;0,3282001309278535;0,029090235872966486;0;0,003799696521061223;0;0,01446179;0;0;0,3282001309278535
19, Jan;0;0;0;0;0;0;0;0;0
20, Jan;0,08352988522227217;0,004476514167901947;0;0;0;0;0;0;0,08352988522227217
21, Jan;0,15156742421592154;0,008091842255941251;0;0;0;0;0;0;0,15156742421592154
22, Jan;0,16333530007339106;0,01244244924405726;0;0;0,0644389361869998;0,007076514;0,004423127;0;0,16333530007339106
23, Jan;0,5509329074766578;0,0372305468815129;0;0;0;0,185981393;0,552984451;0;0,5509329074766578
24, Jan;0,30409859447944454;0,016405803401295733;0;0;0,30409859447944454;0;0;0;0,30409859447944454
25, Jan;0,4571998410108613;0,059964680090183166;0;0;0,05102704210979182;0;0;0;0,4571998410108613
26, Jan;0,09213853463893984;0,0048475876087095675;0;0;0,0767191561256967;0;0;0;0,09213853463893984
27, Jan;0,31121784303246475;0,01887949501595846;0;0;0;0;0;0;0,31121784303246475
28, Jan;0,04196667671203613;0,0020983339082903977;0;0;0;0;0;0;0,04196667671203613
29, Jan;0,018393417684043328;0,0009196708660300185;0;0;0;0,017787887;0;0;0,018393417684043328
30, Jan;0,07723822244783728;0,003894777559652561;0;0;0;0;0;0;0,07723822244783728
31, Jan;0,1474266866358315;0,016587966825903917;0;0;0,06938897691121916;0,102345065;0;0;0,1474266866358315
32, Feb;0,027746220914328972;0,0014893290836636612;0;0;0;0;0;0;0,027746220914328972
33, Feb;0,05959203766613472;0,0037724673748016357;0;0;0;0;0;0;0,05959203766613472
34, Feb;0,04837416148767239;0,002801289282193998;0;0;0;0;0;0;0,04837416148767239
35, Feb;0,05975559862648568;0,00399329967615081;0;0;0;0,039321264;0;0;0,05975559862648568
36, Feb;0,05257306447843226;0,004186839228723108;0;0;0;0,036552355;0;0;0,05257306447843226
37, Feb;0,08221401819368689;0,006562861000619284;0;0;0;0,043251647;0;0;0,08221401819368689
38, Feb;0,07041313008564275;0,003671284492422895;0;0;0;0;0;0;0,07041313008564275
39, Feb;0,025436828776103693;0,0013851021848073819;0;0;0;0;0;0;0,025436828776103693
40, Feb;0,06534451391638779;0,005735203260328711;0;0;0;0;0,037757473;0;0,06534451391638779
41, Feb;0,065422122071429;0,006841413858460217;0;0;0;0,003118227;0;0;0,065422122071429
42, Feb;0,0397609763029145;0,002888569926343313;0;0;0;0;0;0;0,0397609763029145
43, Feb;0,06018809574406322;0,006213201255333133;0;0;0;0;0;0;0,06018809574406322
44, Feb;0,04744377078079596;0,0030514365289269424;0;0,009301846347204068;0;0;0;0;0,04744377078079596
45, Feb;0,06466928342493569;0,007137951327533257;0;0,006771689508019424;0;0;0;0;0,06466928342493569
46, Feb;0,012990919555105814;0,0007042500485734242;0;0,015919763867448016;0;0;0,0013816;0;0,012990919555105814
47, Feb;0,05756485171434356;0,0050150770239713715;0;0;0;0;0,015379314;0;0,05756485171434356
48, Feb;0,016233287206510218;0,0010390110859056798;0;0;0,004546934148160423;0;0,016064474;0;0,016233287206510218
49, Feb;0,031938596469600025;0,001616517945033748;0;0;0,03051932265118855;0;0;0;0,031938596469600025
50, Feb;0,01552464031591648;0,000776232015795824;0;0;0;0;0,005920354;0;0,01552464031591648
51, Feb;0,046427069640741114;0,0029880070104831603;0;0;0;0;0,003962423;0;0,046427069640741114
52, Feb;0;0;0;0;0;0;0;0;0
53, Feb;0,008721722335350223;0,00043608611676751116;0;0;0;0;0;0;0,008721722335350223
54, Feb;0;0;0;0;0;0;0;0;0
55, Feb;0;0;0;0;0;0;0;0;0
56, Feb;0;0;0;0;0;0;0;0;0
57, Feb;0;0;0;0;0;0;0;0;0
58, Feb;0,002899419970628692;0,0001449709894453607;0;0;0;0;0;0;0,002899419970628692
59, Feb;0;0;0;0;0;0;0;0;0
60, Mar;0,00258741764033713;0,00016469976342305904;0;0;0,0009096108558701306;0;0;0;0,00258741764033713
61, Mar;0,0022180471114996003;0,00011090235784649849;0;0;0;0;0;0;0,0022180471114996003
62, Mar;0;0;0;0;0;0;0;0;0
63, Mar;0;0;0;0;0;0;0;0;0
64, Mar;0,0070806705370181945;0,00040278111289187175;0;0;0,0004010322253878524;0,000493082;0;0;0,0070806705370181945
65, Mar;0,00022042215597338792;0,000012423824689282876;0;0,00013293447427269888;0;0;0;0;0,00022042215597338792
66, Mar;0,001425125613445189;0,00008795204254367003;0;0;0;0;0;0;0,001425125613445189
67, Mar;0,0006227920331606051;0,00003462633765416174;0;0;0;0;0;0;0,0006227920331606051
68, Mar;0,0005387189548190047;0,00003112358518126534;0;0;0;0;0;0;0,0005387189548190047
69, Mar;0,0001562080550484541;0,0000078104026104528;0;0;0,0001562080550484541;0;0;0;0,0001562080550484541
70, Mar;0;0;0;0;0;0;0;0;0
71, Mar;0;0;0;0;0;0;0;0;0
72, Mar;0;0;0;0;0;0;0;0;0
73, Mar;0;0;0;0;0;0;0;0;0
74, Mar;0;0;0;0;0;0;0;0;0
75, Mar;0;0;0;0;0;0;0;0;0
76, Mar;0;0;0;0;0;0;0;0;0
77, Mar;0;0;0;0;0;0;0;0;0
78, Mar;0;0;0;0;0;0;0;0;0
79, Mar;0;0;0;0;0;0;0;0;0
80, Mar;0,0005972709779332323;0,00003190968106160077;0;0;0;0;0;0;0,0005972709779332323
81, Mar;0;0;0;0;0;0;0;0;0
82, Mar;0,0004933768111031229;0,00002466884112303577;0;0;0;0;0;0;0,0004933768111031229
83, Mar;0,0005761964201200299;0,00004052982393016175;0;0;0;0;0;0;0,0005761964201200299
84, Mar;0;0;0;0;0;0;0;0;0
85, Mar;0;0;0;0;0;0;0;0;0
86, Mar;0,0004357095898651495;0,000021785479209317666;0;0;0,0004357095898651495;0;0;0;0,0004357095898651495
87, Mar;0,0035112554707178254;0,0001755627553637435;0;0;0,0035112554707178254;0;0;0;0,0035112554707178254
88, Mar;0,0002283632028393629;0,00001141816028393805;0;0;0;0;0;0;0,0002283632028393629
89, Mar;0,0033369147922934555;0,0001668457464292282;0;0;0;0,003336915;0;0;0,0033369147922934555
90, Mar;0;0;0;0;0;0;0;0;0
91, Apr;0;0;0;0;0;0;0;0;0
92, Apr;0,005898467651227626;0,00029492337347530737;0;0;0;0;0;0;0,005898467651227626
93, Apr;0;0;0;0;0;0;0;0;0
94, Apr;0,035960621950103015;0,001798031170193742;0;0;0;0;0;0;0,035960621950103015
95, Apr;0,003741290511154547;0,00018706454372987514;0;0;0;0;0;0;0,003741290511154547
96, Apr;0;0;0;0;0;0;0;0;0
97, Apr;0;0;0;0;0;0;0;0;0
98, Apr;0,021525731900843177;0,0010762867040750457;0;0,004202979730396736;0;0;0;0;0,021525731900843177
99, Apr;0,005863413578126489;0,0002931706698202505;0;0;0;0;0;0;0,005863413578126489
100, Apr;0;0;0;0;0;0;0;0;0
101, Apr;0,004190663012062631;0,0002095331551461685;0;0;0;0;0;0;0,004190663012062631
102, Apr;0,05173961127676615;0,002832718920416948;0;0;0;0;0;0;0,05173961127676615
103, Apr;0,04028845705637118;0,00201442292550715;0;0,002763301679273931;0;0;0,039521691;0;0,04028845705637118
104, Apr;0,073110975870272;0,00375752478111081;0;0;0;0;0,017841683;0;0,073110975870272
105, Apr;0,0009094125977376612;0,000045470632158401536;0;0;0;0;0;0;0,0009094125977376612
106, Apr;0,07529945489836902;0,004012295385686363;0;0;0;0;0;0;0,07529945489836902
107, Apr;0;0;0;0;0;0;0;0;0
108, Apr;0,0030646516782481498;0,00015323259299848137;0;0;0;0;0;0;0,0030646516782481498
109, Apr;0,05106572988556653;0,0030681679888469415;0;0,005682711921087126;0;0;0;0;0,05106572988556653
110, Apr;0,006292168687029582;0,00031460839800718355;0;0;0;0;0;0;0,006292168687029582
111, Apr;0,00739315951742777;0,0003696579667853146;0;0;0;0;0;0;0,00739315951742777
112, Apr;0,03780257992628144;0,0018901288872811852;0;0;0;0;0;0;0,03780257992628144
113, Apr;0,03825931142016155;0,0019129656436966686;0;0;0;0;0;0;0,03825931142016155
114, Apr;0;0;0;0;0;0;0;0;0
115, Apr;0,000426138410481011;0,00002130691995617093;0;0;0;0;0;0;0,000426138410481011
116, Apr;0,0017253069615945583;0,00008626535489428334;0;0;0;0;0;0;0,0017253069615945583
117, Apr;0,031019571350841987;0,0015509784585092125;0;0;0;0;0;0;0,031019571350841987
118, Apr;0;0;0;0;0;0;0;0;0
119, Apr;0;0;0;0;0;0;0;0;0
120, Apr;0,00428892781094807;0,00021444638146132956;0;0;0;0;0;0;0,00428892781094807
121, May;0;0;0;0;0;0;0;0;0
122, May;0;0;0;0;0;0;0;0;0
123, May;0;0;0;0;0;0;0;0;0
124, May;0;0;0;0;0;0;0;0;0
125, May;0;0;0;0;0;0;0;0;0
126, May;0;0;0;0;0;0;0;0;0
127, May;0;0;0;0;0;0;0;0;0
128, May;0;0;0;0;0;0;0;0;0
129, May;0;0;0;0;0;0;0;0;0
130, May;0;0;0;0;0;0;0;0;0
131, May;0;0;0;0;0;0;0;0;0
132, May;0;0;0;0;0;0;0;0;0
133, May;0;0;0;0;0;0;0;0;0
134, May;0;0;0;0;0;0;0;0;0
135, May;0;0;0;0;0;0;0;0;0
136, May;0;0;0;0;0;0;0;0;0
137, May;0;0;0;0;0;0;0;0;0
138, May;0;0;0;0;0;0;0;0;0
139, May;0;0;0;0;0;0;0;0;0
140, May;0;0;0;0;0;0;0;0;0
141, May;0,4989666357273009;0,03645171188726658;0;0;0;0;0,082142511;0;0,4989666357273009
142, May;0,5614781263397961;0,050034534640428494;0;0;0;0;0,168378514;0;0,5614781263397961
143, May;0,1771830349433713;0,01127471429545705;0;0,03149155291115365;0;0;0,152299222;0;0,1771830349433713
144, May;0,4529937185892245;0,029274675904250726;0;0;0;0;0,091125941;0;0,4529937185892245
145, May;0,4841653777331841;0,026971532077324098;0;0,011843216855351517;0;0;0,052874248;0;0,4841653777331841
146, May;0,055569875531080296;0,0027784937765540146;0;0,5445218900354897;0;0;0;0;0,055569875531080296
147, May;1,6458801641696836;0,08699148457224776;0;0,012959029616379156;1,6441572235851754;0;0;0;1,6458801641696836
