"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,22559077240699946;0,018926753554233285;0;0;0,012246104173882062;0;0,007428214;0;0,22559077240699946
2, Jan;0,32269814957019893;0,02252307326294655;0;0,053674858669902;0;0;0;0;0,32269814957019893
3, Jan;0,3128621744555096;0,02384153909461443;0;0,004675319028455157;0,0016708169565644376;0;0;0;0,3128621744555096
4, Jan;0,3491774714270303;0,031007641969725143;0;0,014317342015199883;0;0;0;0;0,3491774714270303
5, Jan;0,2547921247260515;0,01621518855871156;0;0;0;0;0;0;0,2547921247260515
6, Jan;0,1492738501970158;0,00997190558633139;0;0,17736874070278433;0;0;0;0;0,1492738501970158
7, Jan;0,2786216292270394;0,028690745664197347;0;0,004894800657449767;0;0;0,001326562;0;0,2786216292270394
8, Jan;0,29962610643963483;0,019754688407099524;0;0,061978035194929254;0,0049283878747806995;0;0;0;0,29962610643963483
9, Jan;0,3260749107183412;0,032924258431722954;0;0,3996895191281341;0,0013242580516393794;0;0;0;0,3260749107183412
10, Jan;0,25515844655591385;0,03260097392769747;0;0;0;0;0;0;0,25515844655591385
11, Jan;0,2961999981902366;0,04878044128417969;0;0;0;0,03407516;0;0;0,2961999981902366
12, Jan;0,3101512775864712;0,03174384804659112;0;0;0;0,028515261;0;0;0,3101512775864712
13, Jan;0,27893603125283883;0,022486937600512836;0;0;0;0;0;0;0,27893603125283883
14, Jan;0,1241469050562659;0,007924561583718587;0;0;0;0;0;0;0,1241469050562659
15, Jan;0,26097222261650616;0,017597737700440163;0;0;0,04348741021267204;0,018812086;0,04124508;0;0,26097222261650616
16, Jan;0,17008375567059184;0,008875528047251146;0;0;0,03349149227142334;0,141461276;0;0;0,17008375567059184
17, Jan;0,07251852612162746;0,004648947438528371;0;0;0;0,033431112;0;0;0,07251852612162746
18, Jan;0,23695719519326852;0,018585217553515766;0;0;0;0,002330347;0;0;0,23695719519326852
19, Jan;0,01166138260863548;0,0005830691390952399;0;0;0;0;0;0;0,01166138260863548
20, Jan;0,07038655391959257;0,003621421927629515;0;0;0;0;0,003756924;0;0,07038655391959257
21, Jan;0,18941739548084346;0,01204721872196641;0;0;0,011891783669937489;0;0,009616545;0;0,18941739548084346
22, Jan;0,18390295117400413;0,018013757328654446;0;0;0,047026578770127406;0,087159887;0,088189328;0;0,18390295117400413
23, Jan;0,38039052209188773;0,02757720614588538;0;0;0;0,152783895;0,37101737;0;0,38039052209188773
24, Jan;0,22976278704266215;0,01365302329839662;0;0;0,224754111711369;0;0;0;0,22976278704266215
25, Jan;0,39282936273619184;0,04192870162254156;0;0;0,09332993973133176;0;0;0;0,39282936273619184
26, Jan;0,050158323243606924;0,002879879155824351;0;0;0,005926311016082764;0;0;0;0,050158323243606924
27, Jan;0,32421234042145486;0,020403845365657362;0;0;0;0;0;0;0,32421234042145486
28, Jan;0,041931268780730495;0,0021462114744408185;0;0;0;0;0;0;0,041931268780730495
29, Jan;0,09024453717608784;0,004857916471570037;0;0;0;0,064142131;0,021045917;0;0,09024453717608784
30, Jan;0,08136252469794694;0,00409032265807307;0;0;0;0;0;0;0,08136252469794694
31, Jan;0,06780850610067678;0,00492043134778045;0;0;0,016953171685684557;0,027781535;0;0;0,06780850610067678
32, Feb;0,017299444176429927;0,0008935390343499738;0;0;0;0;0;0;0,017299444176429927
33, Feb;0,08182199611220249;0,005748690560806629;0;0;0;0;0,001294973;0;0,08182199611220249
34, Feb;0,06624368179676145;0,003964600174926048;0;0;0;0;0;0;0,06624368179676145
35, Feb;0,030282461365988087;0,001514123276222584;0;0;0;0,027466558;0;0;0,030282461365988087
36, Feb;0,055100357809732124;0,004222066249958304;0;0;0;0,040404715;0,001007495;0;0,055100357809732124
37, Feb;0,04631385692330294;0,003744805621546368;0;0;0;0,040847421;0;0;0,04631385692330294
38, Feb;0,06354080244552257;0,003985419522884281;0;0;0;0;0;0;0,06354080244552257
39, Feb;0,024754998295806175;0,0013345401994017667;0;0;0;0;0;0;0,024754998295806175
40, Feb;0,07529770496279695;0,007595237604407377;0;0;0;0;0,012367476;0;0,07529770496279695
41, Feb;0,06259112025416175;0,005407227679740551;0;0;0;0;0;0;0,06259112025416175
42, Feb;0,03675635470900425;0,002373702824115753;0;0;0;0;0;0;0,03675635470900425
43, Feb;0,06390312660572141;0,006579465644304143;0;0,003259589159211447;0;0;0;0;0,06390312660572141
