"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,09490180566365963;0,00786304001760955;0;0;0,07397499336267856;0;0,004198639;0;0,09490180566365963
2, Jan;0,08200158852555177;0,006321633216178063;0;0,029071861367807924;0;0;0,004693746;0;0,08200158852555177
3, Jan;0,06084863895630286;0,0038220154570274226;0;0,01783917996749626;0;0;0;0;0,06084863895630286
4, Jan;0,07230148063634488;0,007825344702591597;0;0,02740684358200224;0;0;0;0;0,07230148063634488
5, Jan;0,05156027601890438;0,0043677422079709495;0;0;0;0;0;0;0,05156027601890438
6, Jan;0,032742742658054866;0,0020635159495640118;0;0,000704822563889003;0;0,000307635;0;0;0,032742742658054866
7, Jan;0,06902860257491814;0,0066035675136956445;0;0,0002107863674069395;0;0;0,000952994;0;0,06902860257491814
8, Jan;0,05936562818269132;0,005445188028190789;0;0,02041543985750809;0;0;0;0;0,05936562818269132
9, Jan;0,06775320323780425;0,006482590543161524;0;0,06382771608459674;0,0004018825961418278;0;0;0;0,06775320323780425
10, Jan;0,10715468252452687;0,010752293929801916;0;0;0,0002556689108165577;0;0;0;0,10715468252452687
11, Jan;0,036204920350128275;0,006304946276220945;0;0;0;0;0;0;0,036204920350128275
12, Jan;0,03850723493217242;0,004039900531076362;0;0;0;0,0000438324;0,00234912;0;0,03850723493217242
13, Jan;0,023170469617686255;0,0017997193651230815;0;0;0;0;0;0;0,023170469617686255
14, Jan;0,024745906540269504;0,0015761260152256527;0;0;0;0;0;0;0,024745906540269504
15, Jan;0,024457903191594795;0,0018033046926995708;0;0;0,00004919672157406413;0,007764737;0,001399419;0;0,024457903191594795
16, Jan;0,021044931002575967;0,0013593101855551841;0;0;0,0009337673486262658;0,008978445;0;0;0,021044931002575967
17, Jan;0,026652030818926618;0,001814398435082766;0;0,0005784992239262798;0;0,007961822;0;0;0,026652030818926618
18, Jan;0,03150197145569049;0,0022803143699570458;0;0;0;0,001203517;0;0;0,03150197145569049
19, Jan;0,00237909992142479;0,000118954998530177;0;0;0;0;0;0;0,00237909992142479
20, Jan;0,007084934624901699;0,00035424670665571003;0;0;0;0;0;0;0,007084934624901699
21, Jan;0,04061257642487882;0,002985806945133524;0;0;0;0,000441576;0,000180832;0;0,04061257642487882
22, Jan;0,031752838159945146;0,0031441699947067614;0;0;0,009803757022316307;0;0,007204748;0;0,031752838159945146
23, Jan;0,0529610536279458;0,0031504221875282012;0;0;0;0;0,052227237;0;0,0529610536279458
24, Jan;0,026337592121791525;0,0019120335972348456;0;0;0,009765178850381681;0,000114963;0;0;0,026337592121791525
25, Jan;0,05695682311608846;0,005616479974375306;0;0;0,02439756991446215;0;0;0;0,05695682311608846
26, Jan;0,08670112559504241;0,007275630145183097;0;0;0,0024095911397398894;0;0,000336251;0;0,08670112559504241
27, Jan;0,056942351187022996;0,0034757950911820917;0;0;0;0;0;0;0,056942351187022996
28, Jan;0,05394873288598391;0,003243814797291268;0;0;0;0;0;0;0,05394873288598391
29, Jan;0,026619014173451038;0,0014577548299292134;0;0;0;0,017143181;0;0;0,026619014173451038
30, Jan;0,01689312717702129;0,0008662525970156831;0;0;0;0;0;0;0,01689312717702129
31, Jan;0,04670026672161845;0,0030985138203838084;0;0;0,006099512868195084;0,031464454;0;0;0,04670026672161845
32, Feb;0,262420654296875;0,022175143654196962;0;0;0,14711207525171463;0,002402066;0;0;0,262420654296875
33, Feb;0,2405543815184741;0,019623745392651448;0;0;0;0;0,002587641;0;0,2405543815184741
34, Feb;0,10355661096352556;0,005911420674213875;0;0,00886363951679897;0;0;0,001396453;0;0,10355661096352556
35, Feb;0,05686984675945622;0,00306763763081516;0;0;0;0;0,016629726;0;0,05686984675945622
36, Feb;0,26056361434483294;0,017944852117658054;0;0,01141685699865763;0;0,22389927;0,004524104;0;0,26056361434483294
37, Feb;0,3436830224770524;0,03009082303188815;0;0,0014025797151496309;0;0,319568288;0;0;0,3436830224770524
38, Feb;0,21069440432507605;0,012300752570526829;0;0;0;0;0;0;0,21069440432507605
39, Feb;0,14148577447771632;0,008361301012951941;0;0;0;0;0;0;0,14148577447771632
40, Feb;0,3933448917401506;0,029488283415438712;0;0;0;0;0;0;0,3933448917401506
41, Feb;0,26251923211730355;0,02377209490281914;0;0;0;0,026792424;0;0;0,26251923211730355
42, Feb;0,3375293492484014;0,031178927657627822;0;0;0;0;0;0;0,3375293492484014
43, Feb;0,4029899823783648;0,036462481659237704;0;0,043704511308827416;0;0;0;0;0,4029899823783648
44, Feb;0,25932604094149647;0,018869444088573897;0;0,11661048612185437;0;0;0;0;0,25932604094149647
45, Feb;0,4435549191515831;0,046390816716864555;0;0;0;0;0;0;0,4435549191515831
