"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,12901657135760197;0,0092387463225693;0;0;0,03249262981727475;0;0,010486301;0;0,12901657135760197
2, Jan;0,4367934055015689;0,031108688135616114;0;0,018089339381358663;0;0;0;0;0,4367934055015689
3, Jan;0,22238668848256596;0,016920697493631332;0;0,038182579103063365;0;0;0;0;0,22238668848256596
4, Jan;0,3808005911404969;0,0457238603810795;0;0;0;0;0;0;0,3808005911404969
5, Jan;0,24836571490178344;0,0166002414265617;0;0,024384070615299413;0;0;0;0;0,24836571490178344
6, Jan;0,09590913428634894;0,0053225482096437545;0;0,2691751073618404;0;0;0;0;0,09590913428634894
7, Jan;0,34792740618596313;0,03487473237709921;0;0;0;0;0;0;0,34792740618596313
8, Jan;0,3468197681864754;0,022135726741102875;0;0,1123152717215116;0,014859521975282763;0;0;0;0,3468197681864754
9, Jan;0,3456756091508709;0,027937111307363042;0;0,29788426883885116;0;0;0;0;0,3456756091508709
10, Jan;0,32292050220927254;0,034617083971617654;0;0;0;0;0;0;0,32292050220927254
11, Jan;0,26475449859118855;0,044694849702178456;0;0;0;0,035033329;0;0;0,26475449859118855
12, Jan;0,22713065538250032;0,025551524318632533;0;0;0;0,081278592;0;0;0,22713065538250032
13, Jan;0,4028022015681032;0,03245419166127189;0;0;0;0;0;0;0,4028022015681032
14, Jan;0,12511075129274463;0,011381708207677622;0;0;0;0,011107411;0;0;0,12511075129274463
15, Jan;0,2645482547947618;0,02039527306791212;0;0;0;0,000740293;0,005254954;0;0,2645482547947618
16, Jan;0,3409191819488025;0,01828486020447778;0;0,0014508731785367747;0,02025630630430628;0,341071999;0;0;0,3409191819488025
17, Jan;0,107276267692691;0,00698882634522485;0;0;0;0,064534986;0;0;0,107276267692691
18, Jan;0,2760909658963563;0,025946904401310155;0;0;0;0,021966387;0;0;0,2760909658963563
19, Jan;0,008736762844148229;0,0004368381361003782;0;0;0;0;0;0;0,008736762844148229
20, Jan;0,13207163576219902;0,007706676838827915;0;0;0;0;0,017097697;0;0,13207163576219902
21, Jan;0,15773521485875863;0,00882505784269239;0;0;0,0032903434800319984;0;0;0;0,15773521485875863
22, Jan;0,17778416930652055;0,01831356423800109;0;0;0,0037501688863410326;0,008175257;0,103449438;0;0,17778416930652055
23, Jan;0,4424113289254611;0,028572578899195938;0;0;0;0,115081295;0,442934188;0;0,4424113289254611
24, Jan;0,2212200164794922;0,01194165964595607;0;0;0,21078636607185738;0;0;0;0,2212200164794922
25, Jan;0,44764221691694417;0,04847446816866515;0;0;0,07609803559350185;0;0;0;0,44764221691694417
26, Jan;0,13714599609375;0,007923207810667694;0;0;0,030235681377473424;0;0;0;0,13714599609375
27, Jan;0,14336759535992732;0,008780684627470423;0;0;0;0;0;0;0,14336759535992732
28, Jan;0,02164725788304063;0,0010823629430082979;0;0;0;0;0;0;0,02164725788304063
29, Jan;0,04520904040727459;0,002260451922651197;0;0;0;0,044052638;0;0;0,04520904040727459
30, Jan;0,1412659942126665;0,007250324135921041;0;0;0;0;0;0;0,1412659942126665
31, Jan;0,13188799873727267;0,011613623040621399;0;0;0,039433448041071656;0,034853249;0;0;0,13188799873727267
32, Feb;0,015964013631226587;0,0008910060173175374;0;0;0,006605312961046813;0;0;0;0,015964013631226587
33, Feb;0,03397584743187076;0,0022669629972489154;0;0;0;0;0;0;0,03397584743187076
34, Feb;0,027158608202074396;0,0019551551000016633;0;0;0;0,002614123;0;0;0,027158608202074396
35, Feb;0,03218770613435839;0,0017746625865092043;0;0;0;0,003426733;0;0;0,03218770613435839
