"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,38128892156003996;0,038678161970531665;0;0;0,13943616852505517;0;0,002817607;0;0,38128892156003996
2, Jan;0,3273253113258886;0,02272814102755248;0;0,13665117744271083;0,03219544068547606;0;0,003077941;0;0,3273253113258886
3, Jan;0,40113085098849;0,029694127672501194;0;0,040547891427542414;0,008485588408608472;0;0;0;0,40113085098849
4, Jan;0,3814137000164003;0,04393510600082747;0;0,13083437562898825;0;0;0;0;0,3814137000164003
5, Jan;0,20633723717609434;0,01494943367615911;0;0;0;0,004162214;0;0;0,20633723717609434
6, Jan;0,2328291157729753;0,018387769014780758;0;0,012853525067103728;0;0,003385355;0;0;0,2328291157729753
7, Jan;0,3153450652843213;0,02771995449794158;0;0,015080380985755046;0;0;0;0;0,3153450652843213
8, Jan;0,1798146954019561;0,014458107584305392;0;0,2196850230675617;0;0;0;0;0,1798146954019561
9, Jan;0,2934642820867873;0,03209396537023646;0;0,39258575439453125;0,0735138390810435;0;0;0;0,2934642820867873
10, Jan;0,40475757977434695;0,0648462644970144;0;0,022881635272775896;0,005105052285521995;0;0;0;0,40475757977434695
11, Jan;0,31277617243410066;0,037185963783555355;0;0;0;0,001837821;0;0;0,31277617243410066
12, Jan;0,29098001145224534;0,027525004539780944;0;0;0;0,05397465;0;0;0,29098001145224534
13, Jan;0,35573700184130486;0,020542403213850414;0;0;0;0;0;0;0,35573700184130486
14, Jan;0,19611911919280772;0,011704475825069515;0;0;0;0,007720773;0,00777214;0;0,19611911919280772
15, Jan;0,16850124970647215;0,012289717907213983;0;0;0,01987759939586843;0,039872042;0,031419767;0;0,16850124970647215
16, Jan;0,17885155714195194;0,010446562111832713;0;0,009132576352767362;0,0009924328054180581;0,14964025;0;0;0,17885155714195194
17, Jan;0,25084607655765445;0,025679537358174798;0;0;0;0,172174364;0;0;0,25084607655765445
18, Jan;0,43312660974400646;0,04135233755330093;0;0,005460442932507464;0;0,092391275;0;0;0,43312660974400646
19, Jan;0,03642416000366211;0,001846118396475115;0;0;0;0;0;0;0,03642416000366211
20, Jan;0,2714803564639492;0,016947294919545414;0;0;0;0;0;0;0,2714803564639492
21, Jan;0,17925093556178434;0,012094901718256128;0;0;0;0,079108661;0,102461862;0;0,17925093556178434
22, Jan;0,3952622158836772;0,037392357833512864;0;0;0,11556601342354111;0,001867927;0,318373882;0;0,3952622158836772
23, Jan;0,37513403856117306;0,03279896728865063;0;0;0;0;0,351422475;0;0,37513403856117306
