"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,006813543548911426;0,0006001656914985231;0;0;0;0;0;0;0,006813543548911426
2, Jan;0,0038872261415735334;0,0002455025463656806;0;0;0;0;0;0;0,0038872261415735334
3, Jan;0,0030362682792761807;0,00017636520348393353;0;0,004675517778028234;0,0005526510686833459;0;0;0;0,0030362682792761807
4, Jan;0,004176219645487904;0,0002519318378278626;0;0;0;0;0;0;0,004176219645487904
5, Jan;0,005932820713059585;0,00045559232327047847;0;0;0;0;0;0;0,005932820713059585
6, Jan;0,001756354974574797;0,00009056425337627722;0;0;0;0;0;0;0,001756354974574797
7, Jan;0,0014348906253028838;0,00009294270733651173;0;0;0;0;0;0;0,0014348906253028838
8, Jan;0,0015926554223498562;0,00012197388663824024;0;0,000020095662817422923;0;0;0;0;0,0015926554223498562
9, Jan;0,0031442140816618958;0,0003351686850126209;0;0,0005642186546530335;0;0;0;0;0,0031442140816618958
10, Jan;0,0028022445834245805;0,0003445681840053444;0;0;0;0;0;0;0,0028022445834245805
11, Jan;0,0000556261946203371;0,0000027813096810531973;0;0;0;0;0;0;0,0000556261946203371
12, Jan;0,00006671450520533861;0,000007685771024118422;0;0;0;0;0;0;0,00006671450520533861
13, Jan;0,00003280959096077686;0,0000016404794980751854;0;0;0;0;0;0;0,00003280959096077686
14, Jan;0;0;0;0;0;0;0;0;0
15, Jan;0,00006936065245083984;0,000010505100800116174;0;0;0;0;0,0000356696;0;0,00006936065245083984
16, Jan;0,00006210256383910199;0,0000031051281419914424;0;0;0;0,0000621026;0;0;0,00006210256383910199
17, Jan;0,00004085629794730649;0,000006475670227197362;0;0;0;0;0;0;0,00004085629794730649
18, Jan;0,000034346740868726;0,000005519346338037258;0;0;0;0;0;0;0,000034346740868726
19, Jan;0,000030491547059475607;0,000001524577303010123;0;0;0;0;0;0;0,000030491547059475607
20, Jan;0,000056591576420953857;0,0000038904741470394215;0;0;0;0;0;0;0,000056591576420953857
21, Jan;0,0011007729518055405;0,00008425393137809033;0;0;0;0;4,49894e-7;0;0,0011007729518055405
22, Jan;0,0006242826772861727;0,00005356590923065791;0;0;0;0,0000690434;0,000131708;0;0,0006242826772861727
23, Jan;0,0005397864421549784;0,00004450775395135511;0;0;0;0,000270806;0,000325991;0;0,0005397864421549784
24, Jan;0,00022254420580270463;0,000014340908710281225;0;0;0;0;0,0000627481;0;0,00022254420580270463
25, Jan;0,00042520597768955476;0,00003275064383773333;0;0;0,00019658328125916837;0;0;0;0,00042520597768955476
26, Jan;0,0028322339057922363;0,000148291687597021;0;0;0;0;0;0;0,0028322339057922363
27, Jan;0,002244468410639292;0,0001861739408048949;0;0;0;0;0,001602343;0;0,002244468410639292
28, Jan;0,0014019360358111337;0,00007098452727682089;0;0;0;0;0;0;0,0014019360358111337
29, Jan;0,003711548997608889;0,00020245165272332057;0;0;0;0,001328813;0;0;0,003711548997608889
30, Jan;0,000051861932669074754;0,00000259309658349008;0;0;0;0;0,0000518619;0;0,000051861932669074754
31, Jan;0,0023590482355699007;0,00012303365178630075;0;0;0;0,001409321;0;0;0,0023590482355699007
32, Feb;0,02351006110850322;0,0011755032344949092;0;0;0,013105369944429193;0;0;0;0,02351006110850322
33, Feb;0,04272526835167357;0,003341502897729178;0;0;0;0;0;0;0,04272526835167357
