"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,05690735310047596;0,004084814776171435;0;0;0;0;0;0;0,05690735310047596
2, Jan;0,044210721780587964;0,0029479034312136537;0;0;0;0;0;0;0,044210721780587964
3, Jan;0,047694653004139394;0,0026117061172519717;0;0,024955725884652353;0;0;0;0;0,047694653004139394
4, Jan;0,06769665726670274;0,005227368694167954;0;0;0;0;0;0;0,06769665726670274
5, Jan;0,05739767916567691;0,004794952031728384;0;0;0;0;0;0;0,05739767916567691
6, Jan;0,014151581772812852;0,0007188473198864911;0;0;0;0;0;0;0,014151581772812852
7, Jan;0,028683026631673176;0,0028523553062129664;0;0,0008694532889503616;0;0;0,000664718;0;0,028683026631673176
8, Jan;0,04074729025900901;0,004454480635153281;0;0,023578643798828125;0;0;0;0;0,04074729025900901
9, Jan;0,062354195225346194;0,006464878181079487;0;0,042857316163209105;0,0017768964842633085;0;0;0;0,062354195225346194
10, Jan;0,0447697639465332;0,006368668766709062;0;0;0;0;0;0;0,0447697639465332
11, Jan;0,0009745901769345945;0,00017763644054129317;0;0;0;0;0;0;0,0009745901769345945
12, Jan;0,0008265400255048597;0,00007374942940366161;0;0;0;0;0;0;0,0008265400255048597
13, Jan;0,0007091127000413499;0,00005202376711610201;0;0;0;0;0;0;0,0007091127000413499
14, Jan;0,0007141954727001019;0,00004738887671280552;0;0;0;0;0;0;0,0007141954727001019
15, Jan;0,0010521464251183174;0,00011232105998305587;0;0;0;0;0,000535732;0;0,0010521464251183174
16, Jan;0,0001084321505717329;0,000005421607318829309;0;0;0,0001084321505717329;0;0;0;0,0001084321505717329
17, Jan;0,00006302787611881892;0,0000031513937010622776;0;0;0;0;0;0;0,00006302787611881892
18, Jan;0;0;0;0;0;0;0;0;0
19, Jan;0,000026937276292760094;0,0000013468637884183376;0;0;0;0;0;0;0,000026937276292760094
20, Jan;0;0;0;0;0;0;0;0;0
21, Jan;0,0012743070318892195;0,00011440118153889974;0;0;0,0010357080950393334;0;0;0;0,0012743070318892195
22, Jan;0,0015696875146917395;0,00017117536081387116;0;0;0;0,000689186;0,001125117;0;0,0015696875146917395
23, Jan;0,0005130652707439285;0,00003817999685132826;0;0;0;0,0000696093;0,000390683;0;0,0005130652707439285
24, Jan;0,00019569849377279883;0,000009784923849610595;0;0;0;0;0;0;0,00019569849377279883
25, Jan;0,0012058774093249896;0,00006892539661478352;0;0;0;0;0;0;0,0012058774093249896
26, Jan;0,004723697095303922;0,00025088652162938505;0;0;0,00008834054408309696;0;0;0;0,004723697095303922
27, Jan;0,00671780861175812;0,00040625767396377014;0;0;0;0;0;0;0,00671780861175812
28, Jan;0,001787471341657209;0,00009433077732184986;0;0;0;0,001374431;0;0;0,001787471341657209
29, Jan;0,00827343614251764;0,0004446527308171934;0;0;0,0007286162392513172;0,006950479;0;0;0,00827343614251764
30, Jan;0,005598475267221262;0,0002799237499365935;0;0;0;0;0;0;0,005598475267221262
31, Jan;0,003821087850106729;0,00021714171780659272;0;0;0;0,001742465;0;0;0,003821087850106729
32, Feb;0,10630625647467536;0,006149348911938367;0;0;0,03537818118258639;0;0;0;0,10630625647467536
33, Feb;0,10386630221530124;0,007262153668446584;0;0;0;0;0;0;0,10386630221530124
34, Feb;0,014084029842067409;0,0007687103640925777;0;0;0;0;0,000367538;0;0,014084029842067409
35, Feb;0,017214783677109727;0,0008607392644023036;0;0;0;0;0;0;0,017214783677109727
36, Feb;0,15509710225973045;0,009315419841457057;0;0,007314802290083052;0;0,128755373;0;0;0,15509710225973045
37, Feb;0,19357145154798353;0,01660540297224715;0;0;0;0,12639717;0;0;0,19357145154798353
38, Feb;0,1714906778421488;0,008641903464858597;0;0;0;0;0;0;0,1714906778421488
39, Feb;0,10612202549839879;0,007652585570876663;0;0;0;0;0;0;0,10612202549839879
40, Feb;0,05018140174247123;0,0028276599205292025;0;0;0;0;0;0;0,05018140174247123
41, Feb;0,1935196438351193;0,014377469415063257;0;0;0;0,001776173;0;0;0,1935196438351193
42, Feb;0,0686478314099011;0,0037498253959793227;0;0;0;0;0;0;0,0686478314099011
43, Feb;0,1368516543964008;0,007117189265586235;0;0;0;0;0;0;0,1368516543964008
44, Feb;0,12268654934994809;0,007031613642031008;0;0,029064249347996066;0;0;0;0;0,12268654934994809
45, Feb;0,2179040479230451;0,014775179527901314;0;0,00661539279662811;0;0;0;0;0,2179040479230451
46, Feb;0,09857114156087239;0,00642717475289697;0;0,0029446971309077634;0;0;0;0;0,09857114156087239
47, Feb;0,03039572689984296;0,0015197863449921479;0;0;0;0;0,027883682;0;0,03039572689984296
48, Feb;0,05927596221099029;0,003039236541266914;0;0;0,0015087694198161633;0;0,049432972;0;0,05927596221099029
49, Feb;0,11606584153733812;0,005803291862075393;0;0;0;0;0,092596474;0;0,11606584153733812
50, Feb;0,037576022448840445;0,001904408808227058;0;0;0;0;0;0;0,037576022448840445
51, Feb;0,1444907317290435;0,007456465884371921;0;0;0;0;0;0;0,1444907317290435
52, Feb;0,10309550998447177;0,005529347840730134;0;0;0;0;0;0;0,10309550998447177
53, Feb;0,05724092431970545;0,002862046162287394;0;0;0;0;0;0;0,05724092431970545
54, Feb;0,0861401686797271;0,004307008541382111;0;0;0;0;0;0;0,0861401686797271
55, Feb;0,021129552308503573;0,0010564776959719959;0;0;0;0;0,01938331;0;0,021129552308503573
56, Feb;0;0;0;0;0;0;0;0;0
57, Feb;0,0041527254087430935;0,00020763628721774162;0;0;0;0;0;0;0,0041527254087430935
58, Feb;0;0;0;0;0;0;0;0;0
59, Feb;0,0009317886721980465;0,000046589432770872975;0;0;0;0;0;0;0,0009317886721980465
60, Mar;0,005230804821392437;0,000262680186613186;0;0;0;0;0;0;0,005230804821392437
61, Mar;0,0009953308481353898;0,000049766543245798834;0;0;0;0;0;0;0,0009953308481353898
62, Mar;0;0;0;0;0;0;0;0;0
63, Mar;0,0008828411768148611;0,0000441420596797724;0;0;0;0,000809879;0;0;0,0008828411768148611
64, Mar;0,005352220556757471;0,00026761102783787356;0;0;0;0;0;0;0,005352220556757471
65, Mar;0,0006230740665315508;0,00004016993114271679;0;0;0,000186299452105084;0;0;0;0,0006230740665315508
66, Mar;0;0;0;0;0;0;0;0;0
67, Mar;0,000173488766089216;0,000008674438094703464;0;0,00013135826668223818;0;0;0;0;0,000173488766089216
68, Mar;0,000622489967861691;0,00003112449629551119;0;0;0;0;0;0;0,000622489967861691
69, Mar;0,00023630118786214708;0,000011815059183350018;0;0;0,00023630118786214708;0;0;0;0,00023630118786214708
70, Mar;0;0;0;0;0;0;0;0;0
71, Mar;0;0;0;0;0;0;0;0;0
72, Mar;0;0;0;0;0;0;0;0;0
73, Mar;0;0;0;0;0;0;0;0;0
74, Mar;0;0;0;0;0;0;0;0;0
75, Mar;0;0;0;0;0;0;0;0;0
76, Mar;0;0;0;0;0;0;0;0;0
77, Mar;0;0;0;0;0;0;0;0;0
78, Mar;0;0;0;0;0;0;0;0;0
79, Mar;0;0;0;0;0;0;0;0;0
80, Mar;0,0008566685625024744;0,00004283342980318241;0;0;0;0;0;0;0,0008566685625024744
81, Mar;0,0015668321300197291;0,00007834160482292777;0;0;0;0;0;0;0,0015668321300197291
82, Mar;0,0006898671120136707;0,00003449335224456615;0;0;0;0;0;0;0,0006898671120136707
83, Mar;0,0010136281316344802;0,0000506814082597827;0;0;0;0;0;0;0,0010136281316344802
84, Mar;0,0026098317928142374;0,0001304915829284771;0;0;0;0;0;0;0,0026098317928142374
85, Mar;0,0006386175885930792;0,00003193087901013929;0;0;0;0;0;0;0,0006386175885930792
86, Mar;0;0;0;0;0;0;0;0;0
87, Mar;0,008639720646110741;0,00043198600545659794;0;0;0;0;0;0;0,008639720646110741
88, Mar;0;0;0;0;0;0;0;0;0
89, Mar;0;0;0;0;0;0;0;0;0
90, Mar;0,030898291785437782;0,0015449146698187062;0;0;0;0;0;0;0,030898291785437782
91, Apr;0;0;0;0;0;0;0;0;0
92, Apr;0;0;0;0;0;0;0;0;0
93, Apr;0,00040258718906222165;0,000020129358614081735;0;0;0;0;0;0;0,00040258718906222165
94, Apr;0;0;0;0;0;0;0;0;0
95, Apr;0;0;0;0;0;0;0;0;0
96, Apr;0;0;0;0;0;0;0;0;0
97, Apr;0;0;0;0;0;0;0;0;0
98, Apr;0;0;0;0;0;0;0;0;0
99, Apr;0,0038607397057988622;0,00019303699200217788;0;0;0;0;0;0;0,0038607397057988622
100, Apr;0;0;0;0;0;0;0;0;0
101, Apr;0,00041759833022280855;0,000020879914413567063;0;0;0;0;0;0;0,00041759833022280855
102, Apr;0,0005345843262500591;0,00004408060917043471;0;0;0;0;0;0;0,0005345843262500591
103, Apr;0;0;0;0,007301930371705476;0;0;0;0;0
104, Apr;0,004946232379019797;0,00024731161895098986;0;0;0;0;0;0;0,004946232379019797
105, Apr;0,0005011121901842925;0,00002505561034824397;0;0;0;0;0;0;0,0005011121901842925
106, Apr;0,009105974489504152;0,000455298771460851;0;0;0;0;0;0;0,009105974489504152
107, Apr;0,041384563789711344;0,002069228135787689;0;0;0;0;0;0;0,041384563789711344
108, Apr;0,10256868654543215;0,006766963649440456;0;0;0;0,031043574;0,082713783;0;0,10256868654543215
109, Apr;0,07203723288871147;0,003718110892149779;0;0;0;0;0,004018142;0;0,07203723288871147
110, Apr;0;0;0;0;0;0;0;0;0
111, Apr;0,16328237722585867;0,008250888403471525;0;0,39791540197423986;0;0;0;0;0,16328237722585867
112, Apr;0,4142262226826436;0,02071131027496613;0;0,0053746072021690575;0;0;0;0;0,4142262226826436
113, Apr;0,7844203914607968;0,0480990710559192;0;0;0;0;0;0;0,7844203914607968
114, Apr;0,6102654396950662;0,036391034856572885;0;0;0;0;0;0;0,6102654396950662
115, Apr;0,6976547928543778;0,039438595642914645;0;0;0;0;0;0;0,6976547928543778
116, Apr;0,03074685302940575;0,0015373425977724092;0;0;0;0;0;0;0,03074685302940575
117, Apr;0,9490891877595369;0,051767469526411175;0;0;0;0;0;0;0,9490891877595369
118, Apr;0,03607212101017033;0,00180360594311276;0;0;0;0;0,033090953;0;0,03607212101017033
119, Apr;0,6124035259624859;0,032283310417656426;0;0;0;0;0;0;0,6124035259624859
120, Apr;0,06348096143018019;0,0031740482863005215;0;0;0;0;0;0;0,06348096143018019
121, May;0;0;0;0;0;0;0;0;0
122, May;0;0;0;0;0;0;0;0;0
123, May;0,6439897691881334;0,03861585823265282;0;0;0;0;0;0;0,6439897691881334
124, May;3,0601201787725225;0,16391651050464526;0;0;0;0;0;0;3,0601201787725225
125, May;0,11843444205619194;0,00592172199541384;0;0;0;0;0;0;0,11843444205619194
126, May;0,09255195308376003;0,004627597224604976;0;0;0;0;0;0;0,09255195308376003
127, May;2,9395199337521114;0,1469760069975982;0;0;0;0;0;0;2,9395199337521114
128, May;2,1006975603533222;0,10813352223989126;0;0,049622209222467094;0;0;0;0;2,1006975603533222
129, May;2,784641850102055;0,16307652104008305;0;1,5610337815843187;2,784641850102055;0;0;0;2,784641850102055
130, May;0,2442481925895622;0,012212408555520547;0;0;0;0;0;0;0,2442481925895622
131, May;3,6359555356137387;0,18179778365401533;0;0;0;0;0;0;3,6359555356137387
132, May;1,2433033161335163;0,06700303103472735;0;0;0;0,128019834;0;0;1,2433033161335163
133, May;0,3709901002076295;0,019756239813727303;0;0;0;0;0;0;0,3709901002076295
134, May;1,5376328476914414;0,12435102892351581;0;0,02376946243079933;0;0;0;0;1,5376328476914414
135, May;5,590174219629786;0,45231415344788145;0;0;0;0;0;0;5,590174219629786
136, May;1,832115242073128;0,1259378141111082;0;0;0;0;0;0;1,832115242073128
137, May;2,899715114284206;0,2421747843424479;0;0;0;1,184886517;0;0;2,899715114284206
138, May;4,591664907094595;0,30011890170810457;0;0;0;0,019438893;0,250625687;0;4,591664907094595
139, May;12,847706837697071;0,8316389204145552;0;0,7444124651384784;0;0,052535546;0;0;12,847706837697071
140, May;3,4395641979870497;0,21775283469810142;0;0,5287721651094454;0;0,145747906;0,00835758;0;3,4395641979870497
141, May;12,70164695945946;0,9525004893809825;0;0,08973637142696896;0;0;0,437967013;0;12,70164695945946
142, May;9,200397113422015;1,3938201354430602;0;0;0;0;0,021045145;0;9,200397113422015
143, May;4,6598400768933;0,4294949780713331;0;0;0;0;0,38911525;0;4,6598400768933
144, May;8,440530862894144;0,7913269867768159;0;0,04345003763834635;0;0;0,068117953;0;8,440530862894144
145, May;6,872417278117962;0,6592198277378941;0;0;0;0;0,095067801;0;6,872417278117962
146, May;6,190770604588964;0,49893270956503377;0;0;6,121223518440315;0;0;0;6,190770604588964
147, May;17,374175200591218;2,006313152141399;0;0;17,374175200591218;0,339277283;0;0;17,374175200591218
148, May;8,892446706960866;1,5121688155440596;0;0;5,981653161951013;0;0;0;8,892446706960866
149, May;11,746516047297296;0,9933044845993454;0;0;3,962912619650901;0;0;0;11,746516047297296
150, May;5,766644452069257;0,5451497602033185;0;0;0;0;0;0;5,766644452069257
151, May;7,996169631545608;1,5172119140625;0;9,650720544763514;6,088962314365147;0,043443873;5,047756897;0;7,996169631545608
152, Jun;13,23850999436937;1,7848234434385557;0;1,6182771974855714;2,395857527449324;0,053410003;6,964162736;0;13,23850999436937
153, Jun;21,08978656390766;3,33209888355152;0;0,1861743755168743;0;0;2,878436519;0;21,08978656390766
154, Jun;22,530902484515767;1,8907116039379224;0;0;0;0;0,000257162;0;22,530902484515767
155, Jun;10,134895393440315;0,9326617266680743;0;0;0;0;0,0000558597;0;10,134895393440315
156, Jun;11,856952289203265;0,7875726373346003;0;0;0;0;0;0;11,856952289203265
157, Jun;14,19996656813063;1,7655950322881475;0;0;0,20933587701471001;0;0,144947229;0;14,19996656813063
158, Jun;15,6740502709741;2,3889377353427648;0;0;0;0;2,768729884;0;15,6740502709741
159, Jun;30,31346996410473;5,434778161951013;0;0;1,4297595324817005;3,285964172;9,852629847;0;30,31346996410473
160, Jun;20,620255753800677;3,950096336570946;0;0;7,803801665434966;7,437546616;0;0;20,620255753800677
161, Jun;17,00223025760135;2,691341090846706;0;4,972574869791667;0;0;5,191535855;0;17,00223025760135
162, Jun;53,58204004786036;4,418031159821932;0;20,135566230292792;0,09351392694421716;11,54393748;47,90799764;0;53,58204004786036
163, Jun;17,60513992996903;4,215672398472692;0;7,67054762281813;0,72545541299356;0;0,333005804;0;17,60513992996903
164, Jun;16,953649572423988;4,5827009871199325;0;3,29635510143933;7,487082541525901;7,872348549;3,417425857;0;16,953649572423988
165, Jun;17,950606612471848;5,136191978110923;0;14,54881492820946;0,3893519221125422;5,556146165;0;0;17,950606612471848
166, Jun;31,93209811373874;4,055913976720862;0;17,173920502533782;31,718182538006758;2,850996695;1,169256538;0;31,93209811373874
167, Jun;12,907384923986486;1,8771744461746904;0;15,95338893581081;0,017899912756842537;0;0;0;12,907384923986486
168, Jun;8,965260548634571;2,062092686558629;0;0,4408490292660825;0,24611466210167687;0;0;0;8,965260548634571
169, Jun;17,288664396818692;2,437633617504223;0;16,30433228638795;2,309099626970721;0;0;0;17,288664396818692
170, Jun;19,267450556024773;3,35767261402027;0;12,601383243595158;2,048681860571509;0;6,193854746;0;19,267450556024773
171, Jun;14,84033423071509;3,8173212274774775;0;0;9,486211553350225;0,168915465;0;0;14,84033423071509
