"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,1199285858555844;0,008186451698604384;0;0;0,007596074750548915;0;0;0;0,1199285858555844
2, Jan;0,2417388213308234;0,01834603987242046;0;0,06746013540970652;0;0;0;0;0,2417388213308234
3, Jan;0,1325034593280993;0,008668654059108934;0;0,017915758647416766;0,022329184569810565;0;0;0;0,1325034593280993
4, Jan;0,24376312055085836;0,017423711324992933;0;0,004296455728380303;0;0;0;0;0,24376312055085836
5, Jan;0,12390165579946417;0,008987025210731909;0;0,008730450743123105;0;0;0;0;0,12390165579946417
6, Jan;0,1345081329345703;0,010709439453325774;0;0,07040841955887644;0;0;0;0;0,1345081329345703
7, Jan;0,17458706153066536;0,017608507683402615;0;0,0012881228406178323;0;0;0,000906409;0;0,17458706153066536
8, Jan;0,1635316296627647;0,01259126161274157;0;0,005828609199900376;0;0;0;0;0,1635316296627647
9, Jan;0,19780753788195157;0,022310468711351093;0;0,23896237423545436;0;0;0;0;0,19780753788195157
10, Jan;0,17462794404280813;0,020652742762314647;0;0;0;0;0;0;0,17462794404280813
11, Jan;0,1701928690860146;0,026738169946168597;0;0;0;0,014291833;0;0;0,1701928690860146
12, Jan;0,13018570448222913;0,014478677197506553;0;0;0;0,011717245;0,00555592;0;0,13018570448222913
13, Jan;0,12184115460044459;0,010911273328881515;0;0;0;0;0;0;0,12184115460044459
14, Jan;0,09997494597184031;0,008658880465909055;0;0,000018911976918676182;0;0;0;0;0,09997494597184031
15, Jan;0,08735126570651405;0,006076550013140628;0;0;0;0,035437645;0,019355847;0;0,08735126570651405
16, Jan;0,026562367614946868;0,0014546933142762434;0;0,0018783717563277797;0,005322997899431931;0,006113124;0;0;0,026562367614946868
17, Jan;0,08376252023797286;0,005616883698262666;0;0;0;0,033858063;0;0;0,08376252023797286
18, Jan;0,1220254898071289;0,012130016559048704;0;0;0;0;0;0;0,1220254898071289
19, Jan;0,010694662207051328;0,0005347331201559619;0;0;0;0;0;0;0,010694662207051328
20, Jan;0,018076617466775996;0,0009038309125523819;0;0;0;0;0,012727358;0;0,018076617466775996
21, Jan;0,08625672992907073;0,004893882494223745;0;0;0,0010265511901755083;0;0,005349342;0;0,08625672992907073
22, Jan;0,07904496945832905;0,006476133669677533;0;0;0,007528210156842282;0,022460007;0,011740383;0;0,07904496945832905
23, Jan;0,17710690749318977;0,013086513469093725;0;0;0;0,070657755;0,175306588;0;0,17710690749318977
24, Jan;0,08489664604789332;0,005852474978095607;0;0;0,040378068622789885;0;0;0;0,08489664604789332
25, Jan;0,18474287735788444;0,018463531607075742;0;0;0,011315797504625823;0;0;0;0,18474287735788444
26, Jan;0,06992825708891216;0,004533439090377406;0;0;0,035781339595192356;0;0;0;0,06992825708891216
27, Jan;0,07905776877152293;0,0048882365226745605;0;0;0;0;0;0;0,07905776877152293
28, Jan;0,02236856912311755;0,0011184284169422952;0;0;0;0;0;0;0,02236856912311755
29, Jan;0,026537035640917327;0,0016068576001807262;0;0;0;0,014772286;0,014252449;0;0,026537035640917327
30, Jan;0,05030022169414319;0,0025150109278528313;0;0;0;0;0;0;0,05030022169414319
31, Jan;0,1482329619558234;0,009343464907846953;0;0;0,09452739514802631;0,085071066;0;0;0,1482329619558234
32, Feb;0,09087877524526496;0,007264525482529088;0;0;0,057841865639937554;0,002572904;0;0;0,09087877524526496
33, Feb;0,03678920394495914;0,002069963044241855;0;0;0;0;0,009707244;0;0,03678920394495914
34, Feb;0,1127189837004009;0,005871375140390898;0;0;0;0;0;0;0,1127189837004009
35, Feb;0,020477936456077976;0,0010702106121339295;0;0;0;0;0,006273522;0;0,020477936456077976
36, Feb;0,12349772453308105;0,008474994646875482;0;0;0;0,103612355;0;0;0,12349772453308105
37, Feb;0,15654340543245016;0,012983813097602442;0;0;0;0,147067419;0;0;0,15654340543245016
38, Feb;0,11993020459225304;0,008530638719859877;0;0;0;0;0;0;0,11993020459225304
39, Feb;0,10051793801157098;0,00629374424093648;0;0;0;0;0;0;0,10051793801157098
40, Feb;0,16468208714535362;0,012481546715686196;0;0;0;0;0;0;0,16468208714535362
41, Feb;0,11162904689186498;0,00931628283701445;0;0;0;0,014484613;0;0;0,11162904689186498
42, Feb;0,0934076936621415;0,007435070840935958;0;0;0;0;0;0;0,0934076936621415
43, Feb;0,17433088704159386;0,016909574207506682;0;0,0072996820274152255;0;0;0;0;0,17433088704159386
44, Feb;0,08955332479978863;0,005960715836600254;0;0,09281299616161146;0;0;0;0;0,08955332479978863
45, Feb;0,18485390512566818;0,016818208129782426;0;0,0006195423928530593;0;0;0;0;0,18485390512566818
46, Feb;0,05052789261466578;0,0030369668414718227;0;0,03519303547708612;0;0;0;0;0,05052789261466578
47, Feb;0,15150161793357447;0,010620950083983572;0;0;0;0;0,063751822;0;0,15150161793357447
48, Feb;0,05162582585686132;0,003400887313642;0;0;0,0194223868219476;0;0,034084053;0;0,05162582585686132
49, Feb;0,028473615646362305;0,001423680762711324;0;0;0,02686532547599391;0;0;0;0,028473615646362305
50, Feb;0,016925683147028872;0,0008926475910763992;0;0;0;0;0;0;0,016925683147028872
51, Feb;0,12048978554575067;0,007653424614354184;0;0;0;0;0,0217877;0;0,12048978554575067
52, Feb;0,022887543628090305;0,0012603093330797396;0;0;0,0010254603663557454;0;0;0;0,022887543628090305
53, Feb;0,017968160541434037;0,0008984079682513288;0;0;0;0;0;0;0,017968160541434037
54, Feb;0,014047219565040186;0,0007023609880554048;0;0;0;0;0;0;0,014047219565040186
55, Feb;0,0007631638528485047;0,0000381581914170008;0;0;0;0;0,000768218;0;0,0007631638528485047
56, Feb;0;0;0;0;0;0;0;0;0
57, Feb;0;0;0;0;0;0;0;0;0
58, Feb;0,009599322551175168;0,0004799661079519673;0;0;0;0;0;0;0,009599322551175168
59, Feb;0,007101612655740035;0,000355080627885304;0;0;0;0;0;0;0,007101612655740035
60, Mar;0,005784629599044197;0,0002892314897556054;0;0;0;0;0;0;0,005784629599044197
61, Mar;0,0016334633293904755;0,00008167316646952378;0;0;0;0;0;0;0,0016334633293904755
62, Mar;0,0030441409663150183;0,0001522070532174487;0;0;0;0;0;0;0,0030441409663150183
63, Mar;0,0001299599381653886;0,000006497996908269431;0;0;0;0;0;0;0,0001299599381653886
64, Mar;0,006966350109953629;0,00038470663620453134;0;0;0,0046761902539353625;0,000654581;0;0;0,006966350109953629
65, Mar;0,002890336082169884;0,00015939815018914248;0;0,0018319883628895408;0,0000398671805956646;0;0;0;0,002890336082169884
66, Mar;0,0026980015008073103;0,00014061500367365385;0;0,0008846402756477657;0;0;0;0;0,0026980015008073103
67, Mar;0,0016441624611616135;0,00008220812550892955;0;0;0;0;0;0;0,0016441624611616135
68, Mar;0,0029923839396552034;0,00015801578564079185;0;0;0;0;0;0;0,0029923839396552034
69, Mar;0,0006365684890433362;0,000032436617306972804;0;0;0,0005460571693746667;0;0,000103355;0;0,0006365684890433362
70, Mar;0;0;0;0;0;0;0;0;0
71, Mar;0;0;0;0;0;0;0;0;0
72, Mar;0;0;0;0;0;0;0;0;0
73, Mar;0;0;0;0;0;0;0;0;0
74, Mar;0;0;0;0;0;0;0;0;0
75, Mar;0;0;0;0;0;0;0;0;0
76, Mar;0;0;0;0;0;0;0;0;0
77, Mar;0;0;0;0;0;0;0;0;0
78, Mar;0;0;0;0;0;0;0;0;0
79, Mar;0;0;0;0;0;0;0;0;0
80, Mar;0,00017675879950586118;0,00000883794028164917;0;0;0;0;0;0;0,00017675879950586118
81, Mar;0,00008331056022526402;0,0000057266737904252586;0;0;0;0;0;0;0,00008331056022526402
82, Mar;0,00001770808778115009;8,854043890575045e-7;0;0;0;0;0;0;0,00001770808778115009
83, Mar;0,0000843953120669252;0,0000054928409793463194;0;0;0;0;0;0;0,0000843953120669252
84, Mar;0,00019935990291598596;0,000014152186371288017;0;0;0;0;0;0;0,00019935990291598596
85, Mar;0,00006591888316171734;0,000003295944464441977;0;0;0;0;0;0;0,00006591888316171734
86, Mar;0,004901647175613202;0,0002450823391738691;0;0;0,004901647175613202;0;0;0;0,004901647175613202
