"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,07949236164922299;0,005770058217255966;0;0;0,012234277310578719;0;0;0;0,07949236164922299
2, Jan;0,1153639088506284;0,00860785608706267;0;0,027415657043457033;0;0;0;0;0,1153639088506284
3, Jan;0,06396209053371264;0,00415818743083788;0;0,02260769968447478;0,009418588099272355;0;0;0;0,06396209053371264
4, Jan;0,11627794348675272;0,008568398848823879;0;0,009012278266575026;0;0;0;0;0,11627794348675272
5, Jan;0,04918889584748641;0,0037175468776537023;0;0,0008648341116697892;0;0;0;0;0,04918889584748641
6, Jan;0,03701620931210725;0,0024901752886564836;0;0,02447856612827467;0;0;0;0;0,03701620931210725
7, Jan;0,08700373276420262;0,007778448643891708;0;0,0011271616686945377;0;0;0,000837319;0;0,08700373276420262
8, Jan;0,06867377239724864;0,007871608112169349;0;0,017627390571262527;0;0;0;0;0,06867377239724864
9, Jan;0,08631711213485055;0,009798588960067085;0;0,09567522795304008;0,0029088961041491964;0;0;0;0,08631711213485055
10, Jan;0,08487155748450238;0,01153422853221064;0;0;0;0;0;0;0,08487155748450238
11, Jan;0,07098924388056216;0,013117085332455843;0;0;0;0;0;0;0,07098924388056216
12, Jan;0,04614660014276919;0,004566094149713931;0;0;0;0;0;0;0,04614660014276919
13, Jan;0,03612571799236795;0,0026239027147707734;0;0;0;0;0;0;0,03612571799236795
14, Jan;0,02131548135176949;0,0014432469139928402;0;0,000995181241761083;0;0;0;0;0,02131548135176949
15, Jan;0,021188143025273862;0,0014826315900553827;0;0;0;0,003319003;0,001454862;0;0,021188143025273862
16, Jan;0,010713498488716458;0,0005861456627431123;0;0,0002618447270082391;0,010294108805449113;0;0;0;0,010713498488716458
17, Jan;0,03723880933678669;0,0031708686248115873;0;0;0;0,007700706;0;0;0,03723880933678669
18, Jan;0,04781892610632855;0,004211385872053063;0;0;0;0,000135489;0;0;0,04781892610632855
19, Jan;0,009034010638361392;0,0004768543269323266;0;0;0;0;0;0;0,009034010638361392
20, Jan;0,010573012932487157;0,0005590576840483624;0;0;0;0;0;0;0,010573012932487157
21, Jan;0,04037828030793563;0,002706148054288781;0;0;0;0;0,00000608143;0;0,04037828030793563
22, Jan;0,04305686950683594;0,003869144294572913;0;0;0,012434772823167883;0,003459357;0,031628861;0;0,04305686950683594
23, Jan;0,057071801890497625;0,0041888465052065645;0;0;0;0,033654494;0,047025955;0;0,057071801890497625
24, Jan;0,03824617966361668;0,0029936243658480436;0;0;0,01645028487495754;0,006522372;0;0;0,03824617966361668
25, Jan;0,07523130333941916;0,008792453226835832;0;0;0,009025501168292501;0;0,000239716;0;0,07523130333941916
26, Jan;0,047927719613780145;0,0029648288436557937;0;0;0,009015072946963102;0;0;0;0,047927719613780145
27, Jan;0,05290283949478813;0,0038752667281938638;0;0;0;0;0;0;0,05290283949478813
28, Jan;0,032136361495308255;0,0017740591712619947;0;0;0;0;0,000363236;0;0,032136361495308255
29, Jan;0,009907826133396315;0,0005332115551699763;0;0;0,00041624851848768153;0,004891846;0;0;0,009907826133396315
30, Jan;0,014568142268968664;0,0007815458204435265;0;0;0;0;0;0;0,014568142268968664
31, Jan;0,06990890502929688;0,004302259113477624;0;0;0,004051283649776293;0,058684635;0;0;0,06990890502929688
32, Feb;0,20567004991614302;0,018850967158441957;0;0;0,07704436260720958;0,002469582;0;0;0,20567004991614302
33, Feb;0,05851183352263077;0,0033000883848770804;0;0;0;0;0;0;0,05851183352263077
34, Feb;0,049576153962508494;0,0026043293268784235;0;0,0013271138719890428;0;0;0,000551407;0;0,049576153962508494
35, Feb;0,07136957749076511;0,003802506042563397;0;0;0;0;0;0;0,07136957749076511
36, Feb;0,19663547018299932;0,013428505607273268;0;0,004489330623460853;0;0,184316997;0;0;0,19663547018299932
37, Feb;0,23800667472507642;0,020638994548631752;0;0,024129635354746944;0;0,228372139;0;0;0,23800667472507642
38, Feb;0,17045417453931724;0,010912901422251826;0;0;0;0;0;0;0,17045417453931724
39, Feb;0,12336181143055791;0,0075427946837052055;0;0;0;0;0;0;0,12336181143055791
40, Feb;0,2290626691735309;0,017854769333549167;0;0;0;0;0;0;0,2290626691735309
41, Feb;0,23175745425016983;0,024200582504272462;0;0;0;0,011447113;0;0;0,23175745425016983
42, Feb;0,08173303189484969;0,004878525111986243;0;0;0;0;0;0;0,08173303189484969
43, Feb;0,2550431956415591;0,02393836767777153;0;0;0;0;0;0;0,2550431956415591
44, Feb;0,14721540368121602;0,01046537212703539;0;0,09527283544125764;0;0;0;0;0,14721540368121602
45, Feb;0,2834561555281929;0,025787160707556683;0;0;0;0;0;0;0,2834561555281929
46, Feb;0,15009579865828804;0,00977806630341903;0;0,007917021150174348;0;0;0,002667223;0;0,15009579865828804
47, Feb;0,21742560345193615;0,01539807941602624;0;0;0;0;0,165661509;0;0,21742560345193615
48, Feb;0,11805526899254841;0,007568422607753588;0;0;0,08059091982634171;0;0,054226961;0;0,11805526899254841
49, Feb;0,04337863092837126;0,0022282766259234883;0;0;0,019474168445753014;0;0;0;0,04337863092837126
50, Feb;0,012593605207360309;0,0006296803121981413;0;0;0;0;0;0;0,012593605207360309
