"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,2991984810416154;0,023089422015693244;0;0;0,11808979605126568;0;0,016867444;0;0,2991984810416154
2, Jan;0,21553030539685347;0,013665869480042945;0;0,05885061128871647;0,0070976516393225966;0;0,010460787;0;0,21553030539685347
3, Jan;0,4680777121716597;0,03674106147345595;0;0,10525482658326156;0,040828539630559484;0;0,000722877;0;0,4680777121716597
4, Jan;0,36622706736166644;0,036252284613181286;0;0,10293740550364096;0;0;0;0;0,36622706736166644
5, Jan;0,19285640566367804;0,01246048146345484;0;0,0002255807594051511;0;0;0;0;0,19285640566367804
6, Jan;0,2609191954605223;0,01947759455583227;0;0,009365290168702132;0;0,011738405;0;0;0,2609191954605223
7, Jan;0,4984164500799705;0,04501425375149944;0;0,00923189778966228;0;0,00025531;0;0;0,4984164500799705
8, Jan;0,3031562444731945;0,02382155478469969;0;0,35252218171367494;0;0;0;0;0,3031562444731945
9, Jan;0,4559317761518824;0,050112258730910894;0;0,38762244277113067;0,08006928661676842;0;0;0;0,4559317761518824
10, Jan;0,4357765377975824;0,048328523560771795;0;0,019769565326961006;0,014609701990142582;0,000705086;0;0;0,4357765377975824
11, Jan;0,34418838981568345;0,046735988827202264;0;0,0003264901323581305;0;0,003807284;0;0;0,34418838981568345
12, Jan;0,49921624491533895;0,054270128565510424;0;0;0;0,090064628;0,024509432;0;0,49921624491533895
13, Jan;0,30688623743733084;0,019682277844646785;0;0;0;0;0;0;0,30688623743733084
14, Jan;0,378186503733237;0,030456512931763657;0;0;0;0;0,000882965;0;0,378186503733237
15, Jan;0,1631136316014087;0,012666144708948812;0;0;0,006423115260957733;0,028948371;0,033522684;0;0,1631136316014087
16, Jan;0,29550567386657234;0,016984094784954402;0;0,002415510143820695;0,02271700844051331;0,289688413;0;0;0,29550567386657234
17, Jan;0,21138102614034818;0,018253251323549765;0;0,013910074872294748;0;0,09340747;0;0;0,21138102614034818
18, Jan;0,4645957346037617;0,042704281844492036;0;0,010109982152623454;0;0,032788846;0;0;0,4645957346037617
19, Jan;0,09603183476005013;0,0050608614298302355;0;0;0;0;0;0;0,09603183476005013
20, Jan;0,15888139018862266;0,010800374774482306;0;0;0;0;0;0;0,15888139018862266
21, Jan;0,15990619208869034;0,010856365594338245;0;0;0,0015040736968123067;0,00320214;0,094425412;0;0,15990619208869034
22, Jan;0,30732399647630104;0,021389613940021184;0;0;0,03083285572021965;0,000772951;0,217519797;0;0,30732399647630104
23, Jan;0,41045373631274606;0,025644328650527112;0;0;0;0,01382785;0,388136069;0;0,41045373631274606
24, Jan;0,3987431563730315;0,032791670851820096;0;0;0,3766218470776175;0,035346352;0,004344754;0;0,3987431563730315
25, Jan;0,6568383044145238;0,07077937989723025;0;0,0032243317975772646;0,09703971832755982;0;0;0;0,6568383044145238
26, Jan;0,18769537557767133;0,012412718900545376;0;0;0,04604752232709269;0;0;0;0,18769537557767133
