"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,30664982042814554;0,027213355114585475;0;0;0,0651445188020405;0;0,007829715;0;0,30664982042814554
2, Jan;0,11406770003469367;0,00874932000511571;0;0,028428213219893608;0,01778577126954731;0;0,014854741;0;0,11406770003469367
3, Jan;0,34715544048108554;0,03329573681480006;0;0,000312087135879617;0,045816526914897716;0;0;0;0,34715544048108554
4, Jan;0,3910599959524054;0,03846133382696854;0;0,03161769666169819;0;0;0;0;0,3910599959524054
5, Jan;0,17146144666169819;0,015126808066117136;0;0,0005301955107011293;0;0;0;0;0,17146144666169819
6, Jan;0,21422886095548932;0,01575657192029451;0;0,013805253882157175;0;0,036757457;0;0;0,21422886095548932
7, Jan;0,23528546785053453;0,024143301813225996;0;0,04566003899825247;0;0,008561989;0;0;0,23528546785053453
8, Jan;0,21562606409976356;0,01817697851281417;0;0,17792199787340665;0;0;0;0;0,21562606409976356
9, Jan;0,34415050305818257;0,03970283207140471;0;0,4160834864566201;0,12775558672453227;0;0;0;0,34415050305818257
10, Jan;0,4203502052708676;0,06665210723876953;0;0,0998055709035773;0,10657360679224918;0,002314636;0;0;0,4203502052708676
11, Jan;0,23790905601099918;0,02327242650483784;0;0;0;0,002381522;0;0;0,23790905601099918
12, Jan;0,2910450584010074;0,023877229188617906;0;0;0;0,077049202;0,001750027;0;0,2910450584010074
13, Jan;0,4314141524465461;0,030224739877801193;0;0;0;0;0;0;0,4314141524465461
14, Jan;0,2312290994744552;0,017775520525480572;0;0;0;0;0;0;0,2312290994744552
15, Jan;0,15318275250886615;0,012303294633564197;0;0;0,004544530730498464;0,059998635;0,087111835;0;0,15318275250886615
16, Jan;0,24769995839972245;0,014729757057993035;0;0,037548878318385076;0,009492255512036776;0,21802567;0;0;0,24769995839972245
17, Jan;0,3128331234580592;0,030680786935906663;0;0;0;0,211239812;0;0;0,3128331234580592
18, Jan;0,3407597592002467;0,03222416576586271;0;0,006635474531274093;0;0,010872465;0;0;0,3407597592002467
19, Jan;0,17598065828022205;0,01099641574056525;0;0;0;0;0;0;0,17598065828022205
20, Jan;0,3096511439273232;0,018554892038044175;0;0;0;0;0;0;0,3096511439273232
21, Jan;0,15522365570068358;0,00948718786239624;0;0;0;0,064095672;0,013418692;0;0,15522365570068358
22, Jan;0,4211057562577097;0,03696829896224173;0;0;0,018514295628196314;0;0,391252848;0;0,4211057562577097
23, Jan;0,32454229656018707;0,027684143969887182;0;0;0;0;0,309665474;0;0,32454229656018707
24, Jan;0,22839612458881578;0,022099708255968596;0;0;0,14837616368343956;0,000550782;0,016651685;0;0,22839612458881578
25, Jan;0,4806887978001645;0,04257807480661493;0;0;0,0878763198852539;0;0;0;0,4806887978001645
26, Jan;0,18717974612587376;0,011801906635886745;0;0;0;0;0;0;0,18717974612587376
27, Jan;0,49576845671001235;0,03095088757966694;0;0;0,05992515965511924;0;0;0;0,49576845671001235
28, Jan;0,04161216334292763;0,002201269959148608;0;0;0,015898684451454564;0;0;0;0,04161216334292763
29, Jan;0,10867522390265213;0,00576795967001664;0;0;0,02681002616882324;0,008664019;0;0;0,10867522390265213
30, Jan;0,09280630412854646;0,005412961307324861;0;0;0;0,000624861;0;0;0,09280630412854646
31, Jan;0,3624453895970395;0,030838788183111893;0;0;0,10403989490709807;0,200964639;0;0;0,3624453895970395
32, Feb;0,37568238910875823;0,03589006223176655;0;0;0,2041690424868935;0;0;0;0,37568238910875823
33, Feb;0,16575661709434109;0,010001493127722489;0;0;0;0;0;0;0,16575661709434109
34, Feb;0,2733251872815584;0,017422765179684288;0;0;0;0,00057318;0;0;0,2733251872815584
35, Feb;0,23853518837376644;0,016222790667885227;0;0;0;0,099202529;0,166475038;0;0,23853518837376644
