"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,1680148142688679;0,014451766913791872;0;0;0,017058713256188157;0;0,032828481;0;0,1680148142688679
2, Jan;0,3810294529177108;0,028219265757866624;0;0,18390493572882885;0;0;0;0;0,3810294529177108
3, Jan;0,39271235915849795;0,02047366016315964;0;0,013630475638047704;0;0;0;0;0,39271235915849795
4, Jan;0,3214104130582989;0,025549992075506248;0;0,027004613066619297;0;0;0;0;0,3214104130582989
5, Jan;0,26852298232744326;0,020480140200201072;0;0,006018449675362065;0;0;0;0;0,26852298232744326
6, Jan;0,20388079589267946;0,015036812368428932;0;0,10580460530407024;0;0,006126403;0;0;0,20388079589267946
7, Jan;0,46049701042895047;0,047663724647378024;0;0;0;0;0;0;0,46049701042895047
8, Jan;0,4269996858992667;0,03210721375807276;0;0,10323897847589457;0;0;0;0;0,4269996858992667
9, Jan;0,3734575667471256;0,03892338050986236;0;0,4134476859614534;0;0;0;0;0,3734575667471256
10, Jan;0,3687132349554098;0,04409981223772157;0;0;0;0;0;0;0,3687132349554098
11, Jan;0,3188299502966539;0,047060125278976725;0;0;0;0,036990146;0;0;0,3188299502966539
12, Jan;0,36367992185196785;0,03387586350710887;0;0;0;0,059798354;0;0;0,36367992185196785
13, Jan;0,3778343200683594;0,023721937863331922;0;0;0;0;0;0;0,3778343200683594
14, Jan;0,25261945544548753;0,018104276567135216;0;0;0;0;0;0;0,25261945544548753
15, Jan;0,1909303845099683;0,014228896150049174;0;0;0,003742071255198065;0,007135403;0,071462374;0;0,1909303845099683
16, Jan;0,18445234478644604;0,009759214689146797;0;0;0,014118397010947173;0,157350879;0;0;0,18445234478644604
17, Jan;0,18172393654877284;0,012886038366353736;0;0;0;0,114104405;0;0;0,18172393654877284
18, Jan;0,36525819886405514;0,02933923028550058;0;0,002784898820913063;0;0;0;0;0,36525819886405514
19, Jan;0,0237654964878874;0,00118827482439437;0;0;0;0;0;0;0,0237654964878874
20, Jan;0,05533635841225678;0,002766817808151245;0;0;0;0;0;0;0,05533635841225678
21, Jan;0,13317791920787883;0,007469491576248745;0;0;0;0;0,030867023;0;0,13317791920787883
22, Jan;0,168648269941222;0,013395329691329092;0;0;0,033962222765076835;0,018838333;0,042551676;0;0,168648269941222
23, Jan;0,47430275971034785;0,03787277329642818;0;0;0;0,214933453;0,447611365;0;0,47430275971034785
24, Jan;0,3450540506614829;0,024195302207514924;0;0;0,3398741236272848;0;0;0;0,3450540506614829
25, Jan;0,5460900000806125;0,058232784271240234;0;0;0,014831830870430425;0;0;0;0,5460900000806125
26, Jan;0,11567378493974793;0,0069708897257750885;0;0;0,07874110059918098;0;0;0;0,11567378493974793
27, Jan;0,38584327697753906;0,0210997001180109;0;0;0;0;0;0;0,38584327697753906
28, Jan;0,019704436356166623;0,0010546608915868794;0;0;0;0;0;0;0,019704436356166623
29, Jan;0,07365057603368219;0,003750812332585173;0;0;0;0,073278838;0,001477158;0;0,07365057603368219
30, Jan;0,18746408426536704;0,009373203763421977;0;0;0;0;0;0;0,18746408426536704
31, Jan;0,16542157587015405;0,009514701816270937;0;0;0,1403961811425551;0,020578361;0;0;0,16542157587015405
32, Feb;0,04964495604892947;0,0027993737526659694;0;0;0;0;0;0;0,04964495604892947
33, Feb;0,08396155879182636;0,005347421146788687;0;0;0;0;0,010633668;0;0,08396155879182636
34, Feb;0,09082599855818839;0,005234609235007808;0;0;0;0;0;0;0,09082599855818839
