"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,13977281437363737;0,011169613793838856;0;0;0,0590213842170183;0;0;0;0,13977281437363737
2, Jan;0,16279242759527163;0,012300481629926105;0;0;0;0;0,017578526;0;0,16279242759527163
3, Jan;0,18463507363962572;0,011150046836498171;0;0,0001776878353814746;0;0;0;0;0,18463507363962572
4, Jan;0,19646600235340206;0,01250020709148673;0;0,08177331436512082;0;0;0;0;0,19646600235340206
5, Jan;0,10128494750621707;0,00749149433402128;0;0,00030310967460621234;0;0;0;0;0,10128494750621707
6, Jan;0,12436946602754814;0,00937795223191727;0;0,008462275183478068;0,012321085430854974;0,005501751;0;0;0,12436946602754814
7, Jan;0,13251812513484512;0,010513667450394741;0;0,0026192498761554097;0;0;0;0;0,13251812513484512
8, Jan;0,12309959322907203;0,010818041341249333;0;0,1054942108864008;0;0;0;0;0,12309959322907203
9, Jan;0,22148613597071448;0,021508593891942224;0;0,22501790246298148;0;0;0;0;0,22148613597071448
10, Jan;0,1711668191954147;0,019710729288500407;0;0;0,0008361155903616617;0;0;0;0,1711668191954147
11, Jan;0,12433147430419922;0,014590352080589118;0;0;0;0,006012276;0;0;0,12433147430419922
12, Jan;0,14067558909571448;0,015189288660537365;0;0;0;0,050314246;0;0;0,14067558909571448
13, Jan;0,04906290630961573;0,0031022491843201395;0;0;0;0;0;0;0,04906290630961573
14, Jan;0,06932622887367426;0,004311411879783453;0;0;0;0;0;0;0,06932622887367426
15, Jan;0,09017399299976438;0,0065049924129663515;0;0;0,0010538107260715129;0,022049556;0,023260707;0;0,09017399299976438
16, Jan;0,11303957118544468;0,00814026386238808;0;0;0,03269949070242948;0,099303494;0;0;0,11303957118544468
17, Jan;0,07415731563124546;0,004858190237089645;0;0,0038116504979688066;0;0,025572721;0;0;0,07415731563124546
18, Jan;0,14022960219272348;0,01576110789942187;0;0;0;0,002298223;0;0;0,14022960219272348
19, Jan;0,0023632340652998103;0,00011816170326499052;0;0;0;0;0;0;0,0023632340652998103
20, Jan;0,08314768658127895;0,0057155961214109905;0;0;0;0;0;0;0,08314768658127895
21, Jan;0,10813158611918605;0,007881508317104605;0;0;0;0,003134891;0,040096995;0;0,10813158611918605
22, Jan;0,1019072643546171;0,007410771624986516;0;0;0,028082115705623183;0;0,022783358;0;0,1019072643546171
23, Jan;0,14041960516641305;0,008054943971855695;0;0;0;0;0,138383456;0;0,14041960516641305
24, Jan;0,07835727514222611;0,005501463316207708;0;0;0,026986088863638943;0;0;0;0,07835727514222611
25, Jan;0,21179057276526161;0,026700358058131018;0;0;0,14373592997706214;0;0;0;0,21179057276526161
26, Jan;0,11174887280131496;0,007268334543982217;0;0;0;0;0;0;0,11174887280131496
27, Jan;0,08529857147571653;0,006028114363204601;0;0;0,005850798861924992;0;0;0;0,08529857147571653
28, Jan;0,03438061337138331;0,0017652877194936885;0;0;0;0;0;0;0,03438061337138331
29, Jan;0,004175601310508196;0,0002087800828523414;0;0;0;0,00320071;0;0;0,004175601310508196
30, Jan;0,06436578617539516;0,0035152151141055795;0;0;0;0;0;0;0,06436578617539516
31, Jan;0,16039603255515875;0,012765826180923817;0;0;0,02789714447287626;0,104696085;0;0;0,16039603255515875
32, Feb;0,4535894172136174;0,05126298305600188;0;0;0,31460637824479926;0,008241956;0;0;0,4535894172136174
33, Feb;0,1907825691755428;0,011180208172909049;0;0;0;0;0;0;0,1907825691755428
