"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,3368672069750334;0,031925201416015625;0;0;0,09868096677880538;0;0,132151522;0;0,3368672069750334
2, Jan;0,3048467134174548;0,01746817952708194;0;0,24261002791555306;0,0038427663476843584;0;0;0;0,3048467134174548
3, Jan;0,5267737539190995;0,03908569561807733;0;0,025135375951465807;0;0;0;0;0,5267737539190995
4, Jan;0,26886076676218135;0,022406632962979768;0;0,023658939098056993;0;0;0;0;0,26886076676218135
5, Jan;0,14463123522306742;0,009162799308174535;0;0,017686937984667327;0;0;0;0;0,14463123522306742
6, Jan;0,20895049446507505;0,014389844317185251;0;0,019129624492243716;0;0,009100255;0;0;0,20895049446507505
7, Jan;0,4052682675813374;0,03432854853178326;0;0;0;0;0;0;0,4052682675813374
8, Jan;0,29577064514160156;0,025700613072043972;0;0,39322920849448756;0;0;0;0;0,29577064514160156
9, Jan;0,41132537942183645;0,05341645290977076;0;0,26523981596294205;0,19196458866721705;0;0;0;0,41132537942183645
10, Jan;0,2998405506736354;0,03791727517780505;0;0;0;0;0;0;0,2998405506736354
11, Jan;0,35910741906417043;0,0400538444519043;0;0;0;0,001912494;0;0;0,35910741906417043
12, Jan;0,4995337536460475;0,05141535244489971;0;0;0;0,135306156;0;0;0,4995337536460475
13, Jan;0,3773296255814402;0,02161928383927596;0;0;0;0;0;0;0,3773296255814402
14, Jan;0,26948974007054377;0,019120644581945317;0;0;0;0,010790335;0;0;0,26948974007054377
15, Jan;0,22965150130422493;0,019765684479161313;0;0;0,00889720806950017;0;0,082184376;0;0,22965150130422493
16, Jan;0,3219976927104749;0,018374361489948473;0;0;0,001369176922660125;0,312668512;0;0;0,3219976927104749
17, Jan;0,21491381996556333;0,01865370650040476;0;0;0;0,059319288;0;0;0,21491381996556333
18, Jan;0,38269298955013875;0,030686673365141217;0;0,016286426468899374;0;0,030745299;0;0;0,38269298955013875
19, Jan;0,04215870719206961;0,0021079351243219876;0;0;0;0;0;0;0,04215870719206961
20, Jan;0,13440854925858348;0,007148802280426025;0;0;0;0;0;0;0,13440854925858348
21, Jan;0,14653675179732473;0,007807967694182145;0;0;0;0;0,128569848;0;0,14653675179732473
22, Jan;0,2617673873901367;0,029320949002316122;0;0;0,23314192420557925;0,058900493;0,035993155;0;0,2617673873901367
23, Jan;0,3898854506643195;0,03561011113618549;0;0;0;0,101314293;0,332583639;0;0,3898854506643195
24, Jan;0,269368472852205;0,020281741493626645;0;0;0,25782060623168945;0;0;0;0,269368472852205
25, Jan;0,6545667146381579;0,05968176063738371;0;0;0,03806397161985699;0;0;0;0,6545667146381579
26, Jan;0,1623839830097399;0,009728906970275076;0;0;0,08532516579878957;0;0;0;0,1623839830097399
27, Jan;0,44243004447535467;0,02650122893484015;0;0;0;0;0;0;0,44243004447535467
28, Jan;0;0;0;0;0;0;0;0;0
