"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,18580605906824912;0,016218179656613256;0;0;0,08301804142613564;0;0,01924619;0;0,18580605906824912
2, Jan;0,5108913913849862;0,03701236940199329;0;0,04365374580506356;0;0;0;0;0,5108913913849862
3, Jan;0,39646160987115675;0,03796249435793969;0;0,08503819281055082;0;0;0;0;0,39646160987115675
4, Jan;0,3796521156064926;0,04725761567392657;0;0,07240813778292748;0;0;0;0;0,3796521156064926
5, Jan;0,14851946984567949;0,008631217864251906;0;0,026104777090011105;0;0;0;0;0,14851946984567949
6, Jan;0,18131514518491684;0,010427946044552711;0;0,14219982393326297;0;0,003430623;0;0;0,18131514518491684
7, Jan;0,2833141819123299;0,02023957621666693;0;0,005572906424922328;0;0;0;0;0,2833141819123299
8, Jan;0,30462578804262225;0,0171511750067434;0;0,22618419893326297;0;0;0;0;0,30462578804262225
9, Jan;0,5276753210252331;0,052639992006363406;0;0,4438154466690556;0,11043879293626355;0;0;0;0,5276753210252331
10, Jan;0,3633880615234375;0,04208335953374063;0;0,003135332657444862;0;0;0;0;0,3633880615234375
11, Jan;0,3999292927403604;0,05906216175325455;0;0;0;0;0;0;0,3999292927403604
12, Jan;0,3857903634348223;0,044476101475377235;0;0;0;0,211022685;0,002788696;0;0,3857903634348223
13, Jan;0,4110699930498677;0,03642348704799529;0;0;0;0;0;0;0,4110699930498677
14, Jan;0,19797174392207975;0,015697723434817408;0;0;0;0;0;0;0,19797174392207975
15, Jan;0,2943562538393082;0,02704887044045233;0;0;0;0;0,056258772;0;0,2943562538393082
16, Jan;0,27222227281139744;0,01371993653235897;0;0;0,0021764568744167207;0,256363797;0;0;0,27222227281139744
17, Jan;0,3401830734745149;0,028616768698538502;0;0;0;0,283751029;0;0;0,3401830734745149
18, Jan;0,5249131725680444;0,07096428255881032;0;0,008922234658272035;0;0,076867435;0;0;0,5249131725680444
19, Jan;0,09223396547379033;0,00574688853756074;0;0;0;0;0;0;0,09223396547379033
20, Jan;0,10463326977145287;0,006423272432819489;0;0;0;0;0;0;0,10463326977145287
21, Jan;0,18844895209035567;0,013011669920336815;0;0;0;0;0,137024316;0;0,18844895209035567
22, Jan;0,25161807767806516;0,02323769946252146;0;0;0,08369851881457914;0;0,132836024;0;0,25161807767806516
23, Jan;0,4845161437988281;0,03930869025568808;0;0;0;0,095335785;0,464271837;0;0,4845161437988281
24, Jan;0,39215838524603075;0,027279555797576904;0;0;0,33154315333212575;0;0;0;0,39215838524603075
25, Jan;0,5612066945722026;0,04078112879107075;0;0,02044229738173946;0,0022977549702890457;0;0;0;0,5612066945722026
