"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,028180529357521397;0,002657496625450766;0;0;0;0;0;0;0,028180529357521397
2, Jan;0,025128653095026685;0,0018878514599648252;0;0,00034736656838921226;0;0;0;0;0,025128653095026685
3, Jan;0,021800282654488922;0,0016543869000331612;0;0,026975406962595167;0,00004524370999472916;0;0;0;0,021800282654488922
4, Jan;0,029784463773107832;0,0024568818177387215;0;0;0;0;0;0;0,029784463773107832
5, Jan;0,016464954728533508;0,0011375020643708052;0;0;0;0;0;0;0,016464954728533508
6, Jan;0,008676194840935385;0,0004830495187431384;0;0,00006656457853924697;0;0;0;0;0,008676194840935385
7, Jan;0,012083699748774244;0,001141813625195983;0;0;0;0;0;0;0,012083699748774244
8, Jan;0,015299684682469459;0,0015839506296595192;0;0,00422159691525113;0;0;0;0;0,015299684682469459
9, Jan;0,026507517334761893;0,002888564471226589;0;0,008854614701240686;0,0018878778454604422;0;0;0;0,026507517334761893
10, Jan;0,018555709510851816;0,0026115547319886033;0;0;0;0;0;0;0,018555709510851816
11, Jan;0,000879728964939239;0,000118610111011821;0;0;0;0;0;0;0,000879728964939239
12, Jan;0,0006380672477612829;0,00006423022740395965;0;0;0;0;0;0;0,0006380672477612829
13, Jan;0,0003909343367169617;0,0000224207219471977;0;0;0;0;0;0;0,0003909343367169617
14, Jan;0,0000988092024330121;0,000004940460121650604;0;0;0;0;0;0;0,0000988092024330121
15, Jan;0,0007164753546380693;0,0000656370227788664;0;0;0;0,000152487;0,000483729;0;0,0007164753546380693
16, Jan;0,00023126447941087614;0,000012148493473791772;0;0;0,00023126447941087614;0;0;0;0,00023126447941087614
17, Jan;0,0003498083419480901;0,000021299296859533165;0;0;0;0;0;0;0,0003498083419480901
18, Jan;0,00045652198753539167;0,00002950997607912987;0;0;0;0,000132831;0;0;0,00045652198753539167
19, Jan;0,00022138880601354466;0,000011069440597276779;0;0;0;0;0;0;0,00022138880601354466
20, Jan;0;0;0;0;0;0;0;0;0
21, Jan;0,00040868076549214165;0,000026255813397609503;0;0;0,00007816805106819056;0;0;0;0,00040868076549214165
22, Jan;0,0004001828325781853;0,000060097284757407606;0;0;0;0,000241038;0,000180985;0;0,0004001828325781853
23, Jan;0,0005679201263530998;0,000042842087116400906;0;0;0;0,000423037;0,000388176;0;0,0005679201263530998
24, Jan;0,00011649039710403248;0,000005824519929351511;0;0;0;0;0;0;0,00011649039710403248
25, Jan;0,0006140364203483436;0,00005018886677019156;0;0;0,0005163877348231662;0;0;0;0,0006140364203483436
26, Jan;0,002116453495754558;0,00012020302853386872;0;0;0;0;0;0;0,002116453495754558
27, Jan;0,0015399309859913625;0,00008308910023254953;0;0;0;0;0;0;0,0015399309859913625
28, Jan;0,00016806305498833868;0,00000840315304601648;0;0;0;0;0;0;0,00016806305498833868
29, Jan;0,0009808532751289902;0,000053388819952679286;0;0;0,00020556106783781842;0,000392245;0;0;0,0009808532751289902
30, Jan;0,00019182358530296642;0,000009591179561747866;0;0;0;0;0;0;0,00019182358530296642
31, Jan;0,0011885331314840134;0,0000617165106591905;0;0;0,000268006115961986;0,000243646;0;0;0,0011885331314840134
32, Feb;0,02913784221479088;0,0017718653770009423;0;0;0,004856681747800985;0;0;0;0,02913784221479088
33, Feb;0,02393194064972507;0,001418422172023992;0;0;0;0;0;0;0,02393194064972507
34, Feb;0,008788584144252121;0,00048292271650520857;0;0;0;0;0,003814378;0;0,008788584144252121
35, Feb;0,015552933808344944;0,0007776467093996182;0;0;0;0;0;0;0,015552933808344944
36, Feb;0,07520820228916825;0,0061098553572490714;0;0;0;0,06894816;0;0;0,07520820228916825
37, Feb;0,08318110180508559;0,006874419321679765;0;0;0;0,071361435;0;0;0,08318110180508559
38, Feb;0,05748955914928655;0,0029269975082130187;0;0;0;0;0;0;0,05748955914928655
39, Feb;0,055645323103400555;0,004339433779382402;0;0;0;0;0;0;0,055645323103400555
40, Feb;0,03364970577750236;0,002052149954874804;0;0;0;0;0;0;0,03364970577750236
41, Feb;0,0827945539146472;0,006802063838691468;0;0;0;0;0;0;0,0827945539146472
42, Feb;0,030340486271366193;0,0018777725802864998;0;0;0;0;0;0;0,030340486271366193
43, Feb;0,06905386857925706;0,005048036195669964;0;0,004725196179310987;0;0;0;0;0,06905386857925706
44, Feb;0,05987466216846636;0,003066249334128799;0;0,008687134760959893;0;0;0;0;0,05987466216846636
45, Feb;0,10375160168690287;0,007085588327638662;0;0;0;0;0;0;0,10375160168690287
46, Feb;0,05806170906990197;0,0037104844287702233;0;0,001721797855037033;0;0,000120545;0;0;0,05806170906990197
47, Feb;0,039436613678172895;0,002019265275092641;0;0;0;0;0,033741781;0;0,039436613678172895
48, Feb;0,024379420432315512;0,0013899821194873494;0;0;0,00819611701236409;0;0,017632505;0;0,024379420432315512
49, Feb;0,011926468010920628;0,0005963234005460314;0;0;0;0;0,0077989;0;0,011926468010920628
50, Feb;0,022157034296898324;0,0011078516958625453;0;0;0;0;0,001755234;0;0,022157034296898324
51, Feb;0,07845550585704245;0,005893067189842273;0;0;0;0;0;0;0,07845550585704245
52, Feb;0,024194401540573996;0,0012384543942797715;0;0;0;0;0;0;0,024194401540573996
53, Feb;0,026694844482810634;0,001338766448816676;0;0;0;0;0;0;0,026694844482810634
54, Feb;0,01981210404900229;0,0009906050885558888;0;0;0;0;0;0;0,01981210404900229
55, Feb;0,006303742812697295;0,000315187154871643;0;0;0;0;0,006263846;0;0,006303742812697295
56, Feb;0;0;0;0;0;0;0;0;0
57, Feb;0,001057745165126339;0,00005288725825631694;0;0;0;0;0;0;0,001057745165126339
58, Feb;0;0;0;0;0;0;0;0;0
59, Feb;0,0008926385906851215;0,00004463193190705245;0;0;0;0;0;0;0,0008926385906851215
60, Mar;0,0018823294882561752;0,00009411648153119786;0;0;0;0;0;0;0,0018823294882561752
61, Mar;0,00015057644741550374;0,00000752882207417564;0;0;0;0;0;0;0,00015057644741550374
62, Mar;0;0;0;0;0;0;0;0;0
