"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,11541890462239583;0,007536076704661052;0;0;0;0;0;0;0,11541890462239583
2, Jan;0,3160899098714193;0,025535988807678222;0;0,020124390920003257;0;0;0;0;0,3160899098714193
3, Jan;0,17677902221679687;0,014314646720886231;0;0,039235674540201826;0;0;0;0;0,17677902221679687
4, Jan;0,345325927734375;0,031238136291503907;0;0,0010734041531880697;0;0;0;0;0,345325927734375
5, Jan;0,09572466532389323;0,006094419956207275;0;0,00625638484954834;0;0;0;0;0,09572466532389323
6, Jan;0,15759695688883463;0,01192458947499593;0;0,1546618906656901;0;0;0;0;0,15759695688883463
7, Jan;0,25341222127278645;0,024648071924845378;0;0,0013363673289616903;0;0;0,002457311;0;0,25341222127278645
8, Jan;0,19428855895996094;0,012404495080312094;0;0,028840939203898113;0;0;0;0;0,19428855895996094
9, Jan;0,2571142578125;0,02105003833770752;0;0,2733265177408854;0;0;0;0;0,2571142578125
10, Jan;0,2149041239420573;0,028480911254882814;0;0;0;0;0;0;0,2149041239420573
11, Jan;0,23189592997233072;0,04824701944986979;0;0;0;0,075527274;0;0;0,23189592997233072
12, Jan;0,16688111623128254;0,019065362612406413;0;0;0;0,027258867;0;0;0,16688111623128254
13, Jan;0,19378242492675782;0,01648341496785482;0;0;0;0;0;0;0,19378242492675782
14, Jan;0,10671490987141927;0,007187596956888835;0;0;0;0;0;0;0,10671490987141927
15, Jan;0,18041024525960286;0,012722673416137696;0;0;0,00704341967900594;0,002138394;0,002707374;0;0,18041024525960286
16, Jan;0,10084634145100911;0,0061285452047983805;0;0;0,04980915387471517;0,063523669;0;0;0,10084634145100911
17, Jan;0,07969173431396484;0,005373842716217041;0;0;0;0,048896625;0;0;0,07969173431396484
18, Jan;0,12055091857910157;0,008693461418151855;0;0;0;0,012275557;0;0;0,12055091857910157
19, Jan;0;0;0;0;0;0;0;0;0
20, Jan;0,05903595606486003;0,0031174737215042114;0;0;0;0;0,017754546;0;0,05903595606486003
21, Jan;0,1976968256632487;0,01268541971842448;0;0;0,0278905455271403;0;0;0;0,1976968256632487
22, Jan;0,2803531138102214;0,026061959266662597;0;0;0;0,079917644;0,266278694;0;0,2803531138102214
23, Jan;0,21084540049235026;0,01410277525583903;0;0;0;0,144519166;0,126266036;0;0,21084540049235026
24, Jan;0,03291508356730143;0,0016767736275990805;0;0;0;0;0;0;0,03291508356730143
25, Jan;0,20668739318847656;0,018057114283243816;0;0;0,006932826042175293;0;0;0;0,20668739318847656
26, Jan;0,08337727864583333;0,005843941768010457;0;0;0;0;0;0;0,08337727864583333
27, Jan;0,20953893025716147;0,01687861919403076;0;0;0;0;0;0;0,20953893025716147
28, Jan;0,06595146179199218;0,003626966079076131;0;0;0;0;0;0;0,06595146179199218
29, Jan;0,028920491536458332;0,0014460246761639913;0;0;0;0,025559442;0,003040809;0;0,028920491536458332
30, Jan;0,08544639587402343;0,004318234920501709;0;0;0;0;0;0;0,08544639587402343
31, Jan;0,08743585586547852;0,005486303965250651;0;0;0,0184865665435791;0,002068515;0;0;0,08743585586547852
32, Feb;0,00921382188796997;0,00046733940641085304;0;0;0,002398375074068705;0,000176554;0;0;0,00921382188796997
33, Feb;0,007622454166412353;0,0003982771933078766;0;0;0;0;0;0;0,007622454166412353
34, Feb;0,0191290553410848;0,0010985763867696126;0;0;0;0;0;0;0,0191290553410848
35, Feb;0,019873507817586265;0,001060048540433248;0;0;0;0;0;0;0,019873507817586265
36, Feb;0,03252161343892415;0,0029120272397994995;0;0;0;0,024751762;0;0;0,03252161343892415
37, Feb;0,021821330388387045;0,0017748423417409261;0;0;0;0,016822544;0;0;0,021821330388387045
38, Feb;0,036501442591349284;0,0026381019751230876;0;0;0;0;0;0;0,036501442591349284
39, Feb;0,00592272162437439;0,00029613609115282694;0;0;0;0;0;0;0,00592272162437439
40, Feb;0,030997568766276042;0,0025646384557088215;0;0;0;0;0;0;0,030997568766276042
41, Feb;0,02794864336649577;0,0023782545328140258;0;0;0;0;0;0;0,02794864336649577
42, Feb;0,007998850345611572;0,0006304884950319926;0;0;0;0;0;0;0,007998850345611572
43, Feb;0,010906120936075847;0,0009340317050615946;0;0;0;0;0;0;0,010906120936075847
44, Feb;0,0034208838144938153;0,00023502133786678313;0;0;0;0;0;0;0,0034208838144938153
45, Feb;0,013077623844146728;0,0010668710867563884;0;0;0;0;0;0;0,013077623844146728
46, Feb;0,008365602493286132;0,0006088335315386454;0;0,00010268927862246831;0;0,000784788;0;0;0,008365602493286132
47, Feb;0,006514284213383992;0,0003296813617149989;0;0;0;0;0,000481001;0;0,006514284213383992
48, Feb;0,0006093855698903402;0,000030469276631871858;0;0;0,00038392399748166404;0;0,0000287815;0;0,0006093855698903402
49, Feb;0,0037338705857594807;0,0001866935193538666;0;0,000028769864390293756;0,0036893463134765624;0;0;0;0,0037338705857594807
50, Feb;0,0001536086325844129;0,000007680431008338928;0;0;0;0;0;0;0,0001536086325844129
51, Feb;0,007110904057820638;0,0005409254133701324;0;0;0;0;0;0;0,007110904057820638
52, Feb;0,002080274820327759;0,00011250914384921392;0;0;0;0;0;0;0,002080274820327759
53, Feb;0,000047121942043304446;0,0000023560971021652223;0;0;0;0;0;0;0,000047121942043304446
54, Feb;0,000007039573974907399;3,5197871814792357e-7;0;0;0;0;0;0;0,000007039573974907399
55, Feb;0;0;0;0;0;0;0;0;0
56, Feb;0;0;0;0;0;0;0;0;0
57, Feb;0;0;0;0;0;0;0;0;0
58, Feb;0;0;0;0;0;0;0;0;0
59, Feb;0,0006976228455702464;0,00003488114103674888;0;0;0;0;0;0;0,0006976228455702464
60, Mar;0,000855176051457723;0,000042758804435531296;0;0;0;0;0;0;0,000855176051457723
61, Mar;0,001007711887359619;0,00005206409841775894;0;0;0;0;0;0;0,001007711887359619
62, Mar;0;0;0;0;0;0;0;0;0
63, Mar;0;0;0;0;0;0;0;0;0
64, Mar;0,001345935861269633;0,00010356754064559937;0;0;0,001008129318555196;0;0;0;0,001345935861269633
