"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,0368033250172933;0,00255885554684533;0;0;0;0;0;0;0,0368033250172933
2, Jan;0,0649328452569467;0,0036038921939002145;0;0;0;0;0;0;0,0649328452569467
3, Jan;0,05237398324189363;0,004129172475249679;0;0,035215909834261296;0;0;0;0;0,05237398324189363
4, Jan;0,05430471897125244;0,006597978097421152;0;0;0,0023429573134139733;0;0;0;0,05430471897125244
5, Jan;0,07840532726711696;0,004017594787809584;0;0;0;0;0;0;0,07840532726711696
6, Jan;0,026394636542708787;0,0016376569315239235;0;0;0;0;0;0;0,026394636542708787
7, Jan;0,03738316341682717;0,0031995370432182594;0;0;0;0;0;0;0,03738316341682717
8, Jan;0,04029218355814616;0,0034330647300790857;0;0,0026699459111249007;0,0010276309180038948;0;0;0;0,04029218355814616
9, Jan;0,03755252449600785;0,004054875837432014;0;0,02562979857126872;0;0;0;0;0,03755252449600785
10, Jan;0,04306575545558223;0,005949891827724598;0;0;0;0;0;0;0,04306575545558223
11, Jan;0,010264915448647959;0,0010011438970212584;0;0;0;0;0;0;0,010264915448647959
12, Jan;0,005506151252322727;0,0003867964432747276;0;0;0;0,000764859;0;0;0,005506151252322727
13, Jan;0,0048134685666472825;0,0002616164102046578;0;0,0007784257608431357;0;0;0;0;0,0048134685666472825
14, Jan;0,004733256167835659;0,0002536494802269671;0;0;0;0;0;0;0,004733256167835659
15, Jan;0,00661420656575097;0,000501764593300996;0;0;0;0;0,000764894;0;0,00661420656575097
16, Jan;0;0;0;0;0;0;0;0;0
17, Jan;0,001055650344049489;0,000060426127338023095;0;0;0;0,000158789;0;0;0,001055650344049489
18, Jan;0,001707883068808803;0,00013953574967605096;0;0;0;0,001646887;0;0;0,001707883068808803
19, Jan;0,0008073516052078318;0,00004687718184733832;0;0;0;0;0;0;0,0008073516052078318
20, Jan;0;0;0;0;0;0;0;0;0
21, Jan;0,0017080392550539087;0,000085401961028024;0;0;0;0;0;0;0,0017080392550539087
22, Jan;0,0011660982337262896;0,00006829962755242984;0;0;0;0,00107198;0,000211754;0;0,0011660982337262896
23, Jan;0,0022233665265418865;0,00020200203828237676;0;0;0;0,002143961;0,001751793;0;0,0022233665265418865
24, Jan;0,0018184866618227075;0,0001328752928034023;0;0;0,0017997920513153076;0;0;0;0,0018184866618227075
25, Jan;0,0008577138737395957;0,00004358863871958521;0;0;0;0;0;0;0,0008577138737395957
26, Jan;0,0023263091290438615;0,00012930632672376104;0;0;0;0;0;0;0,0023263091290438615
27, Jan;0,005141135719087388;0,0002570567583596265;0;0;0;0;0;0;0,005141135719087388
28, Jan;0;0;0;0;0;0;0;0;0
29, Jan;0,00286540471845203;0,00014327024971997297;0;0;0;0,002763069;0;0;0,00286540471845203
30, Jan;0;0;0;0;0;0;0;0;0
31, Jan;0,00032606876144806546;0,00002198590017441246;0;0;0;0;0;0;0,00032606876144806546
32, Feb;0,03248791341428404;0,0025219768285751343;0;0;0,03248791341428404;0;0;0;0,03248791341428404
33, Feb;0,012663872153670699;0,000661471927607501;0;0;0;0;0;0;0,012663872153670699
34, Feb;0,00828911860783895;0,0004144559993788048;0;0;0;0;0,001413671;0;0,00828911860783895
35, Feb;0,014358112105616817;0,0008530912024003488;0;0;0;0,004323256;0;0;0,014358112105616817
36, Feb;0,02378567059834798;0,0015704859462049273;0;0,0069738488506387785;0;0,022145454;0;0;0,02378567059834798
37, Feb;0,038501602632028085;0,003823911702191388;0;0;0;0,032176369;0;0;0,038501602632028085
38, Feb;0,013792146135259557;0,0006896073205603494;0;0;0;0;0;0;0,013792146135259557
39, Feb;0,023665172082406503;0,0015459637399073;0;0;0;0;0;0;0,023665172082406503
40, Feb;0,018146402306026883;0,001293799391499272;0;0;0;0;0;0;0,018146402306026883
41, Feb;0,03127749760945638;0,0022516465849346584;0;0;0;0;0;0;0,03127749760945638
42, Feb;0,0067578885290357806;0,0003378944195531033;0;0;0;0;0;0;0,0067578885290357806
43, Feb;0,04377844598558214;0,0025026356732403793;0;0,020575726473772968;0;0;0;0;0,04377844598558214
44, Feb;0,002415227669256705;0,00012076137311480663;0;0;0;0;0;0;0,002415227669256705
45, Feb;0,0243749530227096;0,0012449853950076634;0;0;0;0;0;0;0,0243749530227096
46, Feb;0,01812697891835813;0,0009750106406432611;0;0;0;0;0;0;0,01812697891835813
47, Feb;0,021426350982100877;0,0010713175353076723;0;0;0;0;0,020661123;0;0,021426350982100877
48, Feb;0,010045493090594257;0,0005022746821244558;0;0;0,010045493090594257;0;0;0;0,010045493090594257
49, Feb;0,011264897055096097;0,0005632448527548048;0;0;0;0;0,010862579;0;0,011264897055096097
50, Feb;0,0032518955844419973;0,00016259477922209986;0;0;0;0;0;0;0,0032518955844419973
51, Feb;0,02778108031661422;0,0016863077051109737;0;0;0;0;0;0;0,02778108031661422
52, Feb;0,03468891867884883;0,0017344460443214135;0;0;0;0;0;0;0,03468891867884883
53, Feb;0,0015421796728063513;0,00007710898191564613;0;0;0;0;0;0;0,0015421796728063513
54, Feb;0,03937957904956959;0,0019689788696942508;0;0;0;0;0;0;0,03937957904956959
55, Feb;0;0;0;0;0;0;0;0;0
56, Feb;0;0;0;0;0;0;0;0;0
57, Feb;0;0;0;0;0;0;0;0;0
58, Feb;0;0;0;0;0;0;0;0;0
59, Feb;0,010657403204176161;0,0005328701464114365;0;0;0;0;0;0;0,010657403204176161
60, Mar;0;0;0;0;0;0;0;0;0
61, Mar;0,02480841566015173;0,0012404208106023293;0;0;0,008429287760346025;0;0;0;0,02480841566015173
62, Mar;0;0;0;0;0;0;0;0;0
63, Mar;0;0;0;0;0;0;0;0;0
64, Mar;0;0;0;0;0;0;0;0;0
65, Mar;0,109373790246469;0,00824957534118935;0;0;0,04697359049761737;0;0;0;0,109373790246469
66, Mar;0;0;0;0,11737208013181333;0;0;0;0;0
67, Mar;0,12546509283560295;0,007682936610998931;0;0;0;0;0;0;0,12546509283560295
68, Mar;0,03341625575666075;0,0016708128430225231;0;0;0;0;0;0;0,03341625575666075
69, Mar;0,16841515788325556;0,008420757121509977;0;0;0,005395380987061394;0;0,157197636;0;0,16841515788325556
70, Mar;0,00720398845496001;0,0003601994227480005;0;0;0,00720398845496001;0;0;0;0,00720398845496001
71, Mar;0;0;0;0;0;0;0;0;0
72, Mar;0;0;0;0;0;0;0;0;0
73, Mar;0,005877077579498291;0,00029385386517754306;0;0;0;0;0;0;0,005877077579498291
74, Mar;0;0;0;0;0;0;0;0;0
75, Mar;0,1708627983375832;0,015267561983179164;0;0;0;0;0;0;0,1708627983375832
76, Mar;0;0;0;0;0;0;0;0;0
77, Mar;0;0;0;0;0;0;0;0;0
78, Mar;0;0;0;0;0;0;0;0;0
79, Mar;0,0913993340951425;0,004569967035894041;0;0;0;0;0;0;0,0913993340951425
80, Mar;0,07052006544890227;0,003526003548392543;0;0;0;0;0;0;0,07052006544890227
81, Mar;0,032865948147243924;0,0016432972969832244;0;0;0;0;0;0;0,032865948147243924
82, Mar;0;0;0;0;0;0;0;0;0
83, Mar;0,22698964012993705;0,011349481564980966;0;0;0;0;0;0;0,22698964012993705
84, Mar;0,02370561052251745;0,0011852804433416437;0;0;0;0;0;0;0,02370561052251745
85, Mar;0;0;0;0;0;0;0;0;0
86, Mar;0,07006791785911277;0,0035033960033346106;0;0;0,07006791785911277;0;0;0;0,07006791785911277
87, Mar;0;0;0;0;0;0;0;0;0
88, Mar;0;0;0;0;0;0;0;0;0
89, Mar;0;0;0;0;0;0;0;0;0
90, Mar;0,038219063370316116;0,0019109531961105488;0;0;0,033726409629539204;0;0;0;0,038219063370316116
91, Apr;0;0;0;0;0;0;0;0;0
92, Apr;0;0;0;0;0;0;0;0;0
93, Apr;0,009911464320288764;0,000495573195318381;0;0;0;0;0;0;0,009911464320288764
94, Apr;0;0;0;0;0;0;0;0;0
95, Apr;0,01832237508561876;0,0009161187680783096;0;0;0;0,017668005;0;0;0,01832237508561876
96, Apr;0;0;0;0;0;0;0;0;0
97, Apr;0,029170168770684138;0,001458508410939464;0;0;0;0;0;0;0,029170168770684138
98, Apr;0,002721053030755785;0,00013605264636377493;0;0,0032043995128737558;0;0;0;0;0,002721053030755785
