"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,31871482729911804;0,03604178503155708;0;0;0,20187008380889893;0;0;0;0,31871482729911804
2, Jan;0,25100529193878174;0,012550264596939087;0;0;0;0;0;0;0,25100529193878174
3, Jan;0,5020105838775635;0,044398270547389984;0;0;0;0;0;0;0,5020105838775635
4, Jan;0,41314369440078735;0,05282403156161308;0;0;0;0;0;0;0,41314369440078735
5, Jan;0,1857040822505951;0,009285204112529755;0;0;0;0;0;0;0,1857040822505951
6, Jan;0,11297889053821564;0,010222161188721657;0;0;0;0;0;0;0,11297889053821564
7, Jan;0,21558108925819397;0,010779054835438728;0;0,14314796030521393;0;0;0;0;0,21558108925819397
8, Jan;0,2715827524662018;0,013579137623310089;0;0,14314796030521393;0;0;0;0;0,2715827524662018
9, Jan;0,3500112295150757;0,05224531143903732;0;0,5725918412208557;0;0;0;0;0,3500112295150757
10, Jan;0,2743930220603943;0,040361396968364716;0;0,14314796030521393;0;0;0;0;0,2743930220603943
11, Jan;0,22950869798660278;0,03802385926246643;0;0;0;0;0;0;0,22950869798660278
12, Jan;0,16904713213443756;0,013691425323486328;0;0;0;0;0,037422623;0;0,16904713213443756
13, Jan;0,5128496289253235;0,030703643336892128;0;0;0;0;0;0;0,5128496289253235
14, Jan;0,10122323781251907;0,00891643576323986;0;0;0;0;0;0;0,10122323781251907
15, Jan;0,22777901589870453;0,025543857365846634;0;0;0;0;0,074845247;0;0,22777901589870453
16, Jan;0;0;0;0;0;0;0;0;0
17, Jan;0,30866825580596924;0,01872551441192627;0;0;0;0,308668256;0;0;0,30866825580596924
18, Jan;0,3881477117538452;0,05336494371294975;0;0;0;0;0;0;0,3881477117538452
19, Jan;0;0;0;0;0;0;0;0;0
20, Jan;0,5009976625442505;0,03265942633152008;0;0;0;0;0;0;0,5009976625442505
21, Jan;0,09934534877538681;0,0049672676250338554;0;0;0;0;0,099345349;0;0,09934534877538681
22, Jan;0,29803603887557983;0,024533092975616455;0;0;0;0;0,298036039;0;0,29803603887557983
