"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,1962757110595703;0,013908337738554356;0;0;0,007668074914964579;0;0,003785954;0;0,1962757110595703
2, Jan;0,10189812062150341;0,006121614726923279;0;0;0;0;0,00951495;0;0,10189812062150341
3, Jan;0,3365724207991261;0,028680524583590234;0;0,00021112318766319146;0,0009656468943013984;0;0;0;0,3365724207991261
4, Jan;0,22468385858050846;0,017099243099406615;0;0,024508322699595304;0;0;0;0;0,22468385858050846
5, Jan;0,122955322265625;0,008960280377986067;0;0;0;0,004678111;0;0;0,122955322265625
6, Jan;0,11282009189411746;0,008830337201134634;0;0,018139651266195007;0,003691888461678715;0,021757444;0;0;0,11282009189411746
7, Jan;0,20854835186974477;0,018220323627277955;0;0,08195767968387926;0;0,010783177;0;0;0,20854835186974477
8, Jan;0,15468009043548067;0,011510440858743958;0;0,23802065445204912;0;0;0;0;0,15468009043548067
9, Jan;0,34746364011602887;0,032830707097457626;0;0,2490042670298431;0,004296269962343119;0;0;0;0,34746364011602887
10, Jan;0,3076298923815711;0,041140948311757235;0;0,06272423873513432;0,10186170319379387;0,002273829;0;0;0,3076298923815711
11, Jan;0,2543176069098004;0,029136453644704012;0;0,00026377910842834894;0,00023591996691489623;0,008208353;0;0;0,2543176069098004
12, Jan;0,247091261007018;0,030909918122372385;0;0;0;0,093702925;0,034192604;0;0,247091261007018
13, Jan;0,14808315341755496;0,011011671211759923;0;0;0;0;0;0;0,14808315341755496
14, Jan;0,24797796798964677;0,021587254637378758;0;0;0;0;0,003235541;0;0,24797796798964677
15, Jan;0,09119402352025953;0,006254193136247538;0;0;0,0014442806526765986;0,021899566;0,016267952;0;0,09119402352025953
16, Jan;0,18363066851082493;0,014232675907975537;0;0,0009736977517604828;0,0048223036830708135;0,143365089;0;0;0,18363066851082493
17, Jan;0,139959076703605;0,011172226930068712;0;0,006727659601276204;0;0,026821602;0;0;0,139959076703605
18, Jan;0,29072800329176046;0,02931056386333401;0;0,0027372445595466484;0;0,067073649;0;0;0,29072800329176046
19, Jan;0,05743528624712411;0,003212998479099597;0;0;0;0;0;0;0,05743528624712411
20, Jan;0,19571963811324813;0,013041374036821268;0;0;0;0;0;0;0,19571963811324813
21, Jan;0,17054577197058726;0,012527572906623452;0;0;0;0,002042632;0,040993187;0;0,17054577197058726
22, Jan;0,2592383562508276;0,01930944394257109;0;0;0,011893739134578382;0,004734341;0,246100019;0;0,2592383562508276
23, Jan;0,21941998045323258;0,016858294858770856;0;0;0;0;0,203640436;0;0,21941998045323258
24, Jan;0,1980210966983084;0,01887805583113331;0;0;0,07341394586078191;0;0,06024781;0;0,1980210966983084
25, Jan;0,42213727660098316;0,04181947950589455;0;0,0021955383531117845;0,09157570337845107;0;0;0;0,42213727660098316
26, Jan;0,13316770327293267;0,009630536628981768;0;0;0,002671477148088358;0;0;0;0,13316770327293267
27, Jan;0,33595204757431807;0,022498126757346977;0;0;0,05515201212996143;0;0;0;0,33595204757431807
28, Jan;0,04899948330248816;0,002461582927380578;0;0;0;0;0;0;0,04899948330248816
29, Jan;0,02425208334195412;0,0012487122568033508;0;0;0,00135351692215871;0,001300702;0;0;0,02425208334195412
30, Jan;0,1375676009614589;0,007978824740749294;0;0;0;0,001207005;0;0;0,1375676009614589
31, Jan;0,280329914416297;0,024478855779615498;0;0;0,11948557223303843;0,181780127;0;0;0,280329914416297
32, Feb;0,3370794845839678;0,03523538880429025;0;0;0,1832385143991244;0,003239915;0;0;0,3370794845839678
33, Feb;0,15118272425764698;0,011126034340616;0;0;0;0;0;0;0,15118272425764698
34, Feb;0,17590763609288101;0,010489745665404756;0;0;0;0,000176195;0;0;0,17590763609288101
35, Feb;0,10195989123845504;0,006059804710291199;0;0;0;0,002473423;0,032815138;0;0,10195989123845504
36, Feb;0,28225989260915985;0,026998974509158377;0;0,0005258784266346592;0;0,220888178;0,034024527;0;0,28225989260915985
37, Feb;0,43555518328133275;0,040414632376977955;0;0;0;0,191930513;0;0;0,43555518328133275
38, Feb;0,3072834984730866;0,030810768321409065;0;0,00043936061151957106;0;0;0;0;0,3072834984730866
39, Feb;0,21501534672106726;0,01883204912735244;0;0;0;0;0,1442557;0;0,21501534672106726
40, Feb;0,48240933175814354;0,045932090888589114;0;0;0;0;0,042558525;0;0,48240933175814354
41, Feb;0,21987434969110004;0,01598025984683279;0;0;0,005141885098764452;0,023543145;0;0;0,21987434969110004
42, Feb;0,3734154135493909;0,03427964549953655;0;0;0;0;0;0;0,3734154135493909
43, Feb;0,45331815945900095;0,05213359250860699;0;0,05963498454982952;0;0;0;0;0,45331815945900095
44, Feb;0,4463634814246226;0,04278866719391387;0;0,13552602670960506;0;0;0;0;0,4463634814246226
45, Feb;0,37015665991831637;0,04445705575458074;0;0,154931828127069;0;0;0;0;0,37015665991831637
46, Feb;0,12707946260096664;0,00805841462086823;0;0,14338375350176277;0;0;0,027140237;0;0,12707946260096664
47, Feb;0,20644533836235435;0,015778881008342162;0;0,00033351220190525055;0,0007483776721913935;0,064497328;0,02897224;0;0,20644533836235435
48, Feb;0,20828765933796511;0,016713354547145003;0;0;0,08929107148768538;0,100958839;0,023575029;0;0,20828765933796511
49, Feb;0,22433798191911083;0,014432373693433859;0;0,0005201427423852985;0,1696311821371822;0;0;0;0,22433798191911083
50, Feb;0,3383897037829383;0,024893750578670177;0;0;0;0;0,008704084;0;0,3383897037829383
51, Feb;0,23688405247057898;0,020655569383653545;0;0;0;0;0,140589004;0;0,23688405247057898
52, Feb;0,019772169953685696;0,0009886085103123876;0;0;0;0;0,006069362;0;0,019772169953685696
53, Feb;0,07700770588244422;0,003850385294122211;0;0;0;0;0;0;0,07700770588244422
54, Feb;0,028334726721553478;0,0014364466828815008;0;0;0;0;0,022585208;0;0,028334726721553478
55, Feb;0,08559465408325195;0,004279732704162598;0;0;0;0;0,086899712;0;0,08559465408325195
56, Feb;0,003379263615204116;0,00016896316181805174;0;0;0;0;0;0;0,003379263615204116
57, Feb;0,011547942282789844;0,0005773970762551841;0;0;0;0;0;0;0,011547942282789844
58, Feb;0,0027059662645145996;0,00013529831322573;0;0;0;0;0;0;0,0027059662645145996
59, Feb;0,004557484287326619;0,00023266297402018207;0;0;0;0;0;0;0,004557484287326619
60, Mar;0,02694450192532297;0,0013656458359653668;0;0;0;0;0;0;0,02694450192532297
61, Mar;0,012982012861866062;0,00065120625293861;0;0;0;0;0;0;0,012982012861866062
62, Mar;0,001261083251338894;0,00006305415704214977;0;0,00010231512172494905;0;0;0;0;0,001261083251338894
63, Mar;0,00046643037033283107;0,000023321516938128712;0;0,003443198436397617;0;0;0;0;0,00046643037033283107
64, Mar;0,0037826375435974636;0,00019989112171076113;0;0;0;0;0;0;0,0037826375435974636
65, Mar;0,008952769182496151;0,0004543528213339337;0;0,008839634515471378;0,00019460525047981133;0;0;0;0,008952769182496151
66, Mar;0,0071961470579696915;0,0003858882365590435;0;0,004440023737438655;0;0;0;0;0,0071961470579696915
67, Mar;0,0012654432300793922;0,00006327216150396961;0;0;0;0;0;0;0,0012654432300793922
68, Mar;0,01960681858709303;0,0012120100653777689;0;0;0;0;0,000480427;0;0,01960681858709303
69, Mar;0,006600264775550971;0,000337853743615797;0;0;0;0,0000719845;0;0;0,006600264775550971
70, Mar;0;0;0;0;0;0;0;0;0
71, Mar;0;0;0;0;0;0;0;0;0
72, Mar;0;0;0;0;0;0;0;0;0
73, Mar;0;0;0;0;0;0;0;0;0
74, Mar;0;0;0;0;0;0;0;0;0
