"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,15940455129660014;0,013541642536740821;0;0;0,10664548243540944;0;0,004514061;0;0,15940455129660014
2, Jan;0,12006561995060967;0,008347656681085192;0;0,03353013158607076;0,0007572800620024138;0;0,001229861;0;0,12006561995060967
3, Jan;0,14880663906333289;0,010294820708252474;0;0,04512297624209796;0,003760369093433372;0;0;0;0,14880663906333289
4, Jan;0,2082822104252732;0,018211454216605312;0;0,043820647542664744;0;0;0;0;0,2082822104252732
5, Jan;0,08203372263959222;0,006037698879933306;0;0,00163948129235046;0;0;0;0;0,08203372263959222
6, Jan;0,0722504963498634;0,004702662608262572;0;0,005618274847327519;0;0,01050766;0;0;0,0722504963498634
7, Jan;0,19980958072361407;0,02087388109804979;0;0,0029516919081145005;0;0;0,000425326;0;0,19980958072361407
8, Jan;0,1367845840291428;0,012003483802779142;0;0,06299606518450576;0;0;0;0;0,1367845840291428
9, Jan;0,2140607040828225;0,01795325452076601;0;0,24300197446778385;0,0036677521174904634;0;0;0;0,2140607040828225
10, Jan;0,18944782183876932;0,01916226140980019;0;0;0,0017343894250865684;0;0;0;0,18944782183876932
11, Jan;0,14448337514263226;0,020735889101333456;0;0;0;0,0000794257;0;0;0,14448337514263226
12, Jan;0,14469054004530918;0,01392293433899056;0;0;0;0,01928555;0,010318623;0;0,14469054004530918
13, Jan;0,11924049035826725;0,008621750609961145;0;0;0;0;0;0;0,11924049035826725
14, Jan;0,1276269111551964;0,010528094732939308;0;0,00024063818490327295;0;0;0,001733309;0;0,1276269111551964
15, Jan;0,08824987350496402;0,007224995952679405;0;0;0,002762775177132092;0,019873766;0,027039081;0;0,08824987350496402
16, Jan;0,09527579756942131;0,006100471085831046;0;0;0,004634488111874188;0,090323483;0;0;0,09527579756942131
17, Jan;0,09231174525929921;0,007029095184065894;0;0,0037503644093267443;0;0,013962539;0;0;0,09231174525929921
18, Jan;0,19873297392432368;0,01802496310236103;0;0;0;0,000656085;0;0;0,19873297392432368
19, Jan;0,005463594058429254;0,00027448784059553005;0;0;0;0;0;0;0,005463594058429254
20, Jan;0,06516627004660015;0,0038340915240712764;0;0;0;0;0,000351157;0;0,06516627004660015
21, Jan;0,08924832374556486;0,005743835018133558;0;0;0;0;0,042840862;0;0,08924832374556486
22, Jan;0,13238810882893706;0,011303751199230203;0;0;0,03266378862263043;0,000253666;0,039100259;0;0,13238810882893706
23, Jan;0,14682245966213853;0,007971103765817085;0;0;0;0,001795905;0,138165188;0;0,14682245966213853
24, Jan;0,15738806490704957;0,012630206435473997;0;0;0,1449138747095299;0,022701588;0,003128852;0;0,15738806490704957
25, Jan;0,24716751001028617;0,026662452388673957;0;0,0002627113321696771;0,05530063734888268;0;0;0;0,24716751001028617
26, Jan;0,142118620719991;0,0108005873430004;0;0;0,004249219447056622;0;0;0;0,142118620719991
27, Jan;0,15199686469299706;0,009645099070534777;0;0;0,0008904247649951276;0;0;0;0,15199686469299706
28, Jan;0,08870107329476362;0,004818119219879606;0;0;0;0;0;0;0,08870107329476362
29, Jan;0,07453606123609074;0,003918931428303342;0;0;0;0,066343153;0;0;0,07453606123609074
30, Jan;0,10038235141778551;0,005421177410621887;0;0;0;0,001143236;0;0;0,10038235141778551
31, Jan;0,16032692720132596;0,011232763465279455;0;0;0,021565463751363857;0,128342738;0;0;0,16032692720132596
32, Feb;0,2886996726745736;0,02246669614747135;0;0;0,1569911737177672;0;0;0;0,2886996726745736
33, Feb;0,10597232257379398;0,005679158005378902;0;0;0;0;0,0000650343;0;0,10597232257379398
34, Feb;0,1711240007933269;0,01076362280449125;0;0,018051609047440322;0;0;0;0;0,1711240007933269
35, Feb;0,09591599161436817;0,005337521973957639;0;0;0;0,011956913;0,011221656;0;0,09591599161436817
36, Feb;0,2968368692947095;0,02364653361631609;0;0,0019434667599480798;0;0,242988068;0,061999673;0;0,2968368692947095
37, Feb;0,36012983830498735;0,031006709344859825;0;0;0;0,215278053;0;0;0,36012983830498735
38, Feb;0,3254591691722748;0,022293391766578657;0;0;0;0;0;0;0,3254591691722748
39, Feb;0,12564553787459187;0,008300215959040595;0;0;0;0,002238487;0;0;0,12564553787459187
40, Feb;0,38456303122709556;0,026625120817725337;0;0;0;0;0,008770117;0;0,38456303122709556
41, Feb;0,23208338365371803;0,01677392947394202;0;0;0,0016231933382274246;0,008546739;0;0;0,23208338365371803
42, Feb;0,3292519380288846;0,024159929645595265;0;0;0;0;0;0;0,3292519380288846
43, Feb;0,5135703015683303;0,05942931510746352;0;0,028341968430639075;0;0;0;0;0,5135703015683303
44, Feb;0,2811240255197228;0,02557632918042669;0;0,07587662231185034;0;0;0;0;0,2811240255197228
45, Feb;0,5599596881663113;0,06880705290511727;0;0,036064562767045075;0;0;0;0;0,5599596881663113
46, Feb;0,17773923894235574;0,010487242294018711;0;0,15248753724576058;0;0;0,01997722;0;0,17773923894235574
47, Feb;0,3218185327200493;0,02208730864372335;0;0;0,001147477484461087;0,002310128;0,140988952;0;0,3218185327200493
48, Feb;0,15891762023795641;0,010632976540116105;0;0;0,06548818901403626;0,03224919;0,031325037;0;0,15891762023795641
49, Feb;0,1295581890830099;0,006580781834974472;0;0;0,08536244862115205;0;0;0;0,1295581890830099
50, Feb;0,09595720498546609;0,0049737689337496565;0;0,005771180459939595;0;0;0,002063287;0;0,09595720498546609
51, Feb;0,4255838292494003;0,03841481483313066;0;0;0;0;0,203335493;0;0,4255838292494003
52, Feb;0,035874405395247534;0,001863454577765231;0;0;0;0;0,001154545;0;0,035874405395247534
53, Feb;0,0949729724225205;0,004755883328696049;0;0;0;0;0;0;0,0949729724225205
54, Feb;0,002869586700569592;0,00014347934138291934;0;0;0;0;0;0;0,002869586700569592
55, Feb;0,013346018313344862;0,000667300941085002;0;0;0;0;0,013233156;0;0,013346018313344862
56, Feb;0;0;0;0;0;0;0;0;0
57, Feb;0,020553220818037673;0,0010276610917374016;0;0;0;0;0;0;0,020553220818037673
58, Feb;0,015355330794604856;0,0007739660582308576;0;0;0;0;0;0;0,015355330794604856
