"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,5373310089111328;0,05836101770401001;0;0;0,23341050148010253;0;0;0;0,5373310089111328
2, Jan;0,8030576705932617;0,0406685471534729;0;0;0;0;0;0;0,8030576705932617
3, Jan;0,32175345420837403;0,030134397745132446;0;0;0;0;0;0;0,32175345420837403
4, Jan;0,41076269149780276;0,06164940595626831;0;0,1982928991317749;0;0;0;0;0,41076269149780276
5, Jan;0,32793092727661133;0,02577802538871765;0;0;0;0;0;0;0,32793092727661133
6, Jan;0,0813523769378662;0,004067618772387505;0;0,056475627422332766;0;0;0;0;0,0813523769378662
7, Jan;0,3545363426208496;0,027327993512153627;0;0;0;0;0;0;0,3545363426208496
8, Jan;0,35080633163452146;0,02020135670900345;0;0,1088212251663208;0;0;0;0;0,35080633163452146
9, Jan;0,6043919563293457;0,05292474627494812;0;0,9251567840576171;0;0;0;0;0,6043919563293457
10, Jan;0,40385189056396487;0,0561287522315979;0;0,11181957721710205;0;0;0;0;0,40385189056396487
11, Jan;0,4055773735046387;0,04501218199729919;0;0;0;0,034489749;0;0;0,4055773735046387
12, Jan;0,40117597579956055;0,026947975158691406;0;0;0;0,046880329;0,020320066;0;0,40117597579956055
13, Jan;0,6473883628845215;0,04706986546516419;0;0;0;0;0;0;0,6473883628845215
14, Jan;0,17961201667785645;0,0151792973279953;0;0;0;0;0;0;0,17961201667785645
15, Jan;0,2995904922485352;0,029826313257217407;0;0;0;0;0,160382141;0;0,2995904922485352
16, Jan;0,014566323161125183;0,0007283161394298077;0;0;0;0;0;0;0,014566323161125183
17, Jan;0,4399141788482666;0,040242049098014834;0;0;0;0,439914186;0;0;0,4399141788482666
18, Jan;0,5228818893432617;0,06965435743331909;0;0;0;0,029624159;0;0;0,5228818893432617
19, Jan;0,05384810566902161;0,0031324174255132676;0;0;0;0;0;0;0,05384810566902161
20, Jan;0,6610471725463867;0,05413489937782288;0;0;0;0;0;0;0,6610471725463867
21, Jan;0,22071611881256104;0,01643897294998169;0;0;0;0;0,211923177;0;0,22071611881256104
22, Jan;0,4765273094177246;0,0610498309135437;0;0;0,2120861291885376;0;0,33816589;0;0,4765273094177246
23, Jan;0,43251953125;0,04015434980392456;0;0;0;0,171652979;0,426121767;0;0,43251953125
24, Jan;0,2065986156463623;0,014449453353881836;0;0;0;0;0;0;0,2065986156463623
25, Jan;0,6002562522888184;0,049993425607681274;0;0;0;0;0;0;0,6002562522888184
26, Jan;0,046920812129974364;0,0023460406810045242;0;0;0;0;0;0;0,046920812129974364
27, Jan;0,5278862953186035;0,02639431357383728;0;0;0;0;0;0;0,5278862953186035
28, Jan;0;0;0;0;0;0;0;0;0
29, Jan;0,37104091644287107;0,02352074980735779;0;0;0;0,371040888;0;0;0,37104091644287107
30, Jan;0,1393500566482544;0,0074194282293319706;0;0;0,1393500566482544;0;0;0;0,1393500566482544
31, Jan;0,4493566989898682;0,04863594770431519;0;0;0,41350584030151366;0,104041009;0;0;0,4493566989898682
32, Feb;0,24237210750579835;0,023555046319961546;0;0;0;0;0;0;0,24237210750579835
33, Feb;0,07272303104400635;0,004332795739173889;0;0;0;0;0;0;0,07272303104400635
34, Feb;0,19341305494308472;0,013632729649543762;0;0;0;0,031752069;0;0;0,19341305494308472
35, Feb;0,12358512878417968;0,006246957555413246;0;0;0;0,118166668;0;0;0,12358512878417968
36, Feb;0,14002643823623656;0,011829549819231034;0;0;0;0,086077948;0;0;0,14002643823623656
37, Feb;0,2697735786437988;0,030865439772605897;0;0;0;0,17915547;0;0;0,2697735786437988
38, Feb;0,2548182010650635;0,016328471899032592;0;0;0;0;0;0;0,2548182010650635
39, Feb;0,055138695240020755;0,002987533062696457;0;0;0;0;0;0;0,055138695240020755
40, Feb;0,3333967447280884;0,038527145981788635;0;0;0;0;0,040016402;0;0,3333967447280884
