"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,31701156071254183;0,018981976168496267;0;0;0;0;0,004047;0;0,31701156071254183
2, Jan;0,12601144824709212;0,006437845528125763;0;0;0;0;0;0;0,12601144824709212
3, Jan;0,32256599834987093;0,022000757711274282;0;0,005815921617405755;0;0;0;0;0,32256599834987093
4, Jan;0,2064847264971052;0,01971766778400966;0;0;0;0;0;0;0,2064847264971052
5, Jan;0,25706597736903597;0,02384400793484279;0;0;0;0;0;0;0,25706597736903597
6, Jan;0,17203044891357422;0,013488680124282837;0;0;0;0,164817096;0;0;0,17203044891357422
7, Jan;0,20513698032924108;0,02283257246017456;0;0,05673823186329433;0;0,015889315;0;0;0,20513698032924108
8, Jan;0,1865964617047991;0,013441471116883414;0;0,26293603011540007;0;0;0;0;0,1865964617047991
9, Jan;0,3305018288748605;0,04856306314468384;0;0,4360557624271938;0,2038933209010533;0;0;0;0,3305018288748605
10, Jan;0,4757223810468401;0,06867126907621111;0;0,020096376538276672;0,2484987803867885;0;0;0;0,4757223810468401
11, Jan;0,23054821150643484;0,02425730654171535;0;0;0;0,061629783;0;0;0,23054821150643484
12, Jan;0,18563963685716903;0,013688408902713231;0;0;0;0;0;0;0,18563963685716903
13, Jan;0,4333468164716448;0,02722872155053275;0;0;0;0;0;0;0,4333468164716448
14, Jan;0,31941304888044086;0,02316514083317348;0;0;0;0;0;0;0,31941304888044086
15, Jan;0,2180804865700858;0,01957075297832489;0;0;0,047870167664119175;0,152599982;0,072610852;0;0,2180804865700858
16, Jan;0,18558425562722342;0,012628279626369476;0;0,0126612622823034;0;0,105451484;0;0;0,18558425562722342
17, Jan;0,2665977307728359;0,025565183588436673;0;0;0;0,214118358;0;0;0,2665977307728359
18, Jan;0,2587811265672956;0,02252912095614842;0;0;0;0;0;0;0,2587811265672956
19, Jan;0,22099174771990096;0,015419828040259225;0;0;0;0;0;0;0,22099174771990096
20, Jan;0,2956782068525042;0,01949753931590489;0;0;0;0;0;0;0,2956782068525042
21, Jan;0,27636963980538504;0,02289482738290514;0;0;0;0,109139614;0;0;0,27636963980538504
22, Jan;0,268738899912153;0,01898046689374106;0;0;0;0;0,271226752;0;0,268738899912153
23, Jan;0,44118898255484446;0,030500105449131558;0;0;0;0;0,451409441;0;0,44118898255484446
24, Jan;0,34938045910426546;0,03058545078550066;0;0;0,05909201928547451;0;0,020190231;0;0,34938045910426546
25, Jan;0,429687568119594;0,031572886875697544;0;0;0,10571721621922084;0;0;0;0,429687568119594
26, Jan;0,24126132896968297;0,012961434466498238;0;0;0;0;0;0;0,24126132896968297
27, Jan;0,11474527631487165;0,006745079266173499;0;0;0;0;0;0;0,11474527631487165
28, Jan;0;0;0;0;0;0;0;0;0
29, Jan;0,1592848641531808;0,007964242781911577;0;0;0;0;0;0;0,1592848641531808
30, Jan;0,18375330311911448;0,011012140129293715;0;0;0;0,013889462;0;0;0,18375330311911448
31, Jan;0,4610926423754011;0,04358103445598057;0;0;0,21603875500815256;0,158818502;0;0;0,4610926423754011
32, Feb;0,500851937702724;0,04176945345742362;0;0;0,20227949959891184;0;0;0;0,500851937702724
33, Feb;0,11913024527685982;0,006884996380124774;0;0;0;0;0;0;0,11913024527685982
34, Feb;0,34110614231654574;0,01957075936453683;0;0;0;0,020342505;0;0;0,34110614231654574
