"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,008450288926401445;0,0005699327636149622;0;0;0;0;0;0;0,008450288926401445
2, Jan;0,003591185615908715;0,00018848292529582977;0;0;0;0;0;0;0,003591185615908715
3, Jan;0,0022810000565744214;0,00012078025047817538;0;0,0025647373930100473;0;0;0;0;0,0022810000565744214
4, Jan;0,007835634773777377;0,0005387830878457715;0;0;0;0;0;0;0,007835634773777377
5, Jan;0,007674621958886424;0,0005147935402008795;0;0;0;0;0;0;0,007674621958886424
6, Jan;0,0008407281411270942;0,00004219100059520814;0;0;0;0;0;0;0,0008407281411270942
7, Jan;0,0019270045863043878;0,00012383993054109236;0;0;0;0;0;0;0,0019270045863043878
8, Jan;0,001994690106761071;0,0001595996830972933;0;0;0;0;0;0;0,001994690106761071
9, Jan;0,003775477890045412;0,00043500731548955365;0;0,00018481788555941274;0;0;0;0;0,003775477890045412
10, Jan;0,0018668430707147045;0,00019222954588551675;0;0;0;0;0;0;0,0018668430707147045
11, Jan;0;0;0;0;0;0;0;0;0
12, Jan;0;0;0;0;0;0;0;0;0
13, Jan;0;0;0;0;0;0;0;0;0
14, Jan;0;0;0;0;0;0;0;0;0
15, Jan;0;0;0;0;0;0;0;0;0
16, Jan;0;0;0;0;0;0;0;0;0
17, Jan;0;0;0;0;0;0;0;0;0
18, Jan;0;0;0;0;0;0;0;0;0
19, Jan;0;0;0;0;0;0;0;0;0
20, Jan;0;0;0;0;0;0;0;0;0
21, Jan;0,00020665559737432387;0,000022730358215349335;0;0;0;0;0;0;0,00020665559737432387
22, Jan;0,00019767314135547606;0,00001708941999822855;0;0;0;0,000151056;0,0000470963;0;0,00019767314135547606
23, Jan;0,00015337488824321378;0,000007880200076127245;0;0;0;0;0,000144079;0;0,00015337488824321378
24, Jan;0,000015741525848786678;7,870763041747493e-7;0;0;0;0;0;0;0,000015741525848786678
25, Jan;0,0001611489832641617;0,000008057448975441436;0;0;0,0001611489832641617;0;0;0;0,0001611489832641617
26, Jan;0,0009062903662843089;0,00004531451380781589;0;0;0;0;0;0;0,0009062903662843089
27, Jan;0,0032855046372259815;0,00016427523786983182;0;0;0;0;0;0;0,0032855046372259815
28, Jan;0,004084751971306339;0,00024239700888433765;0;0;0;0;0;0;0,004084751971306339
29, Jan;0;0;0;0;0;0;0;0;0
30, Jan;0;0;0;0;0;0;0;0;0
31, Jan;0,002187595492409122;0,00011713153892947781;0;0;0;0,001728675;0;0;0,002187595492409122
32, Feb;0,006909289667683263;0,0003454644653585649;0;0;0,0021288253126605866;0;0;0;0,006909289667683263
33, Feb;0,02359182027078444;0,0017202316272643306;0;0;0;0;0;0;0,02359182027078444
34, Feb;0,01074213654764237;0,0005554147064685822;0;0;0;0;0;0;0,01074213654764237
35, Feb;0,0004042917562107886;0,000020214587435006132;0;0;0;0,000379789;0;0;0,0004042917562107886
36, Feb;0,029817340835448233;0,0019741286673853474;0;0;0;0,012618459;0;0;0,029817340835448233
37, Feb;0,032002868190888434;0,0016001434095444219;0;0,0070862356693513935;0;0;0;0;0,032002868190888434
38, Feb;0,05829368868181782;0,004062308419135309;0;0;0;0,021402105;0;0;0,05829368868181782
39, Feb;0,02679959035688831;0,0014255356884771777;0;0;0;0;0;0;0,02679959035688831
40, Feb;0,003992670726391577;0,00019963354533237795;0;0;0;0;0;0;0,003992670726391577
41, Feb;0,029520165535711473;0,0018420971689685698;0;0;0;0;0;0;0,029520165535711473
42, Feb;0,029737562902512088;0,0025735528719040657;0;0;0;0;0;0;0,029737562902512088
43, Feb;0,04853492398415842;0,004412343905818078;0;0;0;0;0;0;0,04853492398415842
44, Feb;0;0;0;0;0;0;0;0;0
45, Feb;0,016190999938595678;0,0008095500449980459;0;0;0;0;0;0;0,016190999938595678
46, Feb;0,03737233531090521;0,0018686166694087366;0;0;0;0;0;0;0,03737233531090521
47, Feb;0,00043738903778214606;0,000021869451889107304;0;0;0;0;0;0;0,00043738903778214606
48, Feb;0;0;0;0;0;0;0;0;0
49, Feb;0;0;0;0;0;0;0;0;0
50, Feb;0,001904100299842896;0,00009520501349001162;0;0;0;0;0;0;0,001904100299842896
51, Feb;0,0373240017121838;0,0018662001577115829;0;0;0;0;0;0;0,0373240017121838
52, Feb;0,03530059322234123;0,0017650295649805376;0;0;0;0;0;0;0,03530059322234123
53, Feb;0,01977766329242337;0,0009888832367235614;0;0;0;0;0;0;0,01977766329242337
54, Feb;0,0040264482940396955;0,0002013224237147839;0;0;0;0;0;0;0,0040264482940396955
55, Feb;0;0;0;0;0;0;0;0;0
56, Feb;0;0;0;0;0;0;0;0;0
57, Feb;0;0;0;0;0;0;0;0;0
58, Feb;0,018188403498741887;0,0009094201509029635;0;0;0;0;0;0;0,018188403498741887
59, Feb;0,002908986662664721;0,00014544933313323605;0;0;0;0;0;0;0,002908986662664721
