"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,00846454832288954;0,0008163400765123038;0;0;0;0;0;0;0,00846454832288954
2, Jan;0,0039013363849157573;0,00022725553976164924;0;0,0002677903093140701;0;0;0;0;0,0039013363849157573
3, Jan;0,006225432929408048;0,0003384087962665777;0;0,004917144775390625;0,0007581322585942645;0;0;0;0,006225432929408048
4, Jan;0,005118306112472125;0,00033369477681273246;0;0;0;0;0;0;0,005118306112472125
5, Jan;0,006789052166701276;0,0005232099143938087;0;0;0;0;0;0;0,006789052166701276
6, Jan;0,0008858688375502254;0,00005079989617697581;0;0;0;0;0;0;0,0008858688375502254
7, Jan;0,002357426731065772;0,0001460568287135084;0;0;0;0;0;0;0,002357426731065772
8, Jan;0,002072083082235636;0,00021430667332762504;0;0,00007653798750990652;0;0;0;0;0,002072083082235636
9, Jan;0,004176719892070668;0,00042920693812242415;0;0,00009089393605445993;0;0;0;0;0,004176719892070668
10, Jan;0,0028640219078210124;0,00028777173880873054;0;0;0;0;0;0;0,0028640219078210124
11, Jan;0,0010038332235767467;0,00010070505184460418;0;0;0;0;0;0;0,0010038332235767467
12, Jan;0,0021843894231365103;0,00026483345648338057;0;0;0;0;0;0;0,0021843894231365103
13, Jan;0,0010286502226102398;0,00006530070641716778;0;0;0;0;0;0;0,0010286502226102398
14, Jan;0,00014051091339853074;0,000007025545580719394;0;0;0;0;0;0;0,00014051091339853074
15, Jan;0,0019818571792251764;0,00012884460303975247;0;0;0,0017645182052334607;0;0;0;0,0019818571792251764
16, Jan;0,0018858982685425272;0,00013334512482201003;0;0;0;0,001857432;0;0;0,0018858982685425272
17, Jan;0,00024317007982867887;0,000012158503634605372;0;0;0;0;0;0;0,00024317007982867887
18, Jan;0,0018539380753177337;0,00018852087044624532;0;0;0;0;0;0;0,0018539380753177337
19, Jan;0,000260810999349616;0,000013040549967480803;0;0;0;0;0;0;0,000260810999349616
20, Jan;0,0012263873756160225;0,00006518589325563204;0;0;0;0;0;0;0,0012263873756160225
21, Jan;0,0015566682450159298;0,00014064930579214718;0;0;0;0;0,00033862;0;0,0015566682450159298
22, Jan;0,001961379672375675;0,00019797363043744901;0;0;0;0,00000354523;0,000474161;0;0,001961379672375675
23, Jan;0,002108615933706934;0,00018414563831241652;0;0;0;0,001537804;0,001649324;0;0,002108615933706934
24, Jan;0,001427966744506953;0,00012188085080106596;0;0;0;0;0,0000160835;0;0,001427966744506953
25, Jan;0,000546743872065197;0,000029621665433791406;0;0;0,000043437159638066856;0;0;0;0,000546743872065197
26, Jan;0,002949733387008024;0,0001551139229102153;0;0;0,000006391608398907258;0;0;0;0,002949733387008024
27, Jan;0,0014100923163680738;0,00008231726871139702;0;0;0;0;0,000444363;0;0,0014100923163680738
28, Jan;0,0017315633452258347;0,00010412693794431358;0;0;0;0;0,0000429567;0;0,0017315633452258347
29, Jan;0,0013998107435146054;0,00008741326601569223;0;0;0;0;0;0;0,0013998107435146054
30, Jan;0,0007681006786923756;0,00003840503464827592;0;0;0;0;0,000562561;0;0,0007681006786923756
31, Jan;0,001244735101173664;0,00007324123405405387;0;0;0;0,001232195;0;0;0,001244735101173664
32, Feb;0,020244912626186093;0,0010177711189021553;0;0;0,019370840883803093;0,000317506;0;0;0,020244912626186093
33, Feb;0,026560872907382776;0,002081116497288262;0;0;0;0;0;0;0,026560872907382776
34, Feb;0,005191618455324136;0,0002725767792413061;0;0;0;0;0,000135896;0;0,005191618455324136
35, Feb;0,0052559151960058685;0,00035032761279650575;0;0;0;0,004748194;0;0;0,0052559151960058685
36, Feb;0,01629493976461476;0,0011280575246189746;0;0;0;0,006203961;0;0;0,01629493976461476
