"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,05205020275744763;0,00415985990356613;0;0;0;0;0;0;0,05205020275744763
2, Jan;0,05789404649000902;0,003863359218115335;0;0;0;0;0;0;0,05789404649000902
3, Jan;0,041551249367850165;0,0026657098269724584;0;0,04780349626645937;0;0;0;0;0,041551249367850165
4, Jan;0,07706542591472249;0,008425544906448533;0;0;0;0;0;0;0,07706542591472249
5, Jan;0,05267086657848987;0,0037352446016374525;0;0;0;0;0;0;0,05267086657848987
6, Jan;0,04815667540162474;0,003144633311491746;0;0;0;0;0;0;0,04815667540162474
7, Jan;0,04341241291591099;0,003500937105535151;0;0,000047022389800666454;0;0;0,000776005;0;0,04341241291591099
8, Jan;0,04635209827632694;0,005790766778883043;0;0,031706655418479834;0;0;0;0;0,04635209827632694
9, Jan;0,082536865066696;0,008179166814783118;0;0,03328920982696198;0,000878341250367217;0;0;0;0,082536865066696
10, Jan;0,05601514040768801;0,0069937784593183915;0;0;0;0;0;0;0,05601514040768801
11, Jan;0,027763031341217378;0,004407016458092155;0;0;0;0;0;0;0,027763031341217378
12, Jan;0,018551941756363752;0,0015260194029126848;0;0;0;0;0;0;0,018551941756363752
13, Jan;0,005737883704049247;0,00034284779986182415;0;0;0;0;0;0;0,005737883704049247
14, Jan;0,015037455401577792;0,0009501170326065232;0;0;0;0;0;0;0,015037455401577792
15, Jan;0,02172010809510619;0,0017146384650534325;0;0;0,0011679370488439287;0;0,0000225067;0;0,02172010809510619
16, Jan;0,0020608158556969613;0,00010304079278484805;0;0,0021618097038059443;0,0020608158556969613;0;0;0;0,0020608158556969613
17, Jan;0,010385147817842253;0,00070897088601039;0;0;0;0,005101699;0;0;0,010385147817842253
18, Jan;0,011888582627851885;0,0007052261095780593;0;0;0;0,004633358;0;0;0,011888582627851885
19, Jan;0,007743664495237581;0,0005132987440287412;0;0;0;0;0;0;0,007743664495237581
20, Jan;0;0;0;0;0;0;0;0;0
21, Jan;0,01394268837603894;0,0010642331543859545;0;0;0,004965432725109897;0;0;0;0,01394268837603894
22, Jan;0,015493201685475778;0,0012176135084131263;0;0;0;0,004205755;0,014853863;0;0,015493201685475778
23, Jan;0,00786261899130685;0,0005328025627922226;0;0;0;0,003290281;0,001170299;0;0,00786261899130685
24, Jan;0,011232959045158638;0,0009079355296197828;0;0;0,0077959423536782734;0;0;0;0,011232959045158638
25, Jan;0,00772357117998731;0,0004215783306530544;0;0;0,002404004826650515;0;0;0;0,00772357117998731
26, Jan;0,005195798127205818;0,00025978989407911404;0;0;0;0;0;0;0,005195798127205818
27, Jan;0,013673258351755667;0,0007354305995689644;0;0;0;0;0;0;0,013673258351755667
28, Jan;0,003035287280659099;0,00016187279802429806;0;0;0;0,0022391;0;0;0,003035287280659099
29, Jan;0,009604280466561789;0,0005326524049371153;0;0;0,0010272885908137312;0,006486594;0;0;0,009604280466561789
30, Jan;0,0023731936465252886;0,00011865968641999004;0;0;0;0;0;0;0,0023731936465252886
31, Jan;0,01856591806306944;0,0013057957147503947;0;0;0;0,012371525;0;0;0,01856591806306944
32, Feb;0,059594924633319564;0,0032751406287098977;0;0;0,0009146720825970828;0;0;0;0,059594924633319564
33, Feb;0,02240319828410725;0,0014134827223452892;0;0;0;0;0;0;0,02240319828410725
